,thscode,ths_fund_scale_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
29,202005.OF,4645021726.56,3671760058.27,3531619347.53,2964537828.64,4129595812.74,3661422145.18,3588069723.41,3829490999.82,4008398458.63,4692960688.33,4751437998.85,4720025332.21,3814694040.85,3972594854.1,3510468929.7,3192459449.76,2524276431.66,2786045999.49,2343910198.33,2384998761.25,2438224700.51,2198340737.73,2112568563.44,3455344468.9995646
30,202007.OF,2291853332.47,2176728555.71,2060426890.04,1861633559.69,2246847260.0,2040547300.53,2149070711.83,2108577226.56,2039821269.4,2304166420.49,2138848869.35,2175052280.25,1706902087.98,1767386040.27,1387167501.67,1380308089.76,1142611535.62,1229525779.74,1092616441.65,1096133180.82,1107327994.21,1056179090.11,985069936.07,1719339189.313913
31,202011.OF,1569918050.06,1645678295.96,1515104258.37,1111031447.7,1392944047.78,1259668209.36,1328337673.48,1476929426.94,1415194860.28,1923180369.63,2048274120.44,2126038084.18,1429213644.06,1623661445.83,1483094860.65,1478192657.27,1141229198.29,1281396649.76,1129835554.93,1096639527.24,1098181417.54,1056806619.1,958716956.12,1416924668.4769564
32,202023.OF,1100469899.47,934225801.11,1096775257.75,949907690.9,1025955026.36,751898088.29,934551300.06,1168287767.89,1336271217.67,2014746969.25,2825114831.51,3271536024.5,3759752737.53,3950886114.79,4175136239.65,4310072694.12,3893505467.14,4114982764.22,3742638524.44,3539989521.91,3325751577.95,3015910219.08,2916772950.48,2528484290.698696
33,202101.OF,1910439374.26,1878991485.49,1681216487.67,1593978656.36,1712399216.33,1657467632.47,1942519210.72,5326293327.37,7251164211.38,7537707032.81,9511238746.57,11713158930.88,15444922704.15,16909113428.49,15540268115.22,15256453286.22,14818413153.4,14605619346.53,13973676467.91,12676405006.88,11826718433.41,10756389467.47,8911675351.58,8888531698.85087
34,202212.OF,301447294.88,275596593.5,245434052.66,217597860.58,256115044.19,240697437.87,253337762.35,272888800.09,249228993.74,295199760.32,348022766.65,403597744.88,353714644.53,389501513.3,354141431.05,354032430.34,291403688.15,315960089.83,262324421.21,261731277.88,250376433.36,187580179.86,181168889.48,285265178.7260869
35,202213.OF,,,,,208902151.33,177756366.18,158102712.01,159333364.27,132558995.52,150682879.28,229456557.49,259495250.98,216109664.07,187634693.59,227954174.26,249118035.39,280086611.53,232037113.51,204853873.81,209086763.98,238942863.7,251222347.66,242732945.08,211371966.5073684
36,202801.OF,4273542683.48,4320410371.42,4324990067.0,3765660367.62,4172968178.98,4115551033.59,3851743176.95,3749499031.0,3072794431.9,3318094073.08,3016188032.18,2925896498.88,2661331087.74,2651240138.48,2351243230.14,2155242079.66,1799623556.36,1721249925.16,1580178851.16,1702062864.12,1660153169.53,1650109559.64,1571900021.79,2887464018.689566
37,206009.OF,1276774015.4,1713724656.55,2251233681.08,2091806894.29,3210862578.29,2840189946.3,2565763449.74,3132375310.01,4952293356.33,10854315194.15,15290136530.73,13963513591.54,9142967474.13,7614417977.93,6263522642.11,6042700775.65,4495317587.020001,4484140127.98,4117234017.28,4349221025.16,4200143700.26,3805518784.82,3370696264.1,5305603025.254348
38,210003.OF,186910518.63,169601640.22,152967980.25,133955219.53,174356949.1,149085295.02,139714017.6,141631975.8,158827762.63,177511579.38,175415440.12,377625926.56,298893046.46,390561815.97,723910001.94,884443011.26,662419353.81,716855802.55,558940670.57,526688476.51,549144241.23,522128405.04,409679108.55,364402966.9013043
39,210006.OF,28850342.37,25766560.38,24769932.64,24179795.11,23560093.42,291969954.85,295181335.92,302555202.01,293999428.8,366561107.7,595656800.58,565176598.89,536778864.11,481013681.78,473415606.63,476407466.01,388017113.45,186750219.45,116004315.69,62383820.37,32306141.02,16553540.63,16068009.44,244518518.74999997
40,210008.OF,56501429.79,52102822.16,47627938.54,41929154.98,53894706.44,45371169.18,55302682.82,52567614.55,156373358.95,477281542.98,612942234.53,667723124.26,545132437.29,792752994.18,1247264187.91,1314596796.04,1061586545.77,1145062436.55,940639127.97,886372788.26,742622369.84,759077323.27,585271756.3,536521588.8069566
