,thscode,ths_stock_mv_to_fanv_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
18,180018.OF,71.476672074519,73.651752594961,76.023881872155,76.056228596215,79.557894422855,79.555736811409,78.253764505928,79.204560008652,79.105753010318,79.179350693682,79.652230502319,79.418439572059,77.941115427352,70.634365925585,68.392447572142,74.492269517831,72.510148290643,77.239261668067,72.771836643976,77.638963298891,78.297945387064,78.140293987313,79.320725232506,76.45720163549747
19,180020.OF,72.671822618114,74.959451422159,76.452536225253,58.307012820696,68.961029232705,70.867225548712,74.888625777701,72.633534146309,78.243915072493,78.655247058668,79.532120835713,78.065127028481,79.480815681459,78.829508829609,78.486857256296,79.647195888456,79.810558562885,79.326342490408,79.279078154415,78.613338014766,77.719037753823,79.748182203811,79.733210700095,76.30051188360986
20,180028.OF,79.788989567676,77.391081049187,76.034762905487,61.723474281829,79.82239270597,64.143720739129,78.823693323437,76.471058036574,78.787135920819,77.240656025373,78.263541298293,77.861519797235,77.836192043832,75.107014048702,74.624909009755,78.139744798732,77.225973737203,77.891217149075,77.380832270765,77.506638286913,76.863064109787,76.454557029295,76.545164358936,76.17075358669582
21,180031.OF,90.445847882732,93.338179929629,90.211305806372,88.114086583767,88.423850707806,89.875273780905,89.047488652374,89.677795430791,88.991059990225,90.34902946084,89.717580252471,90.045035106327,89.810389928547,93.201207437541,90.966235270294,91.612549470578,93.081371020598,93.127573522867,91.629244658904,91.608606852343,89.979365864773,88.071023627546,91.203890435363,90.54469529015623
22,200001.OF,92.404938566025,76.854436762571,86.001247840171,85.417320509729,94.533985932063,94.519054679258,94.317099863021,94.856386239346,85.285059219301,94.933180494399,94.877706119883,94.758504136884,94.952611492169,94.809119405267,94.949225308555,94.94618901745,94.318842178548,94.394941981578,93.844009665719,94.348411575443,94.325101422567,94.43853016993,94.458134353718,92.54539291015631
23,200006.OF,70.176429774237,66.926640149215,77.59449543681,61.943247954571,87.577501182416,86.768625999142,88.059605838612,84.715940136852,86.108250780353,91.178846278499,90.777339181412,90.728176956608,91.632407677514,88.157945836758,85.720126059075,90.253423467538,88.382124925093,88.522795370357,90.904307422573,92.954641735779,91.897960365001,93.396031647739,90.450216069691,85.86204696721065
24,200008.OF,90.072020647553,88.720362113508,84.592963296979,83.580345788264,89.875025939507,91.601241509547,86.576219687245,87.022760168988,88.189925558262,89.810437558271,83.093874408466,88.896788613798,90.683959017891,91.328164951928,86.662353419824,88.381883715261,89.331362727976,92.103600486141,88.900968432196,93.122326288209,91.608838810042,88.081005791517,84.398189278624,88.5493312265216
25,200016.OF,0.10200005151004,,,,70.067818478045,76.436428902519,78.521302215821,78.852061153153,75.089175833492,79.968121872657,78.208490204724,78.871221955439,62.271214936605,80.086847145179,80.207611692735,79.042789173415,78.391124907205,79.767653620335,79.854807122318,77.864299469473,79.640967348396,79.43859139156,79.86893349463,73.62757304846056
26,202001.OF,73.332650731806,65.893513966945,65.016133488685,55.424472999095,71.81202242059,73.85185640581,77.168100990765,78.459762821628,75.086093753537,78.603987397943,74.532277511158,75.382066250127,72.736018710876,78.496028524125,77.248386924143,76.365458543515,74.271378512354,74.492989834751,76.275676524811,75.642729570686,77.425105421296,73.179897625887,71.679052879702,73.58155051348847
27,202002.OF,73.446729777871,65.738550043997,65.040598283186,55.46596616525,71.33927428092,73.979286135507,77.54656332415,78.386902716944,74.97412598106,78.836128461658,74.35499202991,76.734905451817,72.238468635275,78.648681094515,76.79890725878,76.163497185861,75.502037909588,74.746181998254,76.879977663003,75.199453914511,77.724986814167,72.568819866519,71.6636899423,73.65124891021927
28,202003.OF,77.365636606925,81.231583655343,81.697176173807,69.807772522983,87.991951697,89.285775623181,87.50377818263,90.847909122403,88.165659762233,82.460985754506,85.626776356404,84.791952306472,77.846882690725,85.422609678905,76.853243297879,78.385761362436,65.452137525477,72.601116998391,73.750187941286,84.737648282095,81.40762103751,73.44083971871,69.916406486981,80.28658316453401
29,202005.OF,76.166028139122,61.87743544796,91.894394526686,88.484636202889,83.89667971399,86.781285716401,89.830602889561,89.469118665203,78.576627398347,76.080869680943,90.901677654645,91.422862562687,86.509962493108,89.210804787059,84.800721975475,89.145330258003,92.289093909126,90.412560967644,88.613278005787,91.05771416285,91.400974118501,90.728802000148,91.141724487803,86.55187764191034
30,202007.OF,69.335597820189,65.080337383084,66.156238029078,70.591356022763,78.906187832278,83.293347025014,82.007893400551,91.691519129901,80.197486925959,87.342078741084,93.460574617294,91.623343144696,78.811146675202,84.33560640166,88.16789990593,81.1054660322,72.735196659733,75.906094220924,74.078987355132,73.977844680642,81.890973749556,73.933262098445,72.762513922572,79.01699790321248
