,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
503,519773.OF,379.0,231480177.5,1214.0,222859173.9,164.0,219979039.88,379.0,123525769.48,150.0,120566192.7,149.0,110849828.6,217.0,102306708.4,962.0,99370908.0,338.0,92109282.32,21.0,86542872.0
504,519908.OF,2311.0,49665733.2,427.0,45238219.2,406.0,41558745.7,69.0,40610586.3,737.0,36623196.72,1032.0,34426563.0,732.0,34132085.0,29.0,33113593.8,452.0,30463840.0,593.0,27127326.42
505,519915.OF,715.0,578697589.21,2045.0,541877568.0,1429.0,478430077.41,888.0,466220973.6,658.0,417935342.8,1488.0,417431948.56,456.0,306624120.66,700.0,252230874.42,188.0,219532569.57,370.0,194326951.0
506,519929.OF,523.0,6196649.25,144.0,5808451.68,1495.0,5633298.0,1260.0,5590640.0,158.0,4909728.0,39.0,4688189.0,195.0,4496784.24,538.0,4291768.0,723.0,4262050.0,530.0,4149127.45
507,519983.OF,755.0,32257044.03,1495.0,13151952.0,158.0,10666528.0,71.0,10619856.0,507.0,10604468.0,180.0,10593226.0,412.0,10494908.0,229.0,10250928.0,76.0,10228432.0,230.0,10181600.0
508,519991.OF,261.0,6803358.71,755.0,6370513.4,219.0,6222144.0,361.0,5655000.0,362.0,4775261.0,167.0,4655690.0,237.0,4414095.0,456.0,4221298.0,775.0,4139760.0,39.0,3868300.0
509,519995.OF,2045.0,279015000.0,962.0,161028000.0,2311.0,160153000.0,683.0,158450755.9,360.0,153780000.0,1488.0,135763100.0,1357.0,130189632.0,412.0,127167285.52,316.0,110179671.0,602.0,96969939.36
510,530001.OF,673.0,87654166.3,1214.0,64583100.0,1429.0,39568282.99,551.0,37785771.0,2311.0,35251963.2,439.0,33152289.75,990.0,32138026.38,215.0,31296512.0,764.0,29758625.4,298.0,23618960.56
511,530003.OF,2045.0,145045525.0,1386.0,128070415.0,142.0,104493177.04,750.0,103819755.0,422.0,103259902.56,453.0,101756382.0,2311.0,96645471.8,591.0,79824614.01,561.0,74648998.46,1357.0,65878452.0
512,530006.OF,2311.0,47495202.47,2045.0,45995200.0,1032.0,43555381.0,732.0,27876382.0,409.0,24976695.0,455.0,24045500.01,345.0,23208619.2,1207.0,19717005.0,687.0,18377451.0,665.0,18337128.57
513,550001.OF,742.0,35648436.0,633.0,20105184.0,487.0,19821038.0,133.0,18796928.0,339.0,14967478.0,255.0,14079509.0,818.0,13513126.0,442.0,13073780.0,252.0,12838928.0,1429.0,12741856.0
514,550002.OF,685.0,124500000.0,673.0,124075000.0,2311.0,80076500.0,835.0,74374000.0,325.0,50330000.0,544.0,49840000.0,608.0,49839000.0,279.0,43213098.54,990.0,39338000.0,987.0,38740500.0
515,550003.OF,742.0,13099056.0,2311.0,10583825.4,1429.0,8592370.0,633.0,8419576.0,1104.0,8143200.0,443.0,7856010.0,935.0,6793605.0,558.0,6607454.0,818.0,6420452.0,2045.0,5921882.0
516,550008.OF,673.0,202065000.0,685.0,178224240.0,835.0,88429824.35,2311.0,82364400.0,436.0,75404800.0,700.0,74214000.0,544.0,68530000.0,325.0,67945500.0,507.0,63800000.0,990.0,60520000.0
