,thscode,bondfundtype20230630,bondfundtype20221231,bondfundtype20220630,bondfundtype20211231,bondfundtype20210630,bondfundtype20201231,bondtype
162,003265.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
163,003268.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
164,003269.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
165,003280.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
166,003285.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
167,003289.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
168,003290.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
169,003313.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
170,003315.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
171,003327.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
172,003329.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
173,003417.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
174,003428.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
175,003438.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
176,003440.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
177,003445.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
178,003452.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
179,003454.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
180,003518.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
181,003528.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
182,003547.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
183,003569.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
184,003571.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
185,003590.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
186,003605.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
187,003607.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
188,003640.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
189,003651.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
190,003660.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
191,003662.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
192,003671.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
193,003673.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
194,003730.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
195,003746.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
196,003770.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
197,003809.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
198,003832.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
199,003859.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
200,003863.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
201,003869.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
202,003929.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
203,003949.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
204,003952.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
205,003983.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
206,004020.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
207,004027.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
208,004030.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
209,004031.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
210,004032.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
211,004042.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
212,004052.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
213,004061.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
214,004118.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
215,004122.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
216,004124.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
217,004126.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
218,004127.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
219,004136.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
220,004140.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
221,004141.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
222,004200.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
223,004230.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
224,004238.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
225,004307.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
226,004322.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
227,004334.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
228,004366.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
229,004388.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
230,004438.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
231,004459.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
232,004479.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
233,004498.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
234,004499.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
235,004503.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
236,004544.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
237,004547.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
238,004555.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
