,thscode,久期标签20230930,久期标签20230630,久期标签20230331,久期标签20221231,久期标签20220930,久期标签20220630,Duration
181,002698.OF,中,短,短,中,中,长,轮动基金
182,003223.OF,中,中,长,长,长,长,轮动基金
183,004122.OF,中,中,中,长,中,中,轮动基金
184,002927.OF,中,短,短,中,长,长,轮动基金
185,002985.OF,中,短,中,长,长,长,轮动基金
186,000147.OF,中,长,长,中,中,长,轮动基金
187,003162.OF,中,短,短,短,短,中,轮动基金
188,003417.OF,中,长,中,长,长,中,轮动基金
189,519330.OF,中,中,中,长,中,短,轮动基金
190,003268.OF,中,中,中,中,中,中,稳定中
191,002750.OF,中,中,长,长,长,长,轮动基金
192,485105.OF,中,长,长,长,长,长,轮动基金
193,004200.OF,中,中,短,短,中,中,轮动基金
194,530021.OF,中,长,中,短,中,中,轮动基金
195,005439.OF,中,短,中,短,中,中,轮动基金
196,001785.OF,中,长,长,长,长,长,轮动基金
197,000137.OF,中,长,长,长,长,长,轮动基金
198,160618.SZ,中,中,长,长,长,长,轮动基金
199,070005.OF,中,中,中,中,中,长,轮动基金
200,003213.OF,中,中,长,中,中,长,轮动基金
201,004923.OF,中,短,中,中,中,短,轮动基金
202,003869.OF,中,短,中,中,短,中,轮动基金
203,001993.OF,中,中,中,长,长,长,轮动基金
204,000183.OF,中,中,中,中,中,中,稳定中
205,000469.OF,中,中,中,长,长,长,轮动基金
206,000943.OF,中,中,中,长,长,中,轮动基金
207,003832.OF,中,中,中,长,长,长,轮动基金
208,002395.OF,中,短,短,短,短,短,轮动基金
209,004919.OF,中,中,中,中,中,短,轮动基金
210,005897.OF,中,长,中,长,中,长,轮动基金
211,006066.OF,中,中,中,中,中,中,稳定中
212,004555.OF,中,中,中,中,中,中,稳定中
213,161117.SZ,中,短,中,中,中,中,轮动基金
214,003039.OF,中,中,中,中,中,中,稳定中
215,004118.OF,中,中,中,长,中,长,轮动基金
216,003155.OF,短,中,中,中,短,中,轮动基金
217,519746.OF,短,中,中,中,中,长,轮动基金
218,202103.OF,短,中,长,长,长,长,轮动基金
219,004027.OF,短,中,中,短,中,中,轮动基金
220,003983.OF,短,长,中,中,中,中,轮动基金
221,004498.OF,短,中,短,短,长,长,轮动基金
222,005782.OF,短,短,中,中,短,中,轮动基金
223,519680.OF,短,中,短,中,长,长,轮动基金
224,002552.OF,短,中,中,长,长,长,轮动基金
225,000191.OF,短,中,中,中,中,中,轮动基金
226,003809.OF,短,短,中,短,中,短,轮动基金
227,070037.OF,短,长,短,中,长,长,轮动基金
228,005577.OF,短,中,中,短,短,中,轮动基金
229,002898.OF,短,中,中,短,短,短,轮动基金
230,004614.OF,短,中,短,短,短,中,轮动基金
231,002341.OF,短,中,中,中,中,中,轮动基金
232,005648.OF,短,中,中,长,中,中,轮动基金
233,519784.OF,短,中,中,中,中,中,轮动基金
234,002868.OF,短,长,中,中,中,中,轮动基金
235,003607.OF,短,中,中,中,中,中,轮动基金
236,003214.OF,短,中,中,短,长,长,轮动基金
237,004797.OF,短,短,中,中,中,中,轮动基金
238,004637.OF,短,短,中,中,中,中,轮动基金
239,002603.OF,短,短,短,短,短,短,稳定短
240,000552.OF,短,中,短,短,短,短,轮动基金
241,005469.OF,短,中,中,中,长,中,轮动基金
242,005171.OF,短,中,中,长,长,长,轮动基金
