,thscode,总排名,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
0,007167.OF,0,华安安和债券A,康钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
1,003265.OF,1,招商招坤纯债A,郭敏,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
2,002929.OF,2,博时聚盈纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
3,000516.OF,3,富国祥利一年期定期开放债券型A,黄纪亮,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
4,007958.OF,4,华泰柏瑞益通三个月定开债,罗远航,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
5,007105.OF,5,国泰丰鑫纯债债券,刘嵩扬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
6,003859.OF,6,招商招旭纯债A,郭敏,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
7,005853.OF,7,财通聚利债券,罗晓倩,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
8,008207.OF,8,国泰合融纯债债券A,"刘嵩扬,魏伟",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
9,007997.OF,9,易方达年年恒秋纯债一年定期开放债券A,李一硕,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
10,007870.OF,10,鹏华尊信3个月定开发起式债券,杜培俊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
11,003102.OF,11,长盛盛裕纯债A,王贵君,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
12,006929.OF,12,博时富融纯债债券,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
13,519782.OF,13,交银裕隆纯债债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
14,007828.OF,14,创金合信信用红利债券A,"张贺章,郑振源,谢创",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
15,008383.OF,15,招商安心收益债券A,马龙,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
16,004322.OF,16,创金尊隆纯债A,郑振源,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
17,003209.OF,17,鹏华丰达债券,杜培俊,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
18,006045.OF,18,长城久瑞三个月定期开放债券发起式,"张棪,吴冰燕",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
19,005712.OF,19,兴全祥泰定期开放债券,"石广翔,王健,翟秀华",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
20,006850.OF,20,永赢颐利债券,谢越,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
21,530021.OF,21,建信纯债A,"黎颖芳,彭紫云",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
22,009252.OF,22,蜂巢添元纯债A,金之洁,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
23,006626.OF,23,山证超短债基金A,"缪佳,刘凌云",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
24,008774.OF,24,招商鑫福中短债A,李家辉,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
25,008746.OF,25,财通多利债券A,"闫梦璇,罗晓倩",中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
26,005719.OF,26,招商招诚半年定开债发起式,李家辉,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
27,000037.OF,27,广发景宁纯债A,宋倩倩,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
28,001993.OF,28,博时裕泰纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
29,006985.OF,29,兴全恒裕债券A,王帅,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
30,006405.OF,30,华富恒盛纯债债券A,倪莉莎,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
31,005754.OF,31,平安短债A,欧阳亮,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
32,010048.OF,32,平安短债I,欧阳亮,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,,0.0
33,007525.OF,33,易方达年年恒夏纯债A,李一硕,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
34,007175.OF,34,国联聚通定期开放债券,"王玥,石霄蒙",中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
35,519746.OF,35,交银丰享收益债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,,0.0
36,006066.OF,36,中加颐睿纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
37,006151.OF,37,南方交元债券,"陈霜阳,李璇",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
38,001819.OF,38,兴全稳益定开债券,"翟秀华,王健,石广翔",中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,1.0
39,006629.OF,39,招商鑫悦中短债A,郭敏,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
40,007529.OF,40,嘉实汇鑫中短债债券A,"赵国英,王立芹",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
41,006965.OF,41,财通安瑞短债债券A,"罗晓倩,闫梦璇",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
42,007744.OF,42,长盛安逸纯债债券A,王贵君,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
43,003155.OF,43,中加丰尚纯债债券A,王霈,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
44,008646.OF,44,天弘增利短债A,"王昌俊,王顺利",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
45,008204.OF,45,交银稳利中短债债券A,黄莹洁,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
46,007017.OF,46,平安如意中短债A,"张文平,张璐",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
47,003547.OF,47,鹏华丰禄债券,刘涛,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
48,004920.OF,48,富国泓利纯债债券型发起式A,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
49,009289.OF,49,富国长江经济带纯债债券,"吕春杰,张洋",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
50,004919.OF,50,兴全兴泰债券,"王帅,田志祥,季伟杰",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
51,005307.OF,51,财通资管鸿达纯债债券A,"王珊,陈希希",中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
52,519322.OF,52,浦银安盛盛元定开债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1.0
53,650001.OF,53,英大纯债债券A,"张大铮,张婧珣,易祺坤",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
54,100072.OF,54,富国强回报定期开放债券A,黄纪亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
55,006597.OF,55,国泰利享中短债债券A,"陶然,丁士恒",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
56,000914.OF,56,中加纯债债券,闫沛贤,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
57,007537.OF,57,景顺长城景泰盈利纯债债券,彭成军,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
58,005791.OF,58,华夏鼎福三个月定开债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
59,007427.OF,59,永赢凯利债券,"杨凡颖,张雪",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
60,003863.OF,60,招商招祥纯债A,"马龙,王梓林",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债,0.0
61,000931.OF,61,国寿安保尊益信用纯债债券,"陶尹斌,丁宇佳",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
62,003983.OF,62,鹏华丰惠债券,杜培俊,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
63,008857.OF,63,华夏鼎航债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
64,003289.OF,64,创金合信尊泰纯债,郑振源,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
65,009356.OF,65,博时季季乐持有期债券A,"李更,倪玉娟",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
66,009655.OF,66,工银尊益中短债债券A,谷衡,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,,0.0
67,000355.OF,67,南方丰元信用增强债券A,李璇,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
68,006953.OF,68,华安安业债券A,康钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
69,007542.OF,69,永赢开泰中高等级中短债A,卢绮婷,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
70,007373.OF,70,永赢卓利债券,"张雪,杨凡颖",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
71,003949.OF,71,兴全稳泰债券A,王帅,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
72,004736.OF,72,富国鼎利纯债三个月定开债,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
73,531028.OF,73,建信短债债券A,"陈建良,李星佑,吴沛文",短期纯债券型基金,稳定大基金公司,稳定短,轮动基金,,0.0
74,270048.OF,74,广发纯债债券A,宋倩倩,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
75,003640.OF,75,兴业裕丰债券,冯小波,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
76,002927.OF,76,长盛盛和纯债A,王贵君,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
77,006707.OF,77,永赢宏益债券A,谢越,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
78,000783.OF,78,博时季季享三个月持有期债券A,"于渤洋,黄海峰",短期纯债券型基金,稳定大基金公司,稳定短,轮动基金,稳定信用债,0.0
79,006824.OF,79,创金合信鑫日享短债债券A,"闫一帆,谢创,张贺章",混合债券型基金(一级),稳定小基金公司,稳定短,轮动基金,轮动基金,0.0
80,009271.OF,80,博时信用优选债券A,于渤洋,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
81,007985.OF,81,博时富悦纯债A,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
82,007616.OF,82,富国投资级信用债A,"黄纪亮,朱梦娜",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
83,007213.OF,83,华安安平定开,康钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
84,008022.OF,84,建信短债债券F,"李星佑,吴沛文,陈建良",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,,0.0
85,004601.OF,85,博时富腾纯债债券,郭思洁,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
86,002868.OF,86,鹏华丰茂债券,杜培俊,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
87,009580.OF,87,招商双债增强(LOF)D,刘万锋,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
88,006275.OF,88,永赢聚益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
89,004978.OF,89,富国聚利纯债三个月定开债发起式,"刘瀚驰,朱梦娜",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,1.0
90,006120.OF,90,国联聚明定期开放债券,"王玥,石霄蒙",混合债券型基金(一级),稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
91,006874.OF,91,创金合信恒兴中短债债券A,"黄佳祥,郑振源,谢创",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
92,006360.OF,92,财通资管鸿益中短债债券A,李杰,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
93,006517.OF,93,南方吉元短债A,黄斌斌,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
94,007645.OF,94,平安季享裕定开债A,张文平,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
95,007053.OF,95,平安季开鑫定开债A,张文平,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
96,006834.OF,96,工银尊享短债债券A,王朔,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
97,006332.OF,97,招商金鸿债券A,黄晓婷,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定中,稳定信用债,0.0
98,001783.OF,98,兴银合盈债券A,王深,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
99,003605.OF,99,景顺长城景泰汇利定期开放债券A,何江波,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
100,007595.OF,100,招商添泽纯债A,康晶,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
101,007513.OF,101,博时富丰3个月定开债发起式,郭思洁,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
102,009643.OF,102,嘉实致信一年定期纯债债券,轩璇,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
103,000053.OF,103,鹏华永诚一年定开债券,刘涛,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1.0
104,003703.OF,104,博时富鑫纯债债券A,"唐薇,张李陵",中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,轮动基金,0.0
105,003280.OF,105,鹏华丰恒债券,方昶,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
106,217022.OF,106,招商产业债券A,马龙,混合债券型基金(一级),稳定小基金公司,轮动基金,稳定中,稳定信用债,0.0
107,007417.OF,107,泰康信用精选债券A,经惠云,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
108,004061.OF,108,华夏鼎隆债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
109,007562.OF,109,景顺长城景泰纯利债券A,彭成军,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
110,005577.OF,110,交银丰晟收益债券A,于海颖,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定中,稳定信用债,0.0
111,006884.OF,111,添富AAA级信用纯债A,杨靖,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
112,005841.OF,112,富国尊利纯债定期开放债券型发起式,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
113,008411.OF,113,博时富信纯债债券,陈黎,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
114,006684.OF,114,富国信用债债券D,"吕春杰,陈倩,黄纪亮",中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,,0.0
115,005862.OF,115,华夏鼎禄三个月定开债券A,孙蕾,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
116,007618.OF,116,富国投资级信用债D,"朱梦娜,黄纪亮",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,,0.0
117,005439.OF,117,易方达恒安定开债券发起式,李一硕,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,1.0
118,003290.OF,118,长城久稳债券A,吴冰燕,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
119,004307.OF,119,博时富元纯债债券,"王帅,李汉楠",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
120,009343.OF,120,泰康长江经济带债券A,经惠云,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
121,004388.OF,121,鹏华丰享债券,方昶,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
122,002206.OF,122,博时裕康纯债,王帅,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
123,000084.OF,123,博时安盈债券A,黄海峰,短期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
124,009450.OF,124,中金新辉1年,董珊珊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
125,006936.OF,125,华安安盛定开,康钊,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债,1.0
126,005666.OF,126,上银慧佳盈债券,楼昕宇,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
127,006591.OF,127,广发景明中短债A,宋倩倩,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
128,008409.OF,128,景顺长城景泰裕利纯债A,彭成军,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
129,007930.OF,129,淳厚稳鑫债券A,江文军,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
130,004672.OF,130,华夏短债债券A,刘明宇,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,轮动基金,0.0
131,007158.OF,131,平安合盛定开债,张璐,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
132,007953.OF,132,平安惠文纯债,段玮婧,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
133,007347.OF,133,永赢昌利债券A,陶毅,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定中,稳定信用债,0.0
134,007915.OF,134,财通资管鸿福短债债券A,"王珊,李杰",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,轮动基金,0.0
135,007220.OF,135,天弘华享三个月定开,潘昱杉,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
136,005709.OF,136,华安鼎益债券A,郑如熙,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
137,002169.OF,137,永赢稳益债券,陶毅,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
138,006660.OF,138,永赢昌益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
139,005879.OF,139,中加颐兴定开债券,"颜灵珊,闫沛贤",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
140,009599.OF,140,嘉实致嘉纯债债券,轩璇,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
141,004122.OF,141,兴银长益三个月定开债,范泰奇,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
142,006793.OF,142,交银稳鑫短债债券A,"姬静,黄莹洁",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
143,007589.OF,143,嘉实致元42个月定期债券,王立芹,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
144,004127.OF,144,鹏华丰康债券A,"杜培俊,应琛,祝松",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
145,003671.OF,145,兴业裕恒债券,雷志强,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
146,007717.OF,146,工银尊享短债债券F,王朔,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,,0.0
147,006804.OF,147,富国短债债券型A,"张波,刘爱民",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
148,009600.OF,148,嘉实安泽一年定期纯债债券,"赵国英,王立芹",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
149,006970.OF,149,广发景利纯债,赵子良,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
150,202108.OF,150,南方润元纯债债券A/B,金凌志,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
151,004238.OF,151,永赢瑞益债券A,"余国豪,杨凡颖",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
152,000090.OF,152,民生加银高等级信用债债券A,李文君,短期纯债券型基金,稳定大基金公司,稳定短,轮动基金,,0.0
153,004118.OF,153,博时裕鹏纯债债券,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
154,009483.OF,154,鹏华普利债券A,刘涛,混合债券型基金(一级),稳定小基金公司,轮动基金,稳定中,稳定信用债,0.0
155,519137.OF,155,海富通瑞福债券A,"方昆明,张靖爽",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
156,008587.OF,156,淳厚中短债A,"祁洁萍,江文军",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
157,000402.OF,157,工银纯债债券A,"张略钊,谷衡",中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
158,006852.OF,158,永赢迅利中高等级短债A,卢绮婷,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债,0.0
159,000943.OF,159,工银中高等级信用债债券A,陈桂都,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
160,001619.OF,160,兴银汇福定开债,范泰奇,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1.0
161,000191.OF,161,富国信用债债券A/B,"黄纪亮,吕春杰,陈倩",中长期纯债券型基金,稳定大基金公司,稳定中,轮动基金,稳定信用债,0.0
162,007374.OF,162,永赢淳利债券,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
163,008568.OF,163,蜂巢丰业一年定开,"廖新昌,金之洁",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
164,006489.OF,164,招商添裕纯债A,"向霈,马龙",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定小,稳定信用债,0.0
165,007321.OF,165,鹏华金利债券,邓明明,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
166,006995.OF,166,南方惠利6个月定开债券A,金凌志,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
167,005383.OF,167,富国绿色纯债一年定开债券,朱梦娜,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
168,001299.OF,168,兴业添利债券,"伍方方,周鸣",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
169,005369.OF,169,富国臻利纯债定期开放债券型发起式,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
170,005432.OF,170,上银聚鸿益三个月定开债券发起式,"蔡唯峰,许佳",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
171,006806.OF,171,西部利得添盈短债债券A,刘心峰,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债,0.0
172,006668.OF,172,华夏中短债债券A,刘明宇,短期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
173,009001.OF,173,长城泰利债券A,"张棪,吴冰燕",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
174,004705.OF,174,南方祥元A,黄斌斌,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
175,007754.OF,175,上银慧永利中短期债券A,葛沁沁,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
176,006829.OF,176,鹏扬利沣短债A,"陈钟闻,王黎骁",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,轮动基金,0.0
177,008497.OF,177,鹏扬浦利中短债A,陈钟闻,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
178,000469.OF,178,富国目标齐利一年期纯债债券,"张洋,黄纪亮",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
179,006998.OF,179,广发景兴中短债A,宋倩倩,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
180,006107.OF,180,招商添利6个月定开债发起式A,"刘万锋,康晶",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
181,004637.OF,181,华夏鼎兴债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
182,040040.OF,182,华安纯债债券A,郑如熙,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
183,110053.OF,183,易方达安源中短债债券A,李一硕,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,,0.0
184,006740.OF,184,工银尊利中短债债券A,张略钊,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
185,007295.OF,185,天弘安益A,"程仕湘,赵鼎龙",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
186,004200.OF,186,博时富瑞纯债债券A,倪玉娟,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
187,007996.OF,187,博时富顺纯债债券,陈黎,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
188,005525.OF,188,工银瑞祥定开发起式债券,"赵建,李娜",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
189,007515.OF,189,鹏华稳利短债A,"王康佳,叶朝明",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
190,006411.OF,190,中加颐智纯债债券,王霈,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
191,003847.OF,191,华安鼎丰债券发起式A,"李邦长,康钊,郑如熙",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
192,004027.OF,192,广发景源纯债A,"刘志辉,方抗",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
193,004923.OF,193,华夏鼎祥三个月定期开放债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
