,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
3330,009655.OF,009655,工银尊益中短债债券A,工银瑞信,谷衡,短期纯债券型基金,6805084071.24,A,纯债基金
3333,009666.OF,009666,兴全恒祥88个月定开债券,兴证全球基金,季伟杰,中长期纯债券型基金,8019504940.94,,纯债基金
3340,009685.OF,009685,景顺长城景泰宝利一年定期开放纯债发起式,景顺长城基金,"何江波,赵天彤",中长期纯债券型基金,515001536.08,,纯债基金
3344,009711.OF,009711,招商添盛78个月定开债,招商基金,黄晓婷,中长期纯债券型基金,8099437594.71,,纯债基金
3351,009732.OF,009732,兴业稳泰66个月定开债券,兴业基金,唐丁祥,中长期纯债券型基金,8048523796.9,,纯债基金
3357,009749.OF,009749,西部利得尊泰86个月定开债券,西部利得基金,"刘心峰,李烨",中长期纯债券型基金,8370559171.08,,纯债基金
3368,009770.OF,009770,英大安鑫66个月定期开放债券,英大基金,"易祺坤,张大铮",中长期纯债券型基金,8161935614.36,,纯债基金
3376,009792.OF,009792,工银瑞益债券A,工银瑞信,张略钊,中长期纯债券型基金,736801598.92,A,纯债基金
3378,009799.OF,009799,中银证券安汇三年定期开放债券,中银证券,"王玉玺,曹张琪",中长期纯债券型基金,8025944312.65,,纯债基金
3381,009809.OF,009809,易方达恒智63个月定开债券发起式,易方达基金,藏海涛,中长期纯债券型基金,8064158626.01,,纯债基金
3387,009831.OF,009831,长城稳利纯债A,长城基金,吴冰燕,中长期纯债券型基金,1092198102.97,A,纯债基金
3395,009851.OF,009851,上银聚远盈42个月定开债券,上银基金,葛沁沁,中长期纯债券型基金,8548966767.08,,纯债基金
3396,009866.OF,009866,永赢瑞宁87个月定开债,永赢基金,谢越,中长期纯债券型基金,8484222211.35,,纯债基金
3405,009920.OF,009920,鹏华年年红一年持有期债券A,鹏华基金,刘涛,中长期纯债券型基金,4610945029.43,A,纯债基金
3407,009922.OF,009922,华夏鼎富债券A,华夏基金,吴彬,中长期纯债券型基金,2091972447.22,A,纯债基金
3410,009933.OF,009933,浦银安盛普华66个月定开债券A,浦银安盛基金,李羿,中长期纯债券型基金,8035256648.5,A,纯债基金
3416,009953.OF,009953,华泰柏瑞锦乾债券,华泰柏瑞基金,罗远航,中长期纯债券型基金,2079895706.68,,纯债基金
3425,010048.OF,010048,平安短债I,平安基金,欧阳亮,短期纯债券型基金,8647675245.86,,纯债基金
3429,010083.OF,010083,中银欣享利率债,中银基金,"白洁,刘筱筠",中长期纯债券型基金,1886888876.16,,纯债基金
3430,010084.OF,010084,蜂巢丰瑞债券A,蜂巢基金,李海涛,混合债券型基金(一级),2127287292.62,A,纯债基金
3434,010092.OF,010092,永赢华嘉信用债A,永赢基金,"杨凡颖,曾琬云",中长期纯债券型基金,7420927070.85,A,纯债基金
3448,010168.OF,010168,天弘安利短债A,天弘基金,"柴文婷,程仕湘,刘莹",短期纯债券型基金,9950337217.09,A,纯债基金
3452,010191.OF,010191,华夏鼎信债券A,华夏基金,张海静,中长期纯债券型基金,2093018929.54,A,纯债基金
3457,010232.OF,010232,国寿安保泰安纯债债券,国寿安保基金,"丁宇佳,李谦",混合债券型基金(一级),3893083316.21,,纯债基金
3467,010254.OF,010254,嘉实丰年一年定期纯债债券A,嘉实基金,轩璇,中长期纯债券型基金,2628020343.18,A,纯债基金
3470,010258.OF,010258,淳厚稳悦A,淳厚基金,"张蕊,江文军",混合债券型基金(一级),304979571.19,A,纯债基金
3498,010462.OF,010462,中信保诚嘉润66个月定开纯债,中信保诚基金,臧淑玲,中长期纯债券型基金,8393809883.36,,纯债基金
3503,010471.OF,010471,易方达年年恒实纯债一年定期开放债券型发起式A,易方达基金,李一硕,中长期纯债券型基金,719620910.33,A,纯债基金
3509,010477.OF,010477,景顺长城景泰益利纯债债券,景顺长城基金,彭成军,中长期纯债券型基金,5548446714.03,,纯债基金
3510,010479.OF,010479,鹏华丰颐债券,鹏华基金,"刘涛,张丽娟",中长期纯债券型基金,4206968851.28,,纯债基金
3511,010482.OF,010482,汇添富盛和66个月定开债,汇添富基金,杨靖,中长期纯债券型基金,8351161094.7,,纯债基金
3512,010485.OF,010485,中航瑞晨87个月定开债A,中航基金,茅勇峰,中长期纯债券型基金,8097418042.22,A,纯债基金
3533,010580.OF,010580,长盛稳鑫63个月债券,长盛基金,王贵君,中长期纯债券型基金,8385745742.75,,纯债基金
3543,010621.OF,010621,永赢泰宁63个月定开债,永赢基金,钱布克,中长期纯债券型基金,8292298974.67,,纯债基金
3545,010627.OF,010627,淳厚安心87个月定开债,淳厚基金,"祁洁萍,江文军",中长期纯债券型基金,7832822198.520001,,纯债基金
3549,010632.OF,010632,工银瑞达一年定开纯债债券发起式,工银瑞信,陈桂都,中长期纯债券型基金,2135298463.29,,纯债基金
3551,010634.OF,010634,天弘合益A,天弘基金,"潘昱杉,程明",中长期纯债券型基金,4121125124.47,A,纯债基金
3553,010639.OF,010639,上银聚远鑫87个月定开债券,上银基金,葛沁沁,中长期纯债券型基金,8761134549.88,,纯债基金
3556,010653.OF,010653,农银金玉债券,农银汇理基金,郭振宇,中长期纯债券型基金,1248321084.67,,纯债基金
3560,010753.OF,010753,招商招旭纯债D,招商基金,郭敏,中长期纯债券型基金,5765290357.47,,纯债基金
3570,010836.OF,010836,国泰瑞泰纯债债券,国泰基金,刘嵩扬,中长期纯债券型基金,812436218.44,,纯债基金
3583,010946.OF,010946,中银证券汇福定期开放债券,中银证券,"余亮,王玉玺",中长期纯债券型基金,5425144861.96,,纯债基金
3591,010983.OF,010983,兴银汇泽87个月定开债券,兴银基金,"王深,范泰奇",中长期纯债券型基金,7624973600.65,,纯债基金
3604,011067.OF,011067,财通资管鸿达纯债债券I,财通证券资管,"王珊,陈希希",中长期纯债券型基金,7059177489.48,,纯债基金
3605,011079.OF,011079,嘉实致泓一年定期纯债债券,嘉实基金,王立芹,中长期纯债券型基金,1011258847.16,,纯债基金
3606,011080.OF,011080,鹏华尊和一年定开发起式债券,鹏华基金,邓明明,中长期纯债券型基金,8515985488.48,,纯债基金
3608,011088.OF,011088,景顺长城景泰恒利一年定开债券,景顺长城基金,彭成军,中长期纯债券型基金,4099334404.09,,纯债基金
3628,011262.OF,011262,华夏鼎英债券A,华夏基金,张海静,中长期纯债券型基金,1007093074.2,A,纯债基金
3632,011292.OF,011292,招商添裕纯债D,招商基金,"向霈,马龙",中长期纯债券型基金,5576010611.07,,纯债基金
3633,011294.OF,011294,招商添逸1年定开债,招商基金,黄晓婷,中长期纯债券型基金,8084723539.75,,纯债基金
3649,011529.OF,011529,上银慧兴盈债券,上银基金,葛沁沁,中长期纯债券型基金,1101221391.53,,纯债基金
3651,011617.OF,011617,添富AAA级信用纯债E,汇添富基金,杨靖,中长期纯债券型基金,11982248288.75,AAAE,纯债基金
3664,011655.OF,011655,天弘兴益一年定开,天弘基金,"程明,刘洋,潘昱杉",混合债券型基金(一级),5434377341.1,,纯债基金
3674,011683.OF,011683,华夏鼎华一年定开债券,华夏基金,孙蕾,中长期纯债券型基金,1505499047.38,,纯债基金
3675,011699.OF,011699,蜂巢丰华债券A,蜂巢基金,金之洁,混合债券型基金(一级),1052168969.46,A,纯债基金
3677,011719.OF,011719,浦银安盛盛华一年定开债券,浦银安盛基金,曹治国,中长期纯债券型基金,6312339793.23,,纯债基金
3684,011890.OF,011890,中金新璟3个月,中金基金,董珊珊,中长期纯债券型基金,1529299546.14,,纯债基金
3694,011943.OF,011943,工银瑞盛一年定开纯债债券发起式,工银瑞信,"李娜,王朔",中长期纯债券型基金,5433168646.62,,纯债基金
3696,011946.OF,011946,建信裕丰利率债三个月定期开放债券A,建信基金,刘思,中长期纯债券型基金,4124117441.11,A,纯债基金
3700,011952.OF,011952,万家悦兴3个月定开债发起式,万家基金,"石东,周潜玮",中长期纯债券型基金,2754488828.32,,纯债基金
3701,011953.OF,011953,招商招瑞纯债债券发起式D,招商基金,刘万锋,中长期纯债券型基金,1548279051.96,,纯债基金
3703,011955.OF,011955,招商招祥纯债D,招商基金,"马龙,王梓林",中长期纯债券型基金,8082899883.78,,纯债基金
3704,011960.OF,011960,兴业嘉福一年定开债券发起式,兴业基金,冯小波,中长期纯债券型基金,8065178960.94,,纯债基金
3705,011961.OF,011961,易方达稳鑫30天滚动短债A,易方达基金,"李一硕,刘琬姝",短期纯债券型基金,1210337317.54,A,纯债基金
3707,011968.OF,011968,农银金盛债券,农银汇理基金,郭振宇,中长期纯债券型基金,7833222706.21,,纯债基金
3734,012101.OF,012101,中金金合,中金基金,董珊珊,混合债券型基金(一级),2051752812.1,,纯债基金
3754,012229.OF,012229,华安众鑫90天滚动短债A,华安基金,"马晓璇,郑如熙",短期纯债券型基金,867325104.58,A,纯债基金
3758,012242.OF,012242,华安添荣中短债A,华安基金,"郑如熙,鲍越愚",短期纯债券型基金,55635051.01,A,纯债基金
3761,012265.OF,012265,天弘安怡30天滚动持有短债发起式,天弘基金,"王昌俊,程仕湘",短期纯债券型基金,4809294445.04,,纯债基金
3764,012273.OF,012273,富国汇鑫金融债三个月定期开放债券A,富国基金,"朱梦娜,朱征星",中长期纯债券型基金,4813014276.06,A,纯债基金
3766,012279.OF,012279,嘉实稳和6个月持有期纯债债券A,嘉实基金,王亚洲,中长期纯债券型基金,11955566617.6,A,纯债基金
3770,012290.OF,012290,国联恒益纯债A,国联基金,石霄蒙,中长期纯债券型基金,1009297938.76,A,纯债基金
3785,012352.OF,012352,英大通惠多利债券A,英大基金,"易祺坤,韩坪",中长期纯债券型基金,1056096156.04,A,纯债基金
3787,012356.OF,012356,浦银安盛季季鑫90天滚动持有短债A,浦银安盛基金,曹治国,短期纯债券型基金,1835556745.22,A,纯债基金
3795,012395.OF,012395,兴业60天滚动持有短债A,兴业基金,刘禹含,短期纯债券型基金,2346314219.35,A,纯债基金
3812,012451.OF,012451,国寿安保安恒金融债债券,国寿安保基金,李一鸣,中长期纯债券型基金,1107241535.44,,纯债基金
3813,012452.OF,012452,国泰利优30天滚动持有短债债券A,国泰基金,陶然,短期纯债券型基金,6439305346.73,A,纯债基金
3815,012465.OF,012465,上银慧嘉利债券,上银基金,许佳,中长期纯债券型基金,13055478176.45,,纯债基金
3816,012468.OF,012468,中银证券安灏债券A,中银证券,"曹张琪,余亮",中长期纯债券型基金,62396209.31,A,纯债基金
3818,012489.OF,012489,招商招顺纯债D,招商基金,刘万锋,中长期纯债券型基金,1680259438.04,,纯债基金
3825,012567.OF,012567,长城久稳债券D,长城基金,吴冰燕,中长期纯债券型基金,813272684.88,,纯债基金
3828,012580.OF,012580,财通资管鸿安30天滚动持有中短债债券A,财通证券资管,"陈希希,周庆",短期纯债券型基金,3563923260.17,A,纯债基金
3830,012591.OF,012591,广发添财180天滚动持有债券A,广发基金,宋倩倩,混合债券型基金(一级),2094312339.16,A,纯债基金
3856,012742.OF,012742,工银瑞富一年定开纯债债券发起式,工银瑞信,张略钊,中长期纯债券型基金,10140372.75,,纯债基金
3860,012750.OF,012750,上银慧鼎利债券,上银基金,楼昕宇,中长期纯债券型基金,765762681.1,,纯债基金
3861,012773.OF,012773,嘉实超短债债券A,嘉实基金,李金灿,短期纯债券型基金,22504160590.99,A,纯债基金
3869,012803.OF,012803,国联聚优一年定开债券,国联基金,石霄蒙,中长期纯债券型基金,8268284188.19,,纯债基金
3870,012806.OF,012806,招商添呈1年定开债,招商基金,黄晓婷,中长期纯债券型基金,3050160773.96,,纯债基金
3875,012823.OF,012823,富国安利90天滚动持有债券A,富国基金,张波,中长期纯债券型基金,978125324.9,A,纯债基金
3890,012933.OF,012933,易方达稳丰90天滚动持有短债债券A,易方达基金,梁莹,短期纯债券型基金,987502075.93,A,纯债基金
3896,012941.OF,012941,广发添财90天滚动持有债券A,广发基金,宋倩倩,混合债券型基金(一级),1653807630.06,A,纯债基金
3899,012948.OF,012948,兴证全球恒利一年定开债券发起式,兴证全球基金,"邓娟,翟秀华",中长期纯债券型基金,3091986293.62,,纯债基金
3902,013008.OF,013008,淳厚稳宁6个月定开债,淳厚基金,"江文军,祁洁萍",中长期纯债券型基金,1011839548.95,,纯债基金
3908,013062.OF,013062,国寿安保安诚纯债一年定开债券,国寿安保基金,"李一鸣,高鑫",混合债券型基金(一级),894031184.68,,纯债基金
3911,013065.OF,013065,国泰利泽90天滚动持有中短债债券A,国泰基金,陶然,短期纯债券型基金,3867064958.04,A,纯债基金
3913,013068.OF,013068,博时双月享60天滚动持有债券A,博时基金,郭思洁,中长期纯债券型基金,679961799.18,A,纯债基金
3917,013075.OF,013075,建信鑫悦90天滚动持有中短债债券发起A,建信基金,"彭紫云,陈建良",短期纯债券型基金,9242811292.41,A,纯债基金
3919,013077.OF,013077,永赢乾益债券,永赢基金,钱布克,中长期纯债券型基金,6360019013.34,,纯债基金
3920,013087.OF,013087,中加优悦一年定开债券,中加基金,袁素,中长期纯债券型基金,8436273492.54,,纯债基金
3935,013159.OF,013159,国泰瑞鑫一年定期开放债券发起式,国泰基金,索峰,中长期纯债券型基金,6207815957.22,,纯债基金
3948,013206.OF,013206,广发汇宜一年定期开放债券,广发基金,宋倩倩,中长期纯债券型基金,6273775843.25,,纯债基金
3953,013213.OF,013213,兴业嘉鸿一年定开债券发起式,兴业基金,"雷志强,蔡艳菲",中长期纯债券型基金,2038828212.22,,纯债基金
3956,013216.OF,013216,财通资管鸿启90天滚动持有发起式中短债A,财通证券资管,陈希希,短期纯债券型基金,5222390364.68,A,纯债基金
3965,013236.OF,013236,长信30天滚动持有短债债券A,长信基金,"邹依恩,杜国昊",短期纯债券型基金,26655924221.27,A,纯债基金
3973,013265.OF,013265,鹏扬淳熙一年定开债券发起式,鹏扬基金,焦翠,中长期纯债券型基金,1078321364.8,,纯债基金
3981,013336.OF,013336,天弘安悦90天滚动持有短债发起,天弘基金,"王昌俊,王顺利",短期纯债券型基金,876496878.22,,纯债基金
3982,013351.OF,013351,中加聚安60天滚动持有中短债发起式A,中加基金,闫沛贤,短期纯债券型基金,107219586.86,A,纯债基金
3984,013373.OF,013373,中银证券安业债券A,中银证券,"余亮,曹张琪",中长期纯债券型基金,62560822.25,A,纯债基金
3986,013375.OF,013375,平安元鑫120天滚动持有中短债A,平安基金,"欧阳亮,苏宁",混合债券型基金(一级),571166233.51,A,纯债基金
3991,013391.OF,013391,招商安泰债券D,招商基金,刘万锋,混合债券型基金(一级),2753467339.32,,纯债基金
3995,013405.OF,013405,中航瑞旭3个月定开债A,中航基金,茅勇峰,中长期纯债券型基金,405267021.34,A,纯债基金
3997,013408.OF,013408,蜂巢丰和债券A,蜂巢基金,李海涛,混合债券型基金(一级),1553948303.26,A,纯债基金
4001,013419.OF,013419,交银裕景纯债一年定期开放债券,交银施罗德,"季参平,张顺晨",中长期纯债券型基金,6211907815.42,,纯债基金
4007,013456.OF,013456,长盛安逸纯债债券D,长盛基金,王贵君,中长期纯债券型基金,9734363894.39,,纯债基金
4008,013457.OF,013457,华夏鼎业三个月定开债券A,华夏基金,"吴彬,张海静",中长期纯债券型基金,2676506410.85,A,纯债基金
4010,013459.OF,013459,华夏稳鑫增利80天债券A,华夏基金,"吴彬,张海静",混合债券型基金(一级),321759409.66,A,纯债基金
4013,013487.OF,013487,华安领荣一年定开债券发起式,华安基金,"康钊,林唐宇",中长期纯债券型基金,1020020506.56,,纯债基金
4016,013494.OF,013494,华泰柏瑞锦元债券,华泰柏瑞基金,罗远航,中长期纯债券型基金,522642677.85,,纯债基金
4023,013522.OF,013522,华富吉丰60天滚动持有中短债A,华富基金,"尹培俊,倪莉莎",短期纯债券型基金,6054555676.16,A,纯债基金
4027,013538.OF,013538,鹏华永宁3个月定开债券,鹏华基金,"邓明明,杜培俊",中长期纯债券型基金,1000951903.84,,纯债基金
4036,013563.OF,013563,银华季季盈3个月滚动持有债券A,银华基金,"王树丽,魏昕宇",混合债券型基金(一级),11559620776.18,A,纯债基金
4060,013648.OF,013648,长信稳丰债券A,长信基金,邹依恩,中长期纯债券型基金,1037604882.97,A,纯债基金
4064,013654.OF,013654,永赢信利碳中和一年定开债券发起,永赢基金,吴玮,中长期纯债券型基金,2653654364.26,,纯债基金
4076,013699.OF,013699,永赢安盈90天滚动持有债券发起A,永赢基金,"吴玮,杨凡颖,谢越",中长期纯债券型基金,464585652.88,A,纯债基金
4078,013703.OF,013703,招商添福1年定开债,招商基金,马龙,中长期纯债券型基金,11270321462.06,,纯债基金
4083,013718.OF,013718,兴银稳益30天持有期债券A,兴银基金,王深,中长期纯债券型基金,42790298.3,A,纯债基金
4086,013723.OF,013723,上银聚顺益一年定开债券发起式,上银基金,"蔡唯峰,楼昕宇",中长期纯债券型基金,1014315598.78,,纯债基金
4089,013728.OF,013728,创金合信恒宁30天滚动持有短债A,创金合信基金,"谢创,黄佳祥",混合债券型基金(一级),2650396466.5,A,纯债基金
4103,013780.OF,013780,华夏鼎丰债券,华夏基金,孙蕾,中长期纯债券型基金,2617008671.02,,纯债基金
4108,013799.OF,013799,财通安裕30天持有期中短债债券A,财通基金,"罗晓倩,闫梦璇",短期纯债券型基金,7072692166.13,A,纯债基金
4111,013804.OF,013804,财通资管鸿越3个月滚动持有债券A,财通证券资管,陈希希,混合债券型基金(一级),2135585840.88,A,纯债基金
4115,013808.OF,013808,易方达稳悦120天滚动短债A,易方达基金,"刘琬姝,李一硕",短期纯债券型基金,613302733.05,A,纯债基金
4120,013821.OF,013821,南方定利一年定开债券,南方基金,金凌志,中长期纯债券型基金,5347337925.87,,纯债基金
4126,013838.OF,013838,中银恒嘉60天滚动持有短债A,中银基金,"朱水媚,白洁",短期纯债券型基金,73857263.79,A,纯债基金
4131,013864.OF,013864,平安元泓30天滚动持有短债A,平安基金,"刘晓兰,欧阳亮",混合债券型基金(一级),584175707.19,A,纯债基金
4134,013875.OF,013875,鑫元合享纯债D,鑫元基金,郭卉,中长期纯债券型基金,387970847.1,,纯债基金
4135,013901.OF,013901,华安众享180天持有期中短债A,华安基金,郑如熙,混合债券型基金(一级),443572461.98,A,纯债基金
4137,013931.OF,013931,博时富恒一年定开债发起式,博时基金,黄海峰,中长期纯债券型基金,2550015708.56,,纯债基金
4140,013952.OF,013952,工银瑞和3个月定期开放债券A,工银瑞信,"张略钊,赵建",中长期纯债券型基金,1184045350.32,A,纯债基金
4150,013976.OF,013976,财通资管鸿佳60天滚动持有发起式中短债A,财通证券资管,李杰,短期纯债券型基金,1546688910.46,A,纯债基金
4160,014004.OF,014004,博时富璟一年定开债,博时基金,黄海峰,中长期纯债券型基金,7274594176.48,,纯债基金
4162,014012.OF,014012,蜂巢丰吉纯债A,蜂巢基金,金之洁,中长期纯债券型基金,1042025490.37,A,纯债基金
4167,014059.OF,014059,富国安慧短债债券A,富国基金,"张波,吴旅忠",短期纯债券型基金,136940203.78,A,纯债基金
4180,014097.OF,014097,鹏扬利鑫60天滚动持有债券A,鹏扬基金,"黄乐婷,陈钟闻",混合债券型基金(一级),3603865346.93,A,纯债基金
4184,014105.OF,014105,长城信利一年定开债券发起式,长城基金,"魏建,吴冰燕",中长期纯债券型基金,2080812057.58,,纯债基金
4193,014230.OF,014230,国泰瑞丰纯债债券,国泰基金,索峰,中长期纯债券型基金,3034463477.78,,纯债基金
4194,014231.OF,014231,国寿安保安锦纯债一年定开债券发起式,国寿安保基金,卢珊,混合债券型基金(一级),2406879885.5,,纯债基金
4195,014234.OF,014234,永赢轩益债券,永赢基金,章成,中长期纯债券型基金,2039563137.9,,纯债基金
4197,014242.OF,014242,农银悦利债券,农银汇理基金,郭振宇,中长期纯债券型基金,1608110064.81,,纯债基金
4198,014248.OF,014248,兴业一年持有期债券A,兴业基金,"蔡艳菲,周鸣",混合债券型基金(一级),2603241119.76,A,纯债基金
4200,014250.OF,014250,建信鑫怡90天滚动持有中短债债券A,建信基金,"徐华婧,陈建良",短期纯债券型基金,995200738.77,A,纯债基金
4202,014252.OF,014252,华泰柏瑞鸿裕90天滚动持有短债A,华泰柏瑞基金,"郑青,何子建,王烨斌",短期纯债券型基金,125401082.75,A,纯债基金
4204,014257.OF,014257,国联恒泽纯债A,国联基金,石霄蒙,中长期纯债券型基金,755791326.87,A,纯债基金
4216,014315.OF,014315,鹏华双季享180天持有期债券A,鹏华基金,刘涛,中长期纯债券型基金,9749161431.88,A,纯债基金
4222,014367.OF,014367,招商添悦纯债D,招商基金,刘万锋,中长期纯债券型基金,8211262708.58,,纯债基金
4232,014392.OF,014392,嘉实致乾纯债债券,嘉实基金,"赵国英,崔思维,陈硕",中长期纯债券型基金,1690297310.87,,纯债基金
4242,014435.OF,014435,中航瑞夏一年定开债发起A,中航基金,"茅勇峰,汪术勤",中长期纯债券型基金,4091451332.13,A,纯债基金
4247,014446.OF,014446,鹏华稳瑞中短债,鹏华基金,"叶朝明,王康佳",短期纯债券型基金,4635106720.12,,纯债基金
4251,014452.OF,014452,天弘惠享一年定开债券发起,天弘基金,柴文婷,混合债券型基金(一级),1011818263.15,,纯债基金
4256,014464.OF,014464,交银裕道纯债一年定期开放债券发起,交银施罗德,季参平,中长期纯债券型基金,2540571141.77,,纯债基金
4260,014474.OF,014474,中欧安悦一年定开债券发起,中欧基金,LI TONG,中长期纯债券型基金,10061135.72,,纯债基金
4262,014476.OF,014476,山西证券90天滚动持有短债A,山西证券,"刘凌云,缪佳",短期纯债券型基金,1121771375.41,A,纯债基金
4264,014480.OF,014480,华夏鼎优债券A,华夏基金,张海静,中长期纯债券型基金,3031441240.8,A,纯债基金
4279,014504.OF,014504,鹏扬淳开债券D,鹏扬基金,"王黎骁,陈钟闻",中长期纯债券型基金,504706110.52,,纯债基金
4283,014517.OF,014517,华夏30天滚动短债债券发起式A,华夏基金,张海静,短期纯债券型基金,273005700.44,A,纯债基金
4285,014552.OF,014552,中航瑞华ESG一年定开债发起A,中航基金,"茅勇峰,李祥源",中长期纯债券型基金,1028430270.01,EA,纯债基金
4293,014638.OF,014638,银华安鑫短债债券D,银华基金,"王树丽,魏昕宇",短期纯债券型基金,5876694481.08,,纯债基金
4309,014714.OF,014714,工银瑞兴一年定开纯债债券发起式,工银瑞信,张略钊,中长期纯债券型基金,1051124720.97,,纯债基金
4313,014721.OF,014721,富国碳中和一年定期开放债券发起式,富国基金,"刘瀚驰,吕春杰",中长期纯债券型基金,2021692008.53,,纯债基金
4317,014740.OF,014740,财通资管鸿商中短债A,财通证券资管,"陈希希,王珊",短期纯债券型基金,102903549.9,A,纯债基金
4326,014778.OF,014778,国寿安保安和纯债,国寿安保基金,"高鑫,李一鸣",中长期纯债券型基金,909624348.28,,纯债基金
4333,014815.OF,014815,财通资管鸿慧中短债发起式A,财通证券资管,王珊,短期纯债券型基金,122246279.4,A,纯债基金
4343,014856.OF,014856,建信鑫享短债债券A,建信基金,"吴沛文,李星佑",短期纯债券型基金,1634914597.64,A,纯债基金
4345,014858.OF,014858,建信鑫享短债债券F,建信基金,"李星佑,吴沛文",短期纯债券型基金,1634914597.64,,纯债基金
4359,014952.OF,014952,国泰睿鸿一年定期开放债券发起式,国泰基金,刘嵩扬,中长期纯债券型基金,508395267.14,,纯债基金
4362,014959.OF,014959,华泰柏瑞益兴三个月定开债券,华泰柏瑞基金,何子建,中长期纯债券型基金,615596916.84,,纯债基金
4363,014965.OF,014965,国投瑞银顺和一年定开债发起式,国投瑞银基金,"李鸥,敬夏玺",中长期纯债券型基金,3545896331.35,,纯债基金
4364,014966.OF,014966,永赢坤益债券,永赢基金,"钱布克,谢越",中长期纯债券型基金,2038960202.6,,纯债基金
4367,014973.OF,014973,景顺景泰悦利三个月定开债A,景顺长城基金,"赵天彤,彭成军",中长期纯债券型基金,4866485921.25,A,纯债基金
4375,015018.OF,015018,西部利得双兴一年定开债券发起,西部利得基金,"李安然,刘心峰",中长期纯债券型基金,511365129.3,,纯债基金
4381,015049.OF,015049,招商添安1年定开债,招商基金,马龙,中长期纯债券型基金,14902161213.18,,纯债基金
4388,015081.OF,015081,兴业90天滚动持有中短债A,兴业基金,刘禹含,短期纯债券型基金,5225720958.020001,A,纯债基金
4402,015209.OF,015209,华夏鼎成一年定开债券,华夏基金,"孙蕾,张海静",中长期纯债券型基金,2095838626.65,,纯债基金
4409,015255.OF,015255,农银金耀定开债券,农银汇理基金,王明君,中长期纯债券型基金,3153796905.68,,纯债基金
4412,015260.OF,015260,鹏华永鑫一年定开债券,鹏华基金,邓明明,中长期纯债券型基金,8075046217.07,,纯债基金
4413,015263.OF,015263,淳厚稳荣一年定开债发起,淳厚基金,"江文军,张蕊",中长期纯债券型基金,2108593616.47,,纯债基金
4419,015301.OF,015301,博时双季乐六个月持有期债券A,博时基金,张李陵,中长期纯债券型基金,245722326.56,A,纯债基金
4423,015315.OF,015315,富国汇享三个月定期开放债券A,富国基金,"吕春杰,李金柳,张洋",中长期纯债券型基金,3027206402.71,A,纯债基金
4446,015397.OF,015397,博时富鸿金融债3个月定开债,博时基金,"黄海峰,胥艺",中长期纯债券型基金,4008310866.68,,纯债基金
4456,015423.OF,015423,浦银安盛普裕一年定开债券,浦银安盛基金,章潇枫,中长期纯债券型基金,2648343229.78,,纯债基金
4473,015469.OF,015469,永赢湖北国企债一年定开发起,永赢基金,"杨凡颖,余国豪",中长期纯债券型基金,2150260104.68,,纯债基金
4475,015471.OF,015471,万家鑫橙纯债债券A,万家基金,"周潜玮,石东",中长期纯债券型基金,3213605916.99,A,纯债基金
4477,015473.OF,015473,工银瑞恒3个月定开债券A,工银瑞信,王朔,中长期纯债券型基金,2366607586.3,A,纯债基金
4486,015487.OF,015487,蜂巢丰泰三个月定开债券A,蜂巢基金,李海涛,混合债券型基金(一级),1583973941.54,A,纯债基金
4490,015492.OF,015492,中航瑞发3个月定开债A,中航基金,"汪术勤,茅勇峰",中长期纯债券型基金,2009393729.06,A,纯债基金
4498,015516.OF,015516,建信鑫恒120天滚动持有中短债债券A,建信基金,"徐华婧,彭紫云",短期纯债券型基金,4637258250.66,A,纯债基金
4504,015530.OF,015530,鹏华稳福中短债债券A,鹏华基金,"叶朝明,王康佳",短期纯债券型基金,456408022.13,A,纯债基金
4515,015552.OF,015552,中加安盈一年定开债券发起,中加基金,于跃,中长期纯债券型基金,516988509.42,,纯债基金
4517,015569.OF,015569,招商招裕纯债D,招商基金,"康晶,王闯",中长期纯债券型基金,56879202.52,,纯债基金
4519,015581.OF,015581,国寿安保泰然纯债债券,国寿安保基金,丁宇佳,中长期纯债券型基金,405876498.19,,纯债基金
4533,015622.OF,015622,平安合禧1年定开债发起式,平安基金,"张璐,段玮婧",中长期纯债券型基金,215351182.1,,纯债基金
4534,015624.OF,015624,国投瑞银顺晖一年定开债发起式,国投瑞银基金,李鸥,中长期纯债券型基金,5120130618.41,,纯债基金
4537,015629.OF,015629,招商添兴6个月定开债,招商基金,刘万锋,中长期纯债券型基金,6578813730.67,,纯债基金
4545,015653.OF,015653,鹏华永平6个月定开债券,鹏华基金,"祝松,邓明明",中长期纯债券型基金,2200963017.09,,纯债基金
4546,015654.OF,015654,交银稳鑫短债债券D,交银施罗德,"黄莹洁,姬静",短期纯债券型基金,7955027518.270001,,纯债基金
4559,015720.OF,015720,平安元悦60天滚动持有短债A,平安基金,"刘晓兰,张璐",短期纯债券型基金,58144940.14,A,纯债基金
4565,015736.OF,015736,长盛盛裕纯债D,长盛基金,王贵君,中长期纯债券型基金,5266344800.2,,纯债基金
4566,015746.OF,015746,博时四月享120天持有期债券A,博时基金,倪玉娟,中长期纯债券型基金,102794382.84,A,纯债基金
4580,015811.OF,015811,兴证全球恒泰一年定开债券发起式,兴证全球基金,季伟杰,中长期纯债券型基金,5046399415.69,,纯债基金
