,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
1772,005836.OF,005836,创金合信泰盈双季红定开债券A,创金合信基金,郑振源,中长期纯债券型基金,545014429.71,A,纯债基金
1776,005841.OF,005841,富国尊利纯债定期开放债券型发起式,富国基金,武磊,中长期纯债券型基金,6887695986.44,,纯债基金
1777,005842.OF,005842,海富通弘丰定开债券,海富通基金,"陈轶平,方昆明",中长期纯债券型基金,532667855.45,,纯债基金
1779,005845.OF,005845,长城久荣定期开放债券型发起式,长城基金,吴冰燕,中长期纯债券型基金,3034931500.78,,纯债基金
1783,005853.OF,005853,财通聚利债券,财通基金,罗晓倩,中长期纯债券型基金,550286915.69,,纯债基金
1784,005854.OF,005854,财通汇利债券,财通基金,闫梦璇,中长期纯债券型基金,51081139.1,,纯债基金
1787,005862.OF,005862,华夏鼎禄三个月定开债券A,华夏基金,孙蕾,混合债券型基金(一级),4131715895.52,A,纯债基金
1789,005864.OF,005864,国投瑞银顺达纯债债券,国投瑞银基金,"敬夏玺,李鸥",中长期纯债券型基金,457440725.44,,纯债基金
1790,005871.OF,005871,天弘荣享,天弘基金,"任明,刘洋",混合债券型基金(一级),7973814015.13,,纯债基金
1792,005879.OF,005879,中加颐兴定开债券,中加基金,"颜灵珊,闫沛贤",中长期纯债券型基金,4055972629.04,,纯债基金
1803,005897.OF,005897,平安合颖定开债,平安基金,张文平,中长期纯债券型基金,1724706285.93,,纯债基金
1804,005898.OF,005898,浦银安盛盛泽定开债券,浦银安盛基金,陶祺,中长期纯债券型基金,1864146183.6,,纯债基金
1808,005920.OF,005920,富国颐利纯债债券,富国基金,"吕春杰,李金柳",中长期纯债券型基金,1337506985.3,,纯债基金
1809,005921.OF,005921,农银金鑫定开债券,农银汇理基金,郭振宇,混合债券型基金(一级),5383506635.4,,纯债基金
1818,005971.OF,005971,平安惠锦债券,平安基金,欧阳亮,中长期纯债券型基金,1996757172.63,,纯债基金
1819,005972.OF,005972,交银裕如纯债债券A,交银施罗德,"于海颖,张顺晨",中长期纯债券型基金,455029.2,A,纯债基金
1821,005988.OF,005988,兴业纯债6个月定开债券A,兴业基金,伍方方,混合债券型基金(一级),979949792.91,A,纯债基金
1838,006029.OF,006029,鹏华尊享定期开放发起式债券,鹏华基金,应琛,中长期纯债券型基金,4182993623.98,,纯债基金
1841,006032.OF,006032,创金合信汇泽三个月定开债券A,创金合信基金,郑振源,中长期纯债券型基金,220239524.6,A,纯债基金
1846,006043.OF,006043,永赢惠益债券A,永赢基金,吴玮,中长期纯债券型基金,2674554874.17,A,纯债基金
1848,006045.OF,006045,长城久瑞三个月定期开放债券发起式,长城基金,"张棪,吴冰燕",中长期纯债券型基金,2183397868.62,,纯债基金
1850,006053.OF,006053,中航瑞景3个月定开A,中航基金,茅勇峰,混合债券型基金(一级),4085075562.89,A,纯债基金
1859,006066.OF,006066,中加颐睿纯债债券A,中加基金,于跃,中长期纯债券型基金,3528311400.75,A,纯债基金
1867,006076.OF,006076,创金合信恒利超短债债券A,创金合信基金,"谢创,吕沂洋,郑振源",混合债券型基金(一级),4343234273.04,A,纯债基金
1869,006082.OF,006082,鑫元全利一年定期开放债券发起式A,鑫元基金,郭卉,中长期纯债券型基金,1058943237.31,A,纯债基金
