,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
221,011079.OF,大,中,大,小,大,大,轮动基金
222,003547.OF,大,中,大,中,中,中,轮动基金
223,016689.OF,大,大,小,小,小,小,轮动基金
224,009711.OF,大,大,大,大,大,大,稳定大
225,011890.OF,大,中,大,中,中,中,轮动基金
226,008596.OF,大,小,大,大,大,大,轮动基金
227,003428.OF,大,中,中,中,大,大,轮动基金
228,070025.OF,大,大,大,大,大,大,稳定大
229,014392.OF,大,小,中,中,中,大,轮动基金
230,004672.OF,大,中,大,中,大,中,轮动基金
231,100072.OF,大,中,大,中,大,大,轮动基金
232,007537.OF,大,小,大,中,中,大,轮动基金
233,016614.OF,大,中,小,小,小,小,轮动基金
234,007278.OF,大,大,中,大,中,小,轮动基金
235,006468.OF,大,大,中,中,小,中,轮动基金
236,006599.OF,大,小,小,大,小,小,轮动基金
237,002930.OF,大,大,大,大,大,中,轮动基金
238,006275.OF,大,大,大,大,大,小,轮动基金
239,015969.OF,大,大,中,大,小,小,轮动基金
240,005712.OF,大,大,大,大,大,大,稳定大
241,011294.OF,大,中,小,中,中,中,轮动基金
242,006436.OF,大,大,小,中,小,小,轮动基金
243,006287.OF,大,大,中,中,大,中,轮动基金
244,008032.OF,大,小,大,大,大,大,轮动基金
245,003214.OF,大,小,大,小,中,大,轮动基金
246,014234.OF,大,小,中,中,大,中,轮动基金
247,005782.OF,大,中,大,大,小,中,轮动基金
248,015736.OF,大,大,中,中,小,小,轮动基金
249,003102.OF,大,大,中,中,小,中,轮动基金
250,015949.OF,大,小,中,小,小,小,轮动基金
251,002438.OF,大,大,中,中,中,大,轮动基金
252,007529.OF,大,中,大,大,中,大,轮动基金
253,008217.OF,大,大,小,中,大,大,轮动基金
254,011968.OF,大,大,大,中,中,大,轮动基金
255,004438.OF,大,中,小,大,大,大,轮动基金
256,008030.OF,大,中,大,小,中,中,轮动基金
257,008568.OF,大,小,大,大,大,大,轮动基金
258,004920.OF,大,中,大,中,小,大,轮动基金
259,007772.OF,大,小,小,小,小,小,轮动基金
260,006660.OF,大,中,大,中,中,中,轮动基金
261,004705.OF,大,小,中,中,大,中,轮动基金
262,016111.OF,大,小,小,小,小,小,轮动基金
263,014242.OF,大,中,中,中,中,大,轮动基金
264,008383.OF,大,中,中,中,中,中,轮动基金
265,005388.OF,大,大,大,中,大,大,轮动基金
266,002754.OF,大,大,大,大,大,大,稳定大
267,014638.OF,大,中,中,小,中,小,轮动基金
268,006907.OF,大,中,中,小,中,小,轮动基金
269,100058.OF,大,大,大,中,中,大,轮动基金
270,002445.OF,大,中,大,大,大,大,轮动基金
271,008139.OF,大,中,中,小,小,大,轮动基金
272,002638.OF,大,大,大,大,大,大,稳定大
273,003315.OF,大,中,中,大,小,小,轮动基金
274,015858.OF,大,中,中,小,小,小,轮动基金
275,015622.OF,大,大,大,小,小,小,轮动基金
276,007716.OF,大,小,中,中,中,大,轮动基金
277,010232.OF,大,大,小,小,中,中,轮动基金
278,014435.OF,大,中,小,小,小,小,轮动基金
279,005670.OF,大,大,中,大,大,中,轮动基金
280,015315.OF,大,中,大,大,小,小,轮动基金
281,007175.OF,大,中,大,大,大,大,轮动基金
282,007935.OF,大,大,大,小,中,小,轮动基金
283,008925.OF,大,大,大,中,中,大,轮动基金
284,070005.OF,大,中,中,中,大,大,轮动基金
285,015263.OF,大,小,大,大,小,小,轮动基金
286,007513.OF,大,大,大,大,中,小,轮动基金
287,006405.OF,大,中,中,小,小,小,轮动基金
288,017432.OF,大,中,小,小,小,小,轮动基金
289,013901.OF,大,大,大,小,中,中,轮动基金
290,005791.OF,大,中,中,大,大,中,轮动基金
291,161019.SZ,大,中,中,中,中,大,轮动基金
292,007555.OF,大,小,小,小,小,小,轮动基金
293,016585.OF,大,中,中,小,小,小,轮动基金
294,519762.OF,大,大,大,大,大,大,稳定大
295,013821.OF,大,大,大,大,大,大,稳定大
296,010946.OF,大,中,中,小,小,小,轮动基金
297,008646.OF,大,大,中,小,中,中,轮动基金
298,007692.OF,大,中,大,小,大,中,轮动基金
299,007828.OF,大,大,中,中,中,小,轮动基金
300,110051.OF,大,大,大,小,大,小,轮动基金
301,217003.OF,大,中,中,中,中,中,轮动基金
302,013391.OF,大,中,中,中,中,中,轮动基金
303,006668.OF,大,大,大,大,大,大,稳定大
304,006367.OF,大,中,小,大,大,中,轮动基金
305,008366.OF,大,中,大,大,大,大,轮动基金
306,002716.OF,大,小,小,小,中,小,轮动基金
307,005898.OF,大,中,中,大,中,中,轮动基金
308,000005.OF,大,中,大,大,大,大,轮动基金
309,008460.OF,大,小,中,大,大,中,轮动基金
310,016793.OF,大,大,大,小,小,小,轮动基金
311,014740.OF,大,中,大,小,小,小,轮动基金
312,013077.OF,大,大,大,大,大,大,稳定大
313,013459.OF,大,中,小,小,小,中,轮动基金
314,013875.OF,大,大,大,中,中,中,轮动基金
315,000815.OF,大,大,大,中,中,中,轮动基金
316,017687.OF,大,大,小,小,小,小,轮动基金
317,006936.OF,大,大,大,大,大,大,稳定大
318,000037.OF,大,中,中,大,大,大,轮动基金
319,006758.OF,大,大,小,中,大,中,轮动基金
320,006137.OF,大,中,小,大,大,大,轮动基金
321,002109.OF,大,中,中,大,中,小,轮动基金
322,007342.OF,大,中,小,小,大,大,轮动基金
323,009770.OF,大,大,大,大,大,大,稳定大
324,005710.OF,大,大,大,中,大,大,轮动基金
325,007215.OF,大,大,中,大,中,大,轮动基金
326,005879.OF,大,中,中,小,大,大,轮动基金
327,005820.OF,大,大,大,大,大,大,稳定大
328,164703.SZ,大,大,大,大,中,中,轮动基金
329,008807.OF,大,小,大,小,小,中,轮动基金
330,004200.OF,大,小,中,中,大,小,轮动基金
331,004639.OF,大,小,小,小,小,中,轮动基金
332,485107.OF,大,中,大,大,中,大,轮动基金
333,008509.OF,中,中,中,大,大,大,轮动基金
334,519322.OF,中,大,大,大,大,大,轮动基金
335,006591.OF,中,大,中,中,中,中,轮动基金
336,006804.OF,中,中,大,中,中,中,轮动基金
337,006707.OF,中,大,大,大,中,大,轮动基金
338,009207.OF,中,大,中,大,小,中,轮动基金
339,016034.OF,中,大,小,中,小,小,轮动基金
340,017129.OF,中,大,小,小,小,小,轮动基金
341,005754.OF,中,中,中,大,大,中,轮动基金
342,010048.OF,中,中,中,大,大,中,轮动基金
343,016925.OF,中,中,小,小,小,小,轮动基金
344,002143.OF,中,小,大,中,小,中,轮动基金
345,014504.OF,中,小,小,大,中,中,轮动基金
346,007408.OF,中,小,小,大,中,中,轮动基金
347,003417.OF,中,中,大,中,大,中,轮动基金
348,217022.OF,中,中,中,中,中,中,稳定中
349,003258.OF,中,中,大,中,小,中,轮动基金
350,014059.OF,中,大,大,中,小,小,轮动基金
351,015255.OF,中,小,小,小,小,小,轮动基金
352,008170.OF,中,大,中,大,大,中,轮动基金
353,002466.OF,中,中,大,中,大,小,轮动基金
354,009041.OF,中,中,大,大,中,中,轮动基金
355,000252.OF,中,小,中,大,大,大,轮动基金
356,001960.OF,中,中,中,大,大,大,轮动基金
357,000295.OF,中,小,大,大,中,小,轮动基金
358,000090.OF,中,大,中,中,中,中,轮动基金
359,003983.OF,中,大,大,中,中,中,轮动基金
360,000346.OF,中,中,小,小,小,小,轮动基金
361,012451.OF,中,中,小,中,中,中,轮动基金
362,004839.OF,中,大,中,小,大,中,轮动基金
363,009306.OF,中,大,中,小,小,中,轮动基金
364,012395.OF,中,中,大,中,中,大,轮动基金
365,519782.OF,中,中,中,中,中,中,稳定中
366,005831.OF,中,中,大,大,中,大,轮动基金
367,005362.OF,中,小,大,中,大,大,轮动基金
368,017438.OF,中,小,小,小,小,小,轮动基金
369,004334.OF,中,中,中,中,中,中,稳定中
370,006635.OF,中,中,中,中,大,大,轮动基金
371,014552.OF,中,大,中,小,小,小,轮动基金
372,015530.OF,中,大,小,小,小,小,轮动基金
373,013838.OF,中,中,中,大,大,中,轮动基金
374,007086.OF,中,中,大,大,大,大,轮动基金
375,003847.OF,中,中,中,中,小,中,轮动基金
376,016212.OF,中,中,小,小,小,小,轮动基金
377,002898.OF,中,中,大,大,大,大,轮动基金
378,003863.OF,中,中,中,中,中,中,稳定中
379,011955.OF,中,中,中,中,中,中,稳定中
380,005419.OF,中,小,中,中,大,中,轮动基金
381,004140.OF,中,中,大,大,大,大,轮动基金
382,012229.OF,中,中,中,小,中,中,轮动基金
383,008463.OF,中,中,中,中,小,中,轮动基金
384,006582.OF,中,小,中,大,中,中,轮动基金
385,007572.OF,中,大,中,中,小,中,轮动基金
386,006834.OF,中,大,大,大,中,大,轮动基金
387,007717.OF,中,大,大,大,中,大,轮动基金
388,010191.OF,中,大,小,大,中,中,轮动基金
389,160602.OF,中,小,大,中,中,中,轮动基金
390,007888.OF,中,大,中,中,大,大,轮动基金
391,009483.OF,中,中,中,中,中,中,稳定中
392,014714.OF,中,中,小,大,中,小,轮动基金
393,008651.OF,中,大,中,小,中,大,轮动基金
394,002395.OF,中,大,小,大,小,中,轮动基金
395,009580.OF,中,大,中,中,中,中,轮动基金
396,009091.OF,中,中,小,小,中,小,轮动基金
397,007603.OF,中,小,中,中,小,小,轮动基金
398,006953.OF,中,大,大,大,大,大,轮动基金
399,014856.OF,中,大,中,大,小,小,轮动基金
400,016497.OF,中,大,中,大,小,小,轮动基金
401,014858.OF,中,大,中,大,小,小,轮动基金
402,013206.OF,中,大,中,中,中,大,轮动基金
403,675041.OF,中,中,中,中,中,中,稳定中
404,009953.OF,中,中,中,大,大,大,轮动基金
405,008558.OF,中,小,中,大,大,小,轮动基金
406,012823.OF,中,中,大,中,中,中,轮动基金
407,004555.OF,中,小,中,中,大,中,轮动基金
408,004479.OF,中,中,小,中,中,中,轮动基金
409,007017.OF,中,中,大,小,小,中,轮动基金
410,002568.OF,中,小,中,小,小,小,轮动基金
411,009290.OF,中,中,中,中,小,小,轮动基金
412,004122.OF,中,大,中,小,中,中,轮动基金
413,004459.OF,中,中,大,大,大,中,轮动基金
414,002868.OF,中,大,大,中,中,大,轮动基金
415,003268.OF,中,中,中,中,中,中,稳定中
416,008648.OF,中,大,中,大,大,中,轮动基金
417,016871.OF,中,中,小,小,小,小,轮动基金
418,005073.OF,中,中,小,小,中,小,轮动基金
419,003660.OF,中,中,小,中,大,大,轮动基金
420,001368.OF,中,大,小,大,大,大,轮动基金
421,270048.OF,中,中,中,中,大,中,轮动基金
422,007053.OF,中,大,小,中,中,中,轮动基金
423,202108.OF,中,中,大,大,大,大,轮动基金
424,005531.OF,中,大,小,小,小,小,轮动基金
425,002341.OF,中,中,小,小,大,大,轮动基金
426,011953.OF,中,中,小,小,大,大,轮动基金
427,005590.OF,中,大,小,中,小,小,轮动基金
428,485120.OF,中,大,大,大,大,大,轮动基金
429,007427.OF,中,中,小,大,中,中,轮动基金
430,007295.OF,中,小,中,中,中,大,轮动基金
431,008902.OF,中,大,大,大,中,大,轮动基金
432,519680.OF,中,小,小,中,中,中,轮动基金
433,006995.OF,中,小,大,小,中,中,轮动基金
434,004601.OF,中,中,中,中,中,大,轮动基金
435,018252.OF,中,小,小,小,小,小,轮动基金
436,002904.OF,中,小,大,大,大,小,轮动基金
437,004307.OF,中,中,大,大,大,大,轮动基金
438,007517.OF,中,中,中,中,中,中,稳定中
439,013336.OF,中,中,小,小,小,小,轮动基金
440,005469.OF,中,小,大,大,大,大,轮动基金
441,000244.OF,中,大,大,大,大,大,轮动基金
442,004388.OF,中,中,小,中,小,中,轮动基金
443,012750.OF,中,中,大,大,中,大,轮动基金
444,017328.OF,中,中,小,小,小,小,轮动基金
445,003571.OF,中,中,中,中,大,大,轮动基金
446,014959.OF,中,中,小,小,小,小,轮动基金
447,006998.OF,中,大,中,大,大,中,轮动基金
448,006919.OF,中,大,中,大,大,大,轮动基金
449,519718.OF,中,中,中,中,中,中,稳定中
450,004322.OF,中,中,中,小,中,大,轮动基金
451,650001.OF,中,中,中,大,中,中,轮动基金
452,002927.OF,中,大,大,中,中,中,轮动基金
453,005862.OF,中,中,小,小,小,小,轮动基金
454,005622.OF,中,中,小,中,大,中,轮动基金
455,000137.OF,中,小,中,小,中,小,轮动基金
456,001785.OF,中,小,中,小,中,小,轮动基金
457,008204.OF,中,中,中,中,中,大,轮动基金
458,005393.OF,中,中,中,大,小,中,轮动基金
459,005853.OF,中,中,小,中,中,中,轮动基金
460,003209.OF,中,中,中,中,大,中,轮动基金
461,001911.OF,中,大,中,小,小,小,轮动基金
462,006944.OF,中,中,大,大,大,大,轮动基金
463,007985.OF,中,中,中,中,小,中,轮动基金
464,009338.OF,中,中,中,中,大,大,轮动基金
465,005864.OF,中,中,小,中,中,中,轮动基金
466,011617.OF,中,中,小,小,小,小,轮动基金
467,006884.OF,中,中,小,小,小,小,轮动基金
468,006885.OF,中,中,小,小,小,小,轮动基金
469,007373.OF,中,中,小,大,大,中,轮动基金
470,004954.OF,中,中,中,中,中,小,轮动基金
471,005594.OF,中,中,大,大,大,大,轮动基金
472,004031.OF,中,中,大,大,大,大,轮动基金
473,007595.OF,中,中,大,中,中,大,轮动基金
