,thscode,ths_jjggbl_fund
336,006045.OF,113.26375252025
337,006053.OF,110.43083791629
338,006066.OF,102.56021812454
339,006076.OF,109.44679752674
340,006082.OF,129.91327537818
341,006088.OF,133.43119101724
342,006097.OF,117.15235553156
343,006107.OF,114.55950268484
344,006112.OF,100.05860520401
345,006116.OF,110.30608494877
346,006120.OF,152.84617280023
347,006137.OF,135.34711360763
348,006150.OF,164.88302289063
349,006151.OF,100.33015188985
350,006169.OF,128.87902846344
351,006171.OF,105.46765038449
352,006172.OF,107.60665856634
353,006191.OF,118.30143336368
354,006275.OF,128.7183587377
355,006287.OF,138.19546509423
356,006319.OF,126.20011527886
357,006325.OF,111.67486563425
358,006332.OF,123.28136495622
359,006360.OF,123.52205066824
360,006367.OF,128.83372050791
361,006378.OF,110.39741834401
362,006393.OF,116.87284322768
363,006405.OF,100.06427941015
364,006411.OF,103.03735281616
365,006421.OF,102.56964845658
366,006427.OF,110.73313503644
367,006434.OF,130.91424454788
368,006436.OF,100.09986083537
369,006450.OF,100.03162735093
370,006464.OF,119.47191498584
371,006468.OF,100.05098220252
372,006489.OF,103.72380603508
373,006504.OF,134.98353429997
374,006517.OF,108.8730391385
375,006552.OF,146.97153714616
376,006570.OF,126.42277642781
377,006582.OF,124.31539762506
378,006591.OF,122.81374500405
379,006597.OF,106.47367400433
380,006599.OF,101.70603855539
381,006617.OF,121.95172935826
382,006626.OF,105.0691884724
383,006629.OF,105.33287620637
384,006635.OF,124.89405180461
385,006646.OF,110.26230333082
386,006653.OF,104.23479659336
387,006660.OF,113.89698955879
388,006662.OF,129.94020264423
389,006664.OF,129.94020264423
390,006665.OF,123.17719249627
391,006668.OF,129.29572453067
392,006683.OF,106.0292947866
393,006684.OF,117.40810964574
394,006707.OF,117.3214986001
395,006714.OF,131.83542558015
396,006740.OF,102.00064979141
397,006750.OF,136.33325225027
398,006758.OF,136.60555088927
399,006764.OF,122.75867960496
400,006771.OF,113.92078830373
401,006772.OF,105.19125547183
402,006776.OF,112.85091642018
403,006782.OF,107.10428970908
404,006791.OF,100.05418184317
405,006793.OF,117.94870135085
406,006797.OF,135.26951726482
407,006804.OF,110.60316130629
408,006806.OF,100.07393764223
409,006824.OF,105.14909530041
410,006829.OF,103.75916272752
411,006834.OF,117.9037014394
412,006838.OF,126.22704178642
413,006841.OF,107.84583523877
414,006846.OF,145.65707782775
415,006850.OF,127.54872289172
416,006852.OF,117.39335480701
417,006869.OF,123.07542101768
418,006874.OF,114.98324785949
419,006884.OF,103.5033875331
420,006885.OF,103.5033875331
421,006893.OF,104.68906455607
422,006901.OF,121.32779035037
423,006907.OF,123.78425380104
424,006915.OF,104.28555518243
425,006919.OF,135.90242265012
426,006929.OF,121.91600962137
427,006934.OF,105.68921335372
428,006936.OF,140.61285526201
429,006944.OF,127.92656877678
430,006953.OF,133.45471875796
431,006955.OF,100.15707067756
432,006956.OF,148.68299360532
433,006958.OF,114.67006131111
434,006963.OF,122.97796285581
435,006965.OF,104.35880278304
436,006970.OF,134.6470879665
437,006984.OF,139.06036666781
438,006985.OF,133.90760511252
439,006986.OF,145.34579874507
440,006995.OF,120.61679356548
441,006998.OF,127.07446252946
442,007017.OF,104.65098340618
443,007050.OF,119.10665613028
444,007053.OF,111.39314272095
445,007061.OF,147.24444130423
446,007068.OF,112.62473236311
447,007086.OF,132.82765821681
448,007104.OF,100.10159865891
449,007105.OF,100.26713424502
450,007121.OF,118.87908196767
451,007145.OF,156.92494986406
452,007158.OF,103.62449543942
453,007167.OF,113.23951050008
454,007175.OF,126.31622736015
455,007184.OF,114.97829482728
456,007199.OF,119.21059548999
457,007201.OF,100.05327367398
458,007213.OF,108.49739103256
459,007215.OF,124.33413827709
460,007220.OF,104.73842846069
461,007268.OF,131.92490450767
462,007278.OF,108.45823691749
463,007295.OF,109.86769942437
464,007321.OF,112.0827950418
465,007342.OF,136.53483877111
466,007347.OF,118.8155787778
467,007373.OF,126.92530993914
468,007374.OF,116.64222347836
469,007408.OF,108.92768231841
470,007417.OF,134.97125734006
471,007427.OF,121.83576056265
472,007440.OF,130.40955692587
473,007447.OF,117.68481137013
474,007451.OF,124.34754392788
475,007454.OF,139.83442519989
476,007496.OF,116.36773565421
477,007513.OF,112.68005543169
478,007515.OF,107.7983822538
479,007517.OF,111.9117256404
480,007525.OF,129.03181412361
481,007529.OF,118.02350110206
482,007535.OF,148.36065887073
483,007537.OF,110.68029981206
484,007542.OF,122.33517936954
485,007544.OF,135.13277646294
486,007555.OF,100.04170509123
487,007562.OF,110.15748355034
488,007572.OF,106.13245761678
489,007573.OF,186.03514498476
490,007576.OF,139.61553092374
491,007584.OF,114.32779770754
492,007585.OF,134.30439172442
493,007589.OF,121.73639211296
494,007595.OF,120.26131293737
495,007600.OF,163.34461647221
496,007603.OF,104.10884306916
497,007616.OF,124.09801086983
498,007618.OF,124.09801086983
499,007619.OF,167.99691730894
500,007645.OF,117.31170538922
501,007653.OF,
502,007659.OF,100.03601352051
503,007670.OF,100.03248402277
504,007680.OF,100.01830635216
