,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
945,003605.OF,景顺长城景泰汇利定期开放债券A,111713075,4.240,3.1979514708433776
946,003869.OF,长信稳势纯债债券,111781266,3.610,35.2517622273688160
947,004821.OF,国寿安保安吉纯债半年定开债券发起式,011760098,3.340,2.4045603705208777
948,004940.OF,中加聚鑫纯债一年A,011755041,8.030,6.1428665777726928
949,004722.OF,中银丰和定期开放债券,1728010,6.850,7.0425879424102228
950,004601.OF,博时富腾纯债债券,011754112,4.990,5.1876843027202952
951,000346.OF,建信安心回报6个月定期开放债券A,143193,8.000,6.2687484291271756
952,004689.OF,博时丰庆纯债债券,111781456,18.810,19.7800806105560396
953,000084.OF,博时安盈债券A,041751018,6.390,7.0298101416032784
954,001545.OF,博时裕嘉3个月定开债发起式,041751017,8.250,8.6014007085329580
955,002864.OF,广发安泽短债A,146245,1.930,1.9383297560030429
956,003547.OF,鹏华丰禄债券,011760103,5.790,4.6468497322320194
957,000244.OF,天弘稳利定期开放A,011751069,8.020,5.1230423722030833
958,002864.OF,广发安泽短债A,146159,1.930,1.9405437537247249
959,004042.OF,华夏鼎茂债券A,146256,7.600,6.2010934967965143
960,000244.OF,天弘稳利定期开放A,112556,5.610,3.5828286274247557
961,002904.OF,博时安仁一年定开债发起式A,112556,9.760,10.0861079574137530
962,002781.OF,博时聚瑞6个月定开债发起式,112556,7.730,7.3165231418674958
963,000084.OF,博时安盈债券A,011761048,6.420,7.0579800880733376
964,002438.OF,创金合信尊盛纯债债券,011758069,4.340,3.8154416339037781
965,000084.OF,博时安盈债券A,011754116,6.400,7.0396696228677991
966,002985.OF,中银季季红定期开放债券,011754114,2.400,2.4957529289928356
967,000084.OF,博时安盈债券A,011770014,6.400,7.0396696228677991
968,003452.OF,招商招盛纯债A,1789202,0.980,0.99343870568963870533
969,162715.SZ,广发聚源债券(LOF)A,170410,32.930,34.7985024139835391
970,650001.OF,英大纯债债券A,170410,15.200,16.6839818741441990
