,thscode,ths_portfolio_duration_fund
303,005719.OF,2.8421720882786
304,005740.OF,0.95383465933368
305,005754.OF,0.36216279973749
306,005772.OF,0.95508115140218
307,005781.OF,0.94363713565396
308,005782.OF,1.2071646839718
309,005784.OF,0.98256470910528
310,005791.OF,4.940681384691
311,005820.OF,4.2796728815878
312,005831.OF,8.218221340567
313,005841.OF,1.0738135144571
314,005845.OF,0.85264607861284
315,005853.OF,0.84332272793645
316,005854.OF,2.2296739785039
317,005864.OF,2.5939796389447
318,005871.OF,3.4929395802975
319,005879.OF,1.0519469984275
320,005897.OF,1.2709988368216
321,005898.OF,3.1656822582741
322,005920.OF,1.5135738142661
323,005921.OF,1.5294712203776
324,005936.OF,1.0462056163841
325,005972.OF,0.0739
326,005988.OF,3.0254166600814
327,006029.OF,0.49886481696337
328,006037.OF,2.0871519966491
329,006043.OF,3.8214281876956
330,006053.OF,1.5236198738242
331,006066.OF,1.270274100827
332,006076.OF,0.47810375795589
333,006107.OF,1.707377917303
334,006112.OF,0.92157762132089
335,006150.OF,0.62973696384968
336,006171.OF,1.9411140882373
337,006172.OF,2.8401056243462
338,006212.OF,1.6378421303966
339,006275.OF,1.4723342405012
340,006360.OF,0.86553874977316
341,006367.OF,1.8116817901882
342,006393.OF,2.4704015143646
