,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
318,040004.OF,53.216318386939
319,040005.OF,58.96284155919
320,040007.OF,43.186843901434
321,040008.OF,38.277422342241
322,040011.OF,65.31400383762
323,040015.OF,47.746947141191
324,040016.OF,47.467393250816
325,040020.OF,47.711683192288
326,040025.OF,41.92147173555
327,050009.OF,58.632204571485
328,050010.OF,54.394643960709
329,050018.OF,67.125739404163
330,070001.OF,71.739358525785
331,070002.OF,68.642873872815
332,070006.OF,65.500362107036
333,070011.OF,48.150325264157
334,070017.OF,23.00009218008
335,070019.OF,67.376516610404
336,070021.OF,44.573669939619
337,070032.OF,62.046851010516
338,070099.OF,56.194667889146
339,090004.OF,65.863517750317
340,090009.OF,47.292227310197
341,090013.OF,59.239120408762
342,090015.OF,50.108583869567
343,100020.OF,72.843280070449
344,100022.OF,48.691209415932
345,100026.OF,60.830730729901
346,100039.OF,51.978906853442
347,100060.OF,44.898591324578
348,100061.OF,
349,110013.OF,48.772119098186
350,110015.OF,53.970696859509
351,110023.OF,53.668389877532
352,110029.OF,50.269170002013
353,121003.OF,33.573593823165
354,121008.OF,58.555583206474
355,160603.OF,54.071093741636
356,160624.OF,59.576816218888
357,161606.OF,71.704099268578
358,162209.OF,61.888892070512
359,163411.OF,36.000387655271
360,163805.OF,72.157356936604
361,163807.OF,31.419494022716
362,163822.OF,37.796212533298
363,166002.OF,36.466015524373
364,166005.OF,54.746394533043
365,166301.OF,31.962992336429
366,180010.OF,28.216427284343
367,180012.OF,82.448981825197
368,180013.OF,47.58496434111
369,180018.OF,67.934022880731
370,180028.OF,56.176225850489
371,180031.OF,51.876453111699
372,200001.OF,31.227061248098
373,200006.OF,48.393485918444
374,200008.OF,73.485959505346
375,202003.OF,35.49092988477
376,202005.OF,58.992557513584
377,202007.OF,39.764993021998
378,202011.OF,53.863514182345
379,202023.OF,40.621645245733
380,202212.OF,49.505699540844
381,206009.OF,61.401229428116
382,210003.OF,57.315384089124
383,210009.OF,57.767152737459
384,213003.OF,69.603392963738
385,217009.OF,51.34168706776
386,217010.OF,55.450663415982
387,217012.OF,44.446553102695
388,217013.OF,67.642773689794
389,217020.OF,49.430064677069
390,229002.OF,21.89819162516
391,233006.OF,70.958419103465
392,233007.OF,77.875624484978
393,233009.OF,13.055479066022
394,233011.OF,48.598747900904
395,240004.OF,45.387552559786
396,240008.OF,71.742451427781
397,240022.OF,59.987902823467
398,257010.OF,50.61741491313
399,257020.OF,49.785688968036
400,257070.OF,64.776828557369
401,260101.OF,44.185525320719
402,260103.OF,57.124953821028
403,260104.OF,73.345065337726
404,260108.OF,77.57883281451
405,260109.OF,77.504584346658
406,260116.OF,54.152342808098
407,262001.OF,
408,270005.OF,63.903727901685
409,270006.OF,56.192659104434
410,270008.OF,70.080595479425
411,270021.OF,71.418161549821
412,270025.OF,75.678546165071
413,270028.OF,50.482990497579
414,270041.OF,60.282619130658
415,270050.OF,62.628608701644
416,288002.OF,29.718460272661
417,290011.OF,100.0
418,290012.OF,62.311415952506
419,320003.OF,52.937264488172
420,320005.OF,70.343649598118
421,320007.OF,75.291088897803
422,320011.OF,62.960940165337
423,320012.OF,59.566092381811
424,320015.OF,64.480448762508
425,340007.OF,66.050706061773
426,370027.OF,51.038292713692
427,375010.OF,53.090234598668
428,377010.OF,41.443383420456
429,377016.OF,
430,377240.OF,59.276218539284
431,378010.OF,40.137607604645
432,378546.OF,
433,379010.OF,46.854310001266
