,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
430,006956.OF,鹏华永润一年定期开放债券,刘涛,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
431,006958.OF,鹏华永融一年定期开放债券,刘涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
432,006963.OF,中加颐瑾定开债券A,王霈,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
433,006965.OF,财通安瑞短债债券A,"罗晓倩,闫梦璇",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
434,006970.OF,广发景利纯债,赵子良,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
435,006984.OF,兴全恒瑞定开债券发起式,"张睿,季伟杰",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
436,006985.OF,兴全恒裕债券A,王帅,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
437,006986.OF,平安季添盈定开债A,欧阳亮,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
438,006995.OF,南方惠利6个月定开债券A,金凌志,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
439,006998.OF,广发景兴中短债A,宋倩倩,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
440,007017.OF,平安如意中短债A,"张文平,张璐",短期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
441,007050.OF,鑫元恒利三个月定期开放债券,郭卉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
442,007053.OF,平安季开鑫定开债A,张文平,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
443,007061.OF,中加聚盈定开债券A,闫沛贤,混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,稳定信用债
444,007068.OF,浦银安盛普丰纯债债券A,章潇枫,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,轮动基金
445,007086.OF,永赢汇利六个月定开债,钱布克,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
446,007104.OF,易方达恒利3个月定期开放债券发起式,"刘琬姝,纪玲云,胡剑",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
447,007105.OF,国泰丰鑫纯债债券,刘嵩扬,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
448,007121.OF,中加裕盈纯债债券,王霈,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
449,007145.OF,泰康安和纯债6个月定开债券,经惠云,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
450,007158.OF,平安合盛定开债,张璐,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
451,007167.OF,华安安和债券A,康钊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
452,007175.OF,国联聚通定期开放债券,"王玥,石霄蒙",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
453,007184.OF,蜂巢添鑫纯债A,"李海涛,廖新昌",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
454,007199.OF,永赢泰利债券A,"刘星宇,陶毅,杨野",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
455,007201.OF,民生加银聚益纯债,"李文君,刘昊",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,轮动基金
456,007213.OF,华安安平定开,康钊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
457,007215.OF,国寿安保泰荣纯债债券,丁宇佳,混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
458,007220.OF,天弘华享三个月定开,潘昱杉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
459,007268.OF,山证裕睿6个月定开A,缪佳,混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
460,007278.OF,国泰兴富三个月定期开放债券,"刘嵩扬,胡智磊",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
461,007295.OF,天弘安益A,"程仕湘,赵鼎龙",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
462,007321.OF,鹏华金利债券,邓明明,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
463,007342.OF,国投瑞银顺臻纯债债券A,李鸥,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
464,007347.OF,永赢昌利债券A,陶毅,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
465,007373.OF,永赢卓利债券,"张雪,杨凡颖",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
466,007374.OF,永赢淳利债券,徐沛琳,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
467,007408.OF,鹏扬淳开债券A,"王黎骁,陈钟闻",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
468,007417.OF,泰康信用精选债券A,经惠云,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
469,007427.OF,永赢凯利债券,"杨凡颖,张雪",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
470,007440.OF,南方旭元A,金凌志,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,轮动基金
471,007451.OF,易方达恒兴3个月定开债券发起式,王晓晨,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
472,007454.OF,民生加银嘉盈债券,李文君,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,轮动基金
473,007496.OF,农银汇理丰泽三年定期开放债券,"王明君,周宇,郭振宇",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
474,007513.OF,博时富丰3个月定开债发起式,郭思洁,混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
475,007515.OF,鹏华稳利短债A,"王康佳,叶朝明",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
476,007517.OF,博时富淳3个月定开债发起式,郭思洁,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
477,007525.OF,易方达年年恒夏纯债A,李一硕,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
478,007529.OF,嘉实汇鑫中短债债券A,"赵国英,王立芹",短期纯债券型基金,稳定小基金公司,稳定中,稳定大,轮动基金
479,007535.OF,中欧盈和债券,LI TONG,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
480,007537.OF,景顺长城景泰盈利纯债债券,彭成军,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
481,007542.OF,永赢开泰中高等级中短债A,卢绮婷,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
482,007544.OF,鹏华尊晟定期开放发起式债券,应琛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
483,007555.OF,中航瑞明纯债A,茅勇峰,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
484,007560.OF,国联恒鑫纯债A,哈默,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
485,007562.OF,景顺长城景泰纯利债券A,彭成军,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,轮动基金
486,007572.OF,中加民丰纯债A,袁素,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
487,007573.OF,农银丰盈定开债券,王明君,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
488,007576.OF,华夏鼎琪三个月定开债券,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
489,007584.OF,丰鑫债券,刘涛,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
490,007585.OF,工银瑞弘3个月定开发起式债券,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
491,007589.OF,嘉实致元42个月定期债券,王立芹,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
492,007595.OF,招商添泽纯债A,康晶,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
493,007600.OF,泰康润颐63个月定开债券,经惠云,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
494,007603.OF,景顺长城中短债债券A类,彭成军,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
495,007616.OF,富国投资级信用债A,"黄纪亮,朱梦娜",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
496,007618.OF,富国投资级信用债D,"朱梦娜,黄纪亮",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
497,007619.OF,中欧润逸债券,LI TONG,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
498,007645.OF,平安季享裕定开债A,张文平,混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,稳定信用债
499,007653.OF,长盛稳益6个月A,"王贵君,段鹏",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
500,007659.OF,博时富汇3个月定开债发起式,何平,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
501,007670.OF,嘉实商业银行精选债券,王立芹,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
502,007680.OF,中加享利三年债券,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
503,007681.OF,鹏华丰登债券,"张丽娟,吴国杰,刘涛",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
504,007682.OF,鹏华锦利两年定期开放债券,"邓明明,应琛",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
505,007691.OF,永赢泽利一年,钱布克,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
506,007692.OF,永赢鼎利债券A,谢越,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
507,007706.OF,南方聪元A,黄斌斌,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
508,007714.OF,南方贺元利率债A,金凌志,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
509,007716.OF,嘉实致华纯债债券,王立芹,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
510,007717.OF,工银尊享短债债券F,王朔,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
511,007723.OF,鹏华锦润86个月定开债券,"邓明明,应琛",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
512,007740.OF,天弘信益A,潘昱杉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
513,007744.OF,长盛安逸纯债债券A,王贵君,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
514,007754.OF,上银慧永利中短期债券A,葛沁沁,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
515,007758.OF,平安乐享一年定开债A,段玮婧,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
516,007761.OF,鑫元安睿三年定期开放债券,郭卉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
517,007762.OF,富国天盈债券(LOF)A,俞晓斌,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
518,007772.OF,浦银安盛盛煊定开债券,陶祺,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
519,007823.OF,天弘弘择短债A,王昌俊,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
520,007828.OF,创金合信信用红利债券A,"张贺章,郑振源,谢创",混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
521,007830.OF,建信荣瑞一年定期开放债券,刘思,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
522,007836.OF,泰康润和两年定开债券,经惠云,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
523,007852.OF,工银瑞安3个月定开纯债债券发起式,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
524,007867.OF,华泰柏瑞锦泰一年定开债券,何子建,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
525,007870.OF,鹏华尊信3个月定开发起式债券,杜培俊,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
526,007871.OF,国泰惠享三个月定期开放债券,索峰,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
527,007888.OF,农银金盈债券,郭振宇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
528,007915.OF,财通资管鸿福短债债券A,"王珊,李杰",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,轮动基金
529,007928.OF,中加享润两年债券,袁素,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
530,007930.OF,淳厚稳鑫债券A,江文军,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
531,007935.OF,平安惠澜纯债A,张文平,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
532,007948.OF,汇添富盛安39个月定开债,胡娜,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
533,007949.OF,富国泽利纯债债券,武磊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
534,007953.OF,平安惠文纯债,段玮婧,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,轮动基金
535,007954.OF,平安惠涌纯债,欧阳亮,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,轮动基金
536,007958.OF,华泰柏瑞益通三个月定开债,罗远航,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
537,007967.OF,大成惠嘉一年定开债券,曾婷婷,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
538,007970.OF,国寿安保安泽纯债39个月定期开放债券,卢珊,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
539,007985.OF,博时富悦纯债A,"王帅,张鹿",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
540,007990.OF,富国汇远纯债三年定期开放债券A,朱梦娜,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
541,007996.OF,博时富顺纯债债券,陈黎,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,轮动基金
542,007997.OF,易方达年年恒秋纯债一年定期开放债券A,李一硕,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
543,008003.OF,大成通嘉三年定开债券A,曾婷婷,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
544,008014.OF,天弘鑫利三年定开,"陈钢,柴文婷",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
545,008017.OF,国泰惠信三年定期开放债券,刘嵩扬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
546,008018.OF,华富安兴39个月定期开放债券A,倪莉莎,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
547,008022.OF,建信短债债券F,"李星佑,吴沛文,陈建良",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
548,008027.OF,工银泰和39个月定开债券A,王朔,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
549,008030.OF,农银金益债券,郭振宇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
550,008031.OF,创金合信汇嘉三个月定开债券,郑振源,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
551,008032.OF,海富通裕昇三年定开债券,"方昆明,张靖爽",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
552,008048.OF,国联睿享86个月定开债券A,哈默,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
553,008102.OF,中金鑫福87个月,董珊珊,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
554,008104.OF,中金鑫裕A,董珊珊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
555,008117.OF,博时稳欣39个月定开债,"黄海峰,郭思洁",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
556,008130.OF,广发汇优66个月定期开放债券,刘志辉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
557,008139.OF,鑫元一年定开中高等级,郭卉,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
558,008170.OF,博时富添纯债债券A,"李更,倪玉娟",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
559,008204.OF,交银稳利中短债债券A,黄莹洁,短期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
560,008207.OF,国泰合融纯债债券A,"刘嵩扬,魏伟",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
561,008214.OF,华安鑫福定开债A,孙丽娜,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
562,008217.OF,国泰聚盈三年定期开放债券,刘嵩扬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
563,008219.OF,西部利得尊逸三年定开债券,"刘心峰,李烨",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
564,008223.OF,交银裕泰两年定期开放债券,"于海颖,张顺晨,魏玉敏",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
565,008229.OF,鑫元安硕两年定期开放债券,郭卉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
566,008231.OF,海富通裕通30个月定开债券,"张靖爽,方昆明",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
567,008242.OF,英大通盈纯债债券A,"吕一楠,易祺坤,张大铮",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,稳定信用债
568,008266.OF,华夏鼎明债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
569,008278.OF,国泰惠鑫一年定期开放债券,"丁士恒,陈育洁",混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
570,008302.OF,永赢易弘债券A,陶毅,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
571,008316.OF,蜂巢添跃66个月定开债券,金之洁,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
572,008338.OF,嘉实安元39个月定期纯债债券A,李卓锴,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
573,008349.OF,华夏恒泰64个月定开债券,张海静,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
574,008352.OF,交银裕坤纯债一年定期开放债券,"于海颖,张顺晨",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
575,008366.OF,广发汇明一年定期开放债券,刘志辉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
576,008383.OF,招商安心收益债券A,马龙,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
577,008406.OF,兴银汇裕定开债,王深,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
578,008409.OF,景顺长城景泰裕利纯债A,彭成军,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
579,008411.OF,博时富信纯债债券,陈黎,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,轮动基金
580,008429.OF,中信保诚嘉裕五年定开纯债,臧淑玲,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
581,008460.OF,招商招和39个月定开债,康晶,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
582,008463.OF,招商添瑞1年定开债A,"李家辉,马龙,欧阳倩蓉",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
583,008465.OF,蜂巢添益纯债A,金之洁,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
584,008471.OF,工银泰颐三年定开债券A,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
585,008478.OF,天弘鑫意39个月定开债,柴文婷,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
586,008493.OF,鹏华尊泰一年定开发起式债券,刘涛,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
587,008497.OF,鹏扬浦利中短债A,陈钟闻,短期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
588,008508.OF,国联聚锦一年定开债券,石霄蒙,混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,稳定信用债
589,008509.OF,南方得利一年定开债券发起,黄斌斌,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
590,008516.OF,浦银安盛盛熙一年定开债券,曹治国,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
591,008521.OF,富国汇优纯债63个月定期开放债券,朱梦娜,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
592,008535.OF,兴银合盛定开债A,"王深,范泰奇",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
593,008539.OF,工银开元利率债债券A,张略钊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,轮动基金
594,008558.OF,永赢邦利债券A,"谢越,吴玮",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
595,008568.OF,蜂巢丰业一年定开,"廖新昌,金之洁",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
596,008569.OF,中航瑞智纯债A,茅勇峰,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
597,008575.OF,财通裕惠63个月定开债券,闫梦璇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
598,008582.OF,兴银聚丰债券,王深,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
599,008587.OF,淳厚中短债A,"祁洁萍,江文军",短期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
600,008596.OF,平安乐顺39个月定开债A,段玮婧,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
601,008608.OF,广发汇浦三年定期开放债券,刘志辉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
602,008620.OF,嘉实致宁3个月定开纯债债券,王立芹,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
603,008644.OF,天弘季季兴三个月定开A,"柴文婷,陈钢",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
604,008646.OF,天弘增利短债A,"王昌俊,王顺利",短期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
605,008648.OF,嘉实致业一年定期纯债债券,"王立芹,崔思维",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
606,008649.OF,华泰柏瑞锦兴39个月定开债券,何子建,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
607,008650.OF,华泰柏瑞益商一年定开债券,罗远航,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
608,008651.OF,博时富进一年期定开债发起式,李秋实,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
609,008661.OF,嘉实致融一年定期债券,"轩璇,胡永青",混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,稳定信用债
610,008674.OF,博时稳悦63个月定开债,陈黎,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
611,008675.OF,华安鑫浦定开债A,孙丽娜,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
612,008700.OF,泰康瑞丰3月定开债券,经惠云,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
613,008722.OF,永赢欣益一年,吴玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
614,008730.OF,天弘纯享一年定开,潘昱杉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
615,008738.OF,天弘兴享一年定开,"潘昱杉,柴文婷",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
616,008746.OF,财通多利债券A,"闫梦璇,罗晓倩",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
617,008761.OF,南方骏元中短期利率债债券,"黄斌斌,王润栋",短期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
618,008762.OF,天弘恒享一年定开,"潘昱杉,程明",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
619,008774.OF,招商鑫福中短债A,李家辉,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
620,008796.OF,国联恒安纯债A,石霄蒙,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
621,008802.OF,浦银安盛盛晖一年定开债券,"陶祺,翁凯骅",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
622,008807.OF,鹏扬淳悦一年定开债券,焦翠,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
623,008826.OF,天弘成享一年定开,"刘洋,彭玮",混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,轮动基金
624,008829.OF,博时富洋一年定开债发起式,李秋实,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
625,008857.OF,华夏鼎航债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
626,008862.OF,中银证券汇远定期开放债券,余亮,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
627,008863.OF,中银证券汇兴定期开放债券,"王玉玺,曹张琪",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
628,008875.OF,国寿安保尊恒利率债债券A,"李辉,卢珊",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
629,008902.OF,国寿安保泰吉纯债一年定开债券发起式,丁宇佳,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
630,008925.OF,鹏华尊达一年定开发起式债券,杜培俊,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
631,008995.OF,中银证券安沛债券A,余亮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
632,009001.OF,长城泰利债券A,"张棪,吴冰燕",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
633,009021.OF,鹏华丰诚债券A,"祝松,杜培俊",混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,稳定信用债
634,009041.OF,浦银安盛普天纯债债券A,陶祺,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
635,009045.OF,浦银安盛盛智一年定开债券,曹治国,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
636,009082.OF,华夏鼎佳债券A,张海静,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
637,009091.OF,兴银汇悦定开债,范泰奇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
638,009105.OF,兴业嘉荣一年定开债券发起式,"王卓然,雷志强",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
639,009148.OF,平安合聚定开债,段玮婧,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
640,009166.OF,平安合享1年定开债,张璐,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
641,009167.OF,博时富灿一年定开债发起式,李汉楠,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
642,009207.OF,兴银汇智定开债,"洪木妹,王深",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
643,009212.OF,易方达恒茂39个月定开债发起式,藏海涛,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
