,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
130,002864.OF,广发安泽短债A,刘志辉,短期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
131,002868.OF,鹏华丰茂债券,杜培俊,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
132,002898.OF,富国两年期理财债券A,俞晓斌,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,
133,002904.OF,博时安仁一年定开债发起式A,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
134,002927.OF,长盛盛和纯债A,王贵君,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
135,002929.OF,博时聚盈纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
136,002930.OF,博时聚润纯债债券,王帅,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
137,002970.OF,博时裕昂纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
138,002985.OF,中银季季红定期开放债券,易芳菲,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,轮动基金
139,002991.OF,嘉实稳鑫纯债债券,李卓锴,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
140,002994.OF,招商招裕纯债A,"王闯,康晶",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
141,003039.OF,广发集富纯债A,吴迪,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
142,003102.OF,长盛盛裕纯债A,王贵君,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,轮动基金
143,003155.OF,中加丰尚纯债债券A,王霈,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
144,003162.OF,博时富宁纯债债券,李秋实,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
145,003188.OF,博时聚源纯债债券A,黄海峰,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
146,003192.OF,创金合信尊丰纯债,郑振源,混合债券型基金(一级),稳定大基金公司,稳定中,稳定中,稳定信用债
147,003193.OF,创金合信尊智纯债A,郑振源,混合债券型基金(一级),稳定大基金公司,稳定短,稳定中,稳定信用债
148,003209.OF,鹏华丰达债券,杜培俊,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
149,003213.OF,中银悦享定期开放债券,白洁,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
150,003214.OF,易方达富惠纯债债券A,李一硕,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
151,003223.OF,广发景丰纯债,吴迪,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,
152,003258.OF,博时富祥纯债债券A,陈黎,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,轮动基金
153,003260.OF,博时利发纯债债券A,王帅,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
154,003265.OF,招商招坤纯债A,郭敏,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
155,003268.OF,博时悦楚纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
156,003269.OF,招商招乾3个月定开债发起式A,王梓林,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
157,003280.OF,鹏华丰恒债券,方昶,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,轮动基金
158,003285.OF,国寿安保安康纯债债券,李一鸣,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
159,003289.OF,创金合信尊泰纯债,郑振源,混合债券型基金(一级),稳定大基金公司,稳定中,稳定中,稳定信用债
160,003290.OF,长城久稳债券A,吴冰燕,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,轮动基金
161,003309.OF,兴业启元一年定开债券A,唐丁祥,混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
162,003313.OF,中银睿享定期开放债券,白洁,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
163,003315.OF,景顺长城政策性金融债A,"陈健宾,何江波",中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
164,003327.OF,万家鑫璟纯债A,"周慧,周潜玮",中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
165,003329.OF,万家鑫安纯债A,"周慧,周潜玮",中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
166,003417.OF,中加丰泽纯债,袁素,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
167,003428.OF,中加丰盈一年定期开放债券型发起式,于跃,混合债券型基金(一级),稳定大基金公司,稳定短,稳定大,稳定信用债
168,003445.OF,中加丰享纯债债券,王霈,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
169,003452.OF,招商招盛纯债A,李家辉,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
170,003454.OF,招商招通纯债A,黄晓婷,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
171,003528.OF,汇添富长添利定期开放债券A,杨靖,混合债券型基金(一级),稳定大基金公司,稳定长,稳定大,稳定信用债
172,003547.OF,鹏华丰禄债券,刘涛,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,轮动基金
173,003571.OF,招商招琪纯债A,王梓林,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
174,003590.OF,建信睿富纯债债券,刘思,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
175,003605.OF,景顺长城景泰汇利定期开放债券A,何江波,混合债券型基金(一级),稳定大基金公司,稳定长,稳定大,稳定信用债
176,003607.OF,博时富益纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
177,003640.OF,兴业裕丰债券,冯小波,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
178,003651.OF,博时丰达6个月定开债发起式,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
179,003660.OF,中加纯债两年债券A,于跃,混合债券型基金(一级),稳定大基金公司,稳定短,稳定中,稳定信用债
180,003662.OF,鹏华永盛定期开放债券,"祝松,杜培俊,应琛",混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
181,003671.OF,兴业裕恒债券,雷志强,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
182,003673.OF,中加丰裕纯债债券A,王霈,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
183,003703.OF,博时富鑫纯债债券A,"唐薇,张李陵",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,轮动基金
184,003730.OF,博时富华纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定短,稳定大,稳定信用债
185,003746.OF,广发汇瑞3个月定期开放债券,赵子良,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
186,003770.OF,中银丰庆定期开放债券,白洁,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
187,003809.OF,招商招顺纯债A,刘万锋,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
188,003832.OF,中银丰润定期开放债券,易芳菲,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
189,003847.OF,华安鼎丰债券发起式A,"李邦长,康钊,郑如熙",中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
190,003859.OF,招商招旭纯债A,郭敏,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
191,003863.OF,招商招祥纯债A,"马龙,王梓林",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
192,003869.OF,长信稳势纯债债券,"杜国昊,邹依恩",中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
193,003929.OF,中银证券安进债券A,"余亮,王玉玺",中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
194,003949.OF,兴全稳泰债券A,王帅,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
195,003983.OF,鹏华丰惠债券,杜培俊,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
196,004020.OF,广发景祥纯债,赵子良,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
197,004027.OF,广发景源纯债A,"刘志辉,方抗",中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
198,004030.OF,嘉实丰安6个月定期债券,王亚洲,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
199,004031.OF,鑫元添利三个月定期开放债券,郭卉,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,稳定信用债
200,004032.OF,工银丰淳半年定开债券,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
201,004042.OF,华夏鼎茂债券A,刘明宇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,轮动基金
202,004052.OF,华夏鼎智债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
203,004061.OF,华夏鼎隆债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
204,004118.OF,博时裕鹏纯债债券,王帅,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
