,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,行业标签
152,260103.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
153,160518.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
154,519668.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
155,519991.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
156,070019.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
157,110015.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
158,020023.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
159,460007.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
160,005028.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
161,040015.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
162,233007.OF,行业均衡基金,医药行业基金,医药行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
163,090009.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
164,000011.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
165,001398.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
166,519017.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
167,162703.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
168,519767.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
169,001382.OF,行业均衡基金,行业均衡基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业轮动基金
170,270005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
171,162208.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
172,003745.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
173,519736.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
174,700003.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
175,001125.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
176,233006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
177,180013.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
178,180018.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
179,001790.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业轮动基金
180,040004.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
181,630006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
182,163406.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
183,000991.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
184,320012.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
185,001158.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
186,001256.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
187,270006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
188,005241.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
189,160918.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
190,002808.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
191,001410.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
192,161810.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
193,340007.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
194,001373.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
195,165313.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
196,002168.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
197,163822.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
198,005299.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
199,040005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
200,000117.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
201,519672.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
202,233009.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
203,000619.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
204,001672.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
205,003984.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
206,160613.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
207,398021.OF,行业均衡基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
208,000939.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
209,550008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
210,378010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
