,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签
50,000985.OF,嘉实逆向策略股票,曲盛伟,郭东谋(20150202-20180718) 曲盛伟(20180718-至今),否,股票型基金,普通股票型基金,771153984.68,8.4109589041096,0.21,93.932589471166,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
51,000991.OF,工银战略转型股票A,杜洋,宋炳珅(20150216-20171222) 杜洋(20150216-至今),否,股票型基金,普通股票型基金,3317978576.9,8.372602739726,2.67,93.731567379197,稳定行业均衡基金,稳定价值型,稳定中盘,轮动基金,轮动基金
52,000996.OF,中银新动力股票A,王伟然,史彬(20150213-20180503) 吴印(20180503-20231024) 王伟然(20231024-至今),否,股票型基金,普通股票型基金,738298674.77,8.3808219178082,0.1066,92.435292020624,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
53,001008.OF,工银国企改革股票,何肖颉,王君正(20150127-20180227) 何肖颉(20150127-至今),否,股票型基金,普通股票型基金,773645150.07,8.427397260274,8.17,87.346625722252,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,稳定低
54,001009.OF,摩根安全战略股票A,陈思郁,卢扬(20150226-20161021) 陈思郁(20161021-至今) 李德辉(20180330-20190719),否,股票型基金,普通股票型基金,297652951.82,8.3452054794521,9.97,90.708481449119,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
55,001028.OF,华安物联网主题股票A,翁启森,翁启森(20150317-至今),否,股票型基金,普通股票型基金,302507650.55,8.2931506849315,,93.9311348281,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定低
56,001036.OF,嘉实企业变革股票,谢泽林,刘美玲(20150212-20160220) 杜毅(20150228-20171017) 谢泽林(20171017-至今),否,股票型基金,普通股票型基金,616140821.65,8.3835616438356,37.27,92.792281222161,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定中
57,001040.OF,新华策略精选股票,赵强,崔建波(20150331-20170526) 栾江伟(20150716-20170523) 赵强(20170517-至今),否,股票型基金,普通股票型基金,840357538.3,8.2547945205479,68.69,94.890479338489,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
58,001044.OF,嘉实新消费股票,谭丽,颜媛(20150323-20170411) 陈勤(20150323-20150619) 谭丽(20170411-至今),否,股票型基金,普通股票型基金,1300017216.96,8.2767123287671,19.57,80.056070922176,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
59,001054.OF,工银新金融股票A,鄢耀,王君正(20150319-20171009) 鄢耀(20150319-至今),否,股票型基金,普通股票型基金,2394587392.06,8.2876712328767,26.59,92.435563329614,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
60,001070.OF,建信信息产业股票A,邵卓,邵卓(20150324-至今),否,股票型基金,普通股票型基金,890234038.3,8.2739726027397,42.95,90.709691074385,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
61,001072.OF,华安智能装备主题股票A,李欣,施卫平(20150424-20150626) 崔莹(20150618-20160921) 李欣(20150709-至今),否,股票型基金,普通股票型基金,917260688.56,8.1890410958904,36.59,87.243891393709,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
62,001126.OF,摩根卓越制造股票A,李德辉,吴文哲(20150414-20170116) 许俊哲(20150414-20180615) 李德辉(20180615-至今),否,股票型基金,普通股票型基金,997947762.84,8.2164383561644,9.45,81.469594417343,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
63,001158.OF,工银新材料新能源股票,张剑峰,黄安乐(20150428-20180302) 孙楠(20160919-20190313) 张剑峰(20160919-至今) 陈小鹭(20160922-20190814),否,股票型基金,普通股票型基金,1582410734.66,8.1780821917808,2.87,90.853606874002,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定中
64,001163.OF,银华中国梦30股票,薄官辉,薄官辉(20150429-至今),否,股票型基金,普通股票型基金,644800542.78,8.1753424657534,50.63,85.203170490731,行业轮动基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
65,001166.OF,建信环保产业股票,姜锋,姜锋(20150422-至今),否,股票型基金,普通股票型基金,695769277.23,8.1945205479452,0.16,84.768003263679,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
66,001171.OF,工银养老产业股票A,赵蓓,赵蓓(20150428-至今) 胡文彪(20150428-20170804),否,股票型基金,普通股票型基金,2600445350.03,8.1780821917808,20.36,89.213826506854,稳定医药行业基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金
67,001178.OF,前海开源再融资股票,邱杰,邱杰(20150518-至今),否,股票型基金,普通股票型基金,748520634.49,8.1232876712329,30.06,94.310765746757,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
68,001186.OF,富国文体健康股票A,林庆,林庆(20150506-至今),否,股票型基金,普通股票型基金,1745932562.42,8.1561643835616,55.08,83.593440578958,稳定行业均衡基金,风格轮动基金,稳定中盘,稳定独立基金,轮动基金
69,001195.OF,工银农业产业股票,杨柯,杨柯(20150526-至今),否,股票型基金,普通股票型基金,508428998.78,8.1013698630137,3.6,90.170923417052,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
70,001223.OF,鹏华文化传媒娱乐股票,贺宁,谢书英(20160127-20190522) 贺宁(20190522-至今),否,股票型基金,普通股票型基金,95568361.05,7.427397260274,,84.209076346821,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
71,001230.OF,鹏华医药科技A,金笑非,梁冬冬(20150602-20160624) 梁浩(20160624-20170729) 金笑非(20160624-至今),否,股票型基金,普通股票型基金,3000780569.25,8.0821917808219,48.6,91.984093038831,稳定医药行业基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
72,001236.OF,博时丝路主题股票A,沙炜,王俊(20150522-20160608) 沙炜(20150522-至今),否,股票型基金,普通股票型基金,991367598.04,8.1123287671233,32.45,82.799005437087,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
73,001245.OF,工银生态环境股票A,何肖颉,何肖颉(20150602-至今) 梅韬(20150825-20180131) 闫思倩(20171017-20220113),否,股票型基金,普通股票型基金,2940167713.4,8.0821917808219,4.49,84.740365831911,行业轮动基金,风格轮动基金,风格轮动基金,稳定共振基金,轮动基金
74,001291.OF,大摩量化多策略股票,余斌,刘钊(20150602-20150812) 杨雨龙(20150725-20170617) 夏青(20170615-20190824) 余斌(20190820-至今),否,股票型基金,普通股票型基金,142116454.13,8.0821917808219,19.6,93.41959313772,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
75,001313.OF,摩根智慧互联股票A,郭晨,郭晨(20150609-至今),否,股票型基金,普通股票型基金,498886450.91,8.0630136986301,6.86,86.790297015368,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定中
76,001396.OF,建信互联网+产业升级股票,何珅华,何珅华(20150623-至今),否,股票型基金,普通股票型基金,202724178.52,8.0246575342466,0.05,88.446775381709,行业轮动基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
77,001404.OF,招商移动互联网产业股票基金A,张林,韩冰(20150619-20170629) 王忠波(20150619-20170107) 钟贇(20170222-20190323) 潘明曦(20170629-20190614) 张林(20190614-至今),否,股票型基金,普通股票型基金,1868206919.84,8.0356164383562,42.82,93.48611489536,稳定TMT行业基金,稳定成长型,风格轮动基金,轮动基金,稳定中
78,001410.OF,信澳新能源股票,冯明远,尹哲(20150731-20150908) 柴妍(20150811-20161027) 冯明远(20161019-至今),否,股票型基金,普通股票型基金,9639426413.46,7.9205479452055,8.4,93.50579822617,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
79,001416.OF,嘉实事件驱动股票,雍大为,张自力(20150609-20230926) 陶羽(20160301-20170701) 张楠(20190117-20230926) 雍大为(20230926-至今),否,股票型基金,普通股票型基金,937503825.78,8.0630136986301,0.01,88.703676885597,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
80,001473.OF,建信大安全战略精选股票,王东杰,王东杰(20150729-至今),否,股票型基金,普通股票型基金,370571033.43,7.9260273972603,38.28,83.530267958321,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
81,001476.OF,中银智能制造股票A,王伟,王伟(20150619-至今),否,股票型基金,普通股票型基金,1744427688.29,8.0356164383562,22.4351,84.591618310413,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
82,001490.OF,汇添富国企创新增长股票A,李威,李威(20150710-至今) 劳杰男(20150710-20180301),否,股票型基金,普通股票型基金,783014739.03,7.9780821917808,31.41,87.017252987118,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定中
83,001496.OF,工银聚焦30股票,胡志利,胡文彪(20150625-20180125) 王筱苓(20180123-20230706) 胡志利(20191107-至今),否,股票型基金,普通股票型基金,256307804.03,8.0191780821918,33.61,86.173392084522,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,稳定中
84,001528.OF,诺安先进制造股票A,韩冬燕,刘魁(20150821-20151121) 韩冬燕(20151105-至今),否,股票型基金,普通股票型基金,312041026.96,7.8630136986301,38.6,89.933984689127,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,轮动基金
85,001542.OF,国泰互联网+股票,孙家旭,周伟锋(20150804-20160826) 彭凌志(20151201-20230830) 孙家旭(20230830-至今),否,股票型基金,普通股票型基金,923537520.9,7.9095890410959,3.84,92.941528254697,行业轮动基金,稳定成长型,风格轮动基金,轮动基金,轮动基金
86,001576.OF,国泰智能装备股票A,王阳,周伟锋(20170621-20190815) 王阳(20181113-至今),否,股票型基金,普通股票型基金,1817039467.8,6.027397260274,53.63,94.572292111315,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
87,001579.OF,国泰大农业股票A,程洲,程洲(20170615-至今),否,股票型基金,普通股票型基金,669601137.96,6.0438356164384,3.36,91.355258622168,行业轮动基金,风格轮动基金,稳定中盘,轮动基金,轮动基金
88,001583.OF,安信新常态股票A,袁玮,黄立华(20150807-20151201) 蓝雁书(20151102-20190103) 袁玮(20160411-至今),否,股票型基金,普通股票型基金,397495482.28,7.9013698630137,77.62,93.706307753293,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,轮动基金
89,001605.OF,国富沪港深成长精选股票A,徐成,卫学海(20160120-20171021) 徐成(20170708-至今),否,股票型基金,普通股票型基金,1657181773.81,7.4465753424658,39.99,83.280016704788,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,稳定低
90,001616.OF,嘉实环保低碳股票,姚志鹏,李化松(20151230-20180321) 姚志鹏(20180321-至今),否,股票型基金,普通股票型基金,3467846500.95,7.5041095890411,1.58,90.360178941934,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
91,001637.OF,嘉实量化精选股票,"刘斌,龙昌伦",刘斌(20151207-至今) 龙昌伦(20170622-至今),否,股票型基金,普通股票型基金,1523111199.53,7.5671232876712,88.06,92.294443170255,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定低
92,001645.OF,国泰大健康股票A,徐治彪,杨飞(20160203-20171030) 徐治彪(20171030-至今),否,股票型基金,普通股票型基金,3247799545.71,7.4082191780822,83.44,94.025472928612,稳定行业均衡基金,风格轮动基金,稳定小盘,稳定独立基金,稳定高
93,001651.OF,工银新蓝筹股票A,"王筱苓,盛震山",王筱苓(20150806-至今) 盛震山(20231013-至今),否,股票型基金,普通股票型基金,282123606.63,7.9041095890411,34.44,82.269517261917,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,稳定低
94,001672.OF,国寿安保智慧生活股票,张琦,吴坚(20150901-20171026) 张琦(20150923-至今),否,股票型基金,普通股票型基金,1293023955.27,7.8328767123288,96.61,89.47741524467,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定低
95,001703.OF,银华沪港深增长股票A,周晶,周可彦(20160810-20181227) 周大鹏(20180118-20210618) 周书(20180413-20190719) 周晶(20181227-至今),否,股票型基金,普通股票型基金,166115136.14,6.8904109589041,7.99,91.252758631402,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,稳定中
96,001705.OF,泓德战略转型股票,秦毅,郭堃(20151110-20191111) 秦毅(20191029-至今),否,股票型基金,普通股票型基金,1426757386.78,7.641095890411,53.06,93.227663497992,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
97,001717.OF,工银前沿医疗股票A,赵蓓,赵蓓(20160203-至今),否,股票型基金,普通股票型基金,13292891999.99,7.4082191780822,5.62,80.598169927963,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
98,001725.OF,汇添富高端制造股票A,赵鹏飞,赵鹏飞(20170320-至今),否,股票型基金,普通股票型基金,2184907615.57,6.2821917808219,28.79,80.219649312657,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
99,001726.OF,汇添富新兴消费股票A,刘伟林,雷鸣(20151202-20170620) 刘伟林(20151202-至今),否,股票型基金,普通股票型基金,287576910.48,7.5808219178082,0.04,93.041936638512,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
100,001736.OF,圆信永丰优加生活,范妍,洪流(20151028-20190131) 范妍(20151028-至今),否,股票型基金,普通股票型基金,5379147469.44,7.6767123287671,53.8,82.551749945838,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定低
101,001766.OF,摩根医疗健康股票A,方钰涵,张飞(20151021-20180209) 张一甫(20180209-20190816) 方钰涵(20190816-至今),否,股票型基金,普通股票型基金,812614943.52,7.6958904109589,14.93,82.016069505785,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
102,001790.OF,国泰智能汽车股票A,王阳,周伟锋(20170801-20200821) 李海(20170801-20190815) 王阳(20190815-至今),否,股票型基金,普通股票型基金,5556528410.78,5.9150684931507,15.24,94.808722025062,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
103,001825.OF,建信中国制造2025股票A,孙晟,孙晟(20170308-至今),否,股票型基金,普通股票型基金,271616921.97,6.3150684931507,58.19,89.129861911128,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
104,001878.OF,嘉实沪港深精选股票,张金涛,张金涛(20160527-至今) 张丹华(20171230-20190110),否,股票型基金,普通股票型基金,2087785626.45,7.0958904109589,5.8,91.029885669419,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,稳定中
105,001956.OF,国联安科技动力股票,潘明,潘明(20160126-至今),否,股票型基金,普通股票型基金,1060580700.26,7.4301369863014,25.83,93.106482852076,行业轮动基金,稳定成长型,风格轮动基金,轮动基金,轮动基金
106,001974.OF,景顺长城量化新动力股票,黎海威,黎海威(20160713-至今),否,股票型基金,普通股票型基金,864173973.7,6.9671232876712,6.97,92.963615851603,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
107,001975.OF,景顺长城环保优势股票,杨锐文,杨锐文(20160315-至今),否,股票型基金,普通股票型基金,4659600420.13,7.2958904109589,42.01,93.455474025786,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定中
108,002121.OF,广发沪港深新起点股票A,李耀柱,丁靓(20161102-20161210) 李耀柱(20161109-至今),否,股票型基金,普通股票型基金,2821522282.66,6.6602739726027,74.84,87.818152468439,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,轮动基金
109,002168.OF,嘉实智能汽车股票,姚志鹏,柏重波(20160204-20180320) 姚志鹏(20160430-至今),否,股票型基金,普通股票型基金,4334185588.8,7.4054794520548,8.44,89.880288629693,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,稳定高
110,002210.OF,创金合信量化多因子股票A,"黄小虎,董梁",程志田(20160122-20190705) 庞世恩(20160125-20180831) 董梁(20190705-至今) 孙悦(20210709-20220720) 黄小虎(20220729-至今),否,股票型基金,普通股票型基金,302172899.87,7.441095890411,37.09,93.338027824338,稳定行业均衡基金,风格轮动基金,稳定小盘,轮动基金,稳定低
111,002229.OF,华夏经济转型股票,张帆,彭海伟(20160315-20180724) 张帆(20170106-至今),否,股票型基金,普通股票型基金,1119136451.29,7.2958904109589,1.04,88.409194024511,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
112,003145.OF,国联竞争优势,柯海东,孔学兵(20160907-20190128) 柯海东(20190125-至今),否,股票型基金,普通股票型基金,312980716.73,6.813698630137,77.47,94.530976975567,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
113,003298.OF,嘉实物流产业股票A,肖觅,肖觅(20161229-至今),否,股票型基金,普通股票型基金,704849822.63,6.5041095890411,38.05,93.825225540735,行业轮动基金,稳定价值型,稳定中盘,稳定独立基金,轮动基金
114,003745.OF,广发多元新兴股票,"唐晓斌,刘格菘",吴兴武(20170425-20190416) 刘格菘(20181105-至今) 唐晓斌(20200302-至今),否,股票型基金,普通股票型基金,2875281461.64,6.1835616438356,22.59,89.05266296363,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定中立基金,稳定高
115,003834.OF,华夏能源革新股票A,郑泽鸿,郑泽鸿(20170607-至今),否,股票型基金,普通股票型基金,14475605336.19,6.0657534246575,6.14,88.543251372496,行业轮动基金,风格轮动基金,风格轮动基金,稳定中立基金,稳定高
116,003984.OF,嘉实新能源新材料股票A,"熊昱洲,姚志鹏",姚志鹏(20170316-至今) 熊昱洲(20210126-至今),否,股票型基金,普通股票型基金,3561599141.87,6.2931506849315,8.51,90.329391180996,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,稳定高
117,004075.OF,交银施罗德医药创新股票A,楼慧源,盖婷婷(20170323-20180922) 楼慧源(20180912-至今),否,股票型基金,普通股票型基金,3456285583.5,6.2739726027397,26.09,85.956531117791,稳定医药行业基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金
118,004476.OF,景顺长城沪港深领先科技股票,詹成,黎海威(20170707-20190808) 詹成(20170707-至今),否,股票型基金,普通股票型基金,845555625.96,5.9835616438356,53.4,86.781330579747,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
119,004640.OF,华夏节能环保股票A,吕佳玮,吕佳玮(20170811-至今),否,股票型基金,普通股票型基金,527643200.12,5.8876712328767,26.83,93.482363445417,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
120,004683.OF,建信高端医疗股票A,潘龙玲,潘龙玲(20170718-至今),否,股票型基金,普通股票型基金,231473301.24,5.9534246575342,11.06,83.987870197611,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
121,004851.OF,广发医疗保健股票A,吴兴武,邱璟旻(20170810-20181105) 吴兴武(20181016-至今),否,股票型基金,普通股票型基金,7481120891.09,5.8904109589041,0.78,82.77378066505,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
122,005267.OF,嘉实价值精选股票,谭丽,谭丽(20171106-至今),否,股票型基金,普通股票型基金,4754140633.19,5.6493150684932,20.96,89.710269138552,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,稳定高
123,005268.OF,鹏华优势企业,陈璇淼,陈璇淼(20171129-至今) 蒋鑫(20171222-20181117),否,股票型基金,普通股票型基金,408027630.19,5.586301369863,1.9,80.175114221473,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定中
124,040018.OF,华安香港精选股票(QDII),"苏圻涵,翁启森",翁启森(20100919-至今) 苏圻涵(20100919-至今),否,QDII基金,QDII股票型基金,456590713.24,12.786301369863,19.14,89.462144300182,,,,稳定独立基金,稳定低
125,110022.OF,易方达消费行业股票,"萧楠,王元春",刘芳洁(20100820-20121124) 萧楠(20120928-至今) 蔡海洪(20130427-20150110) 王元春(20210116-至今),否,股票型基金,普通股票型基金,23989558349.67,12.868493150685,1.46,89.954810552679,稳定消费行业基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
126,118001.OF,易方达亚洲精选股票(QDII),张坤,张小刚(20100121-20120518) 李弋(20100121-20120113) 管宇(20120101-20140408) 张坤(20140408-至今),否,QDII基金,QDII股票型基金,4905007370.32,13.446575342466,12.31,94.682185351885,,,,稳定独立基金,稳定低
127,162208.OF,宏利首选企业股票A,张勋,陈少平(20061201-20080805) 温震宇(20061201-20070430) 史博(20070726-20090523) 梁辉(20080805-20100208) 许杰(20100208-20110930) 刘金玉(20110308-20130724) 吴俊峰(20130724-20140911) 陈桥宁(20130724-20141124) 张勋(20141121-至今),否,股票型基金,普通股票型基金,578990018.56,16.58904109589,18.14,92.663050099452,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,稳定低
128,320022.OF,诺安研究精选股票,"王创练,邓心怡",王创练(20150330-至今) 邓心怡(20220706-至今),否,股票型基金,普通股票型基金,576370149.09,8.2575342465753,0.1,91.664762955568,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定低
129,340006.OF,兴全全球视野股票,王品,王晓明(20060920-20080103) 董承非(20070206-20151231) 杨大力(20120906-20141206) 季侃乐(20141124-20151231) 申庆(20151231-20170207) 吴圣涛(20151231-20171109) 王品(20170919-至今),否,股票型基金,普通股票型基金,1803133364.89,16.786301369863,22.52,88.470508117258,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,稳定中
130,376510.OF,摩根大盘蓝筹股票A,朱晓龙,罗建辉(20101220-20130821) 征茂平(20130722-20190719) 朱晓龙(20190719-至今),否,股票型基金,普通股票型基金,219620904.74,12.534246575342,0.11,93.696735878606,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
131,450009.OF,国富中小盘股票A,赵晓东,赵晓东(20101123-至今),否,股票型基金,普通股票型基金,4091968963.6,12.608219178082,64.51,85.732826037879,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
132,457001.OF,国富亚洲机会股票(QDII),徐成,曾宇(20120222-20160224) 徐成(20151224-至今),否,QDII基金,QDII股票型基金,205670121.16,11.358904109589,75.15,83.862213644451,,,,稳定独立基金,稳定低
133,519193.OF,万家消费成长,高源,莫海波(20170223-20180315) 高源(20171114-至今),否,股票型基金,普通股票型基金,398063896.57,6.3506849315068,13.37,83.392951900531,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
134,519714.OF,交银施罗德消费新驱动股票,韩威俊,屈乐伟(20121107-20130330) 蔡铮(20121227-20150701) 李德亮(20150701-20150829) 盖婷婷(20150701-20180906) 韩威俊(20180824-至今),否,股票型基金,普通股票型基金,2942461764.27,10.649315068493,52.6,93.771896728607,稳定消费行业基金,风格轮动基金,稳定大盘,轮动基金,稳定高
135,519965.OF,长信量化多策略股票A,左金保,左金保(20150714-20180205) 常松(20150924-20180907) 左金保(20180830-至今),否,股票型基金,普通股票型基金,129945251.29,7.9671232876712,79.32,93.062725740687,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
136,519975.OF,长信量化中小盘股票,左金保,胡倩(20150204-20150313) 左金保(20150313-至今),否,股票型基金,普通股票型基金,665732111.78,8.4054794520548,61.57,93.767842769509,稳定行业均衡基金,风格轮动基金,稳定小盘,轮动基金,稳定低
137,540008.OF,汇丰晋信低碳先锋股票A,陆彬,邵骥咏(20100608-20120818) 刘辉(20120721-20131221) 曹庆(20131221-20160430) 方超(20150919-20190907) 陆彬(20190817-至今),否,股票型基金,普通股票型基金,6543688514.97,13.068493150685,5.34,94.59656409851,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
138,540010.OF,汇丰晋信科技先锋股票,陈平,邵骥咏(20110727-20120818) 曹庆(20120818-20131221) 曹晋(20130420-20140621) 李元博(20140621-20150725) 陈平(20150725-至今),否,股票型基金,普通股票型基金,424854771.22,11.934246575342,17.28,94.61346947469,稳定TMT行业基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
139,580008.OF,东吴新产业精选股票A,刘瑞,任壮(20110928-20130605) 刘元海(20111026-20150529) 戴斌(20131223-20181205) 刘瑞(20180308-至今),否,股票型基金,普通股票型基金,403095705.3,11.761643835616,85.42,81.003949214784,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定中
140,160314.SZ,华夏行业混合(LOF),王劲松,罗泽萍(20071122-20120120) 孙彬(20120112-20190819) 贺振华(20120919-20130923) 佟巍(20170502-20180730) 王劲松(20190819-至今),否,混合型基金,偏股混合型基金,1405490280.43,15.613698630137,1.69,91.949061630267,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定中
