,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签
141,160421.SZ,华安智增精选灵活配置混合,金拓,刘伟亭(20160913-20180629) 王春(20180226-20231023) 金拓(20231023-至今),否,混合型基金,灵活配置型基金,97189133.04,6.7972602739726,0.21,83.531589253489,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
142,160518.SZ,博时睿远事件驱动混合(LOF),陈伟,陈鹏扬(20160415-20191030) 陈伟(20191030-至今),否,混合型基金,灵活配置型基金,156844881.59,7.2109589041096,0.94,77.300480647454,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,稳定低
143,160613.SZ,鹏华盛世创新混合(LOF),伍旋,黄鑫(20081010-20100726) 唐文杰(20090714-20111228) 伍旋(20111228-至今),否,混合型基金,偏股混合型基金,749900998.18,14.728767123288,77.59,77.803188535022,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,稳定中
144,160916.SZ,大成优选混合(LOF)A,戴军,刘明(20120727-20140129) 汤义峰(20121126-20150417) 石国武(20150418-20160525) 戴军(20150521-至今),否,混合型基金,偏股混合型基金,1300011798.55,10.931506849315,44.57,84.094788001103,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
145,160918.SZ,大成中小盘混合(LOF)A,魏庆国,刘安田(20140410-20150406) 魏庆国(20150407-至今),否,混合型基金,偏股混合型基金,2341020507.27,9.227397260274,84.57,67.409021152526,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
146,161005.SZ,富国天惠成长混合(LOF),朱少醒,朱少醒(20051116-至今),否,混合型基金,偏股混合型基金,29909103522.73,17.630136986301,2.73,93.878221804277,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
147,161224.SZ,国投瑞银新丝路混合(LOF),王鹏,綦缚鹏(20150410-20170610) 王鹏(20150413-至今) 狄晓娇(20170520-20191015),否,混合型基金,灵活配置型基金,148178171.94,8.227397260274,22.38,94.805297629723,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
148,161610.SZ,融通领先成长混合(LOF)A/B,"邹曦,何龙",刘模林(20070430-20110122) 陈文涛(20070430-20100313) 管文浩(20100313-20130207) 余志勇(20120810-20141224) 刘格菘(20141224-20170218) 伍文友(20150829-20180823) 邹曦(20170218-至今) 何龙(20180823-至今),否,混合型基金,偏股混合型基金,1301562292.92,16.178082191781,0.59,88.69157597491,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
149,161706.SZ,招商优质成长混合(LOF),贾成东,张冰(20051117-20110728) 张慎平(20110729-20140613) 王忠波(20140613-20170107) 孙振峰(20160120-20170601) 付斌(20170601-20190413) 贾成东(20170629-至今),否,混合型基金,偏股混合型基金,1561394541.75,17.627397260274,0.95,83.762449498136,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
150,161810.SZ,银华内需精选混合(LOF),"王利刚,刘辉",齐海滔(20090701-20101229) 徐子涵(20100621-20130625) 邹积建(20111130-20160708) 倪明(20160708-20170904) 刘辉(20170315-至今) 王利刚(20210426-至今),否,混合型基金,偏股混合型基金,2169280690.48,14.005479452055,19.88,94.687597171461,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
