,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
428,217009.OF,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡型,大盘,风格轮动基金
429,519003.OF,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,大盘,风格轮动基金
430,217010.OF,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,均衡型,大盘,风格轮动基金
431,320011.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,中盘,风格轮动基金
432,090004.OF,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,均衡-价值型,大盘,稳定大盘
433,002249.OF,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,大盘,风格轮动基金
434,420005.OF,价值型,中盘,价值型,小盘,均衡型,小盘,价值型,小盘,价值型,小盘,价值型,大盘,风格轮动基金
435,000925.OF,价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
436,000877.OF,价值型,大盘,价值型,大盘,价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
437,001832.OF,价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
438,000746.OF,价值型,大盘,均衡-价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,成长型,大盘,稳定大盘
439,450002.OF,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
440,160613.SZ,价值型,大盘,价值型,大盘,价值型,大盘,价值型,中盘,价值型,中盘,价值型,中盘,风格轮动基金
441,519133.OF,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,稳定中盘
442,001528.OF,价值型,大盘,价值型,大盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,风格轮动基金
443,001974.OF,价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,稳定大盘
444,001579.OF,价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,稳定中盘
445,002562.OF,价值型,小盘,均衡-价值型,中盘,均衡-价值型,中盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
446,519975.OF,价值型,小盘,均衡-价值型,小盘,成长型,小盘,价值型,小盘,均衡型,小盘,均衡型,小盘,稳定小盘
447,460009.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
448,519069.OF,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
449,519983.OF,价值型,小盘,均衡-价值型,小盘,成长型,中盘,价值型,小盘,均衡-价值型,中盘,均衡型,中盘,风格轮动基金
450,320015.OF,价值型,大盘,价值型,大盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,风格轮动基金
451,000480.OF,价值型,中盘,价值型,小盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,中盘,风格轮动基金
452,161706.SZ,价值型,大盘,均衡-价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,成长型,大盘,稳定大盘
453,233009.OF,价值型,小盘,价值型,小盘,均衡型,小盘,均衡-价值型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
454,001605.OF,价值型,小盘,价值型,小盘,价值型,中盘,价值型,中盘,价值型,小盘,价值型,中盘,风格轮动基金
