,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
240,400025.OF,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,成长-均衡型,大盘,均衡型,大盘,稳定大盘
241,040007.OF,均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,稳定中盘
242,213003.OF,均衡型,小盘,均衡型,小盘,成长型,中盘,成长型,小盘,成长型,中盘,成长-均衡型,中盘,风格轮动基金
243,340006.OF,均衡型,中盘,均衡-价值型,大盘,成长-均衡型,大盘,成长-均衡型,中盘,均衡型,大盘,均衡型,大盘,风格轮动基金
244,501051.SH,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,成长-均衡型,中盘,均衡-价值型,大盘,风格轮动基金
245,161005.SZ,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
246,001576.OF,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
247,202011.OF,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,稳定大盘
248,000167.OF,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,稳定大盘
249,519029.OF,均衡型,小盘,均衡型,小盘,成长型,小盘,成长-均衡型,小盘,成长型,小盘,均衡型,小盘,稳定小盘
250,217012.OF,均衡型,小盘,成长-均衡型,中盘,成长型,小盘,价值型,小盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
251,580008.OF,均衡型,中盘,成长型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,大盘,风格轮动基金
252,166002.OF,均衡型,中盘,均衡型,中盘,均衡-价值型,大盘,均衡-价值型,中盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
253,001106.OF,均衡型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
254,630016.OF,均衡型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
255,001396.OF,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
256,160918.SZ,均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
257,160518.SZ,均衡型,大盘,均衡-价值型,中盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
258,375010.OF,均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
259,004374.OF,均衡型,中盘,均衡-价值型,小盘,均衡型,中盘,成长型,中盘,成长-均衡型,中盘,均衡型,大盘,风格轮动基金
260,002259.OF,均衡型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
261,001054.OF,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,稳定大盘
262,040008.OF,均衡型,大盘,均衡-价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,风格轮动基金
263,481006.OF,均衡型,大盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
264,001790.OF,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,中盘,风格轮动基金
265,519704.OF,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,中盘,成长-均衡型,小盘,均衡型,中盘,风格轮动基金
266,100060.OF,均衡型,小盘,均衡型,小盘,均衡型,中盘,成长型,中盘,成长型,大盘,均衡型,中盘,风格轮动基金
267,161903.SZ,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
268,001280.OF,均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,成长型,大盘,稳定大盘
269,410007.OF,均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,中盘,风格轮动基金
270,002124.OF,均衡型,小盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡-价值型,中盘,均衡型,中盘,成长-均衡型,中盘,风格轮动基金
271,001018.OF,均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,风格轮动基金
272,377240.OF,均衡型,大盘,均衡型,大盘,成长型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
273,000039.OF,均衡型,中盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,大盘,风格轮动基金
274,410003.OF,均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,风格轮动基金
275,519001.OF,均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
276,166009.SZ,均衡型,中盘,均衡型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,大盘,风格轮动基金
277,320022.OF,均衡型,中盘,均衡型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡-价值型,中盘,稳定中盘
278,202003.OF,均衡型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
279,420001.OF,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
280,161224.SZ,均衡型,小盘,均衡型,中盘,均衡型,小盘,价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
281,519025.OF,均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,风格轮动基金
282,398021.OF,均衡型,中盘,成长型,小盘,成长型,中盘,均衡型,中盘,成长-均衡型,大盘,成长型,中盘,风格轮动基金
283,000828.OF,均衡型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,稳定中盘
284,180031.OF,均衡型,中盘,成长型,大盘,成长-均衡型,中盘,成长型,中盘,成长型,大盘,均衡型,大盘,风格轮动基金
285,288002.OF,均衡型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,稳定中盘
286,110013.OF,均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,均衡-价值型,中盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
287,000967.OF,均衡型,小盘,成长-均衡型,小盘,均衡型,中盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
288,519020.OF,均衡型,大盘,均衡型,大盘,均衡型,中盘,均衡型,大盘,价值型,中盘,价值型,中盘,风格轮动基金
289,200006.OF,均衡型,小盘,均衡型,小盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
290,270021.OF,均衡型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,风格轮动基金
291,001236.OF,均衡型,大盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
292,001468.OF,均衡型,小盘,均衡-价值型,小盘,均衡型,小盘,均衡-价值型,小盘,价值型,小盘,均衡-价值型,大盘,风格轮动基金
293,376510.OF,均衡型,中盘,均衡型,中盘,均衡型,大盘,均衡-价值型,中盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
294,050018.OF,均衡型,中盘,价值型,大盘,成长型,中盘,成长型,中盘,成长型,大盘,价值型,中盘,风格轮动基金
295,005075.OF,均衡型,小盘,均衡型,小盘,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,风格轮动基金
296,001071.OF,均衡型,中盘,均衡-价值型,中盘,价值型,小盘,均衡-价值型,中盘,均衡型,中盘,价值型,中盘,风格轮动基金
297,002340.OF,均衡-价值型,中盘,价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,中盘,均衡型,大盘,风格轮动基金
298,001297.OF,均衡-价值型,中盘,均衡-价值型,大盘,成长-均衡型,大盘,均衡型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
299,040005.OF,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,成长型,大盘,均衡型,大盘,风格轮动基金
300,519991.OF,均衡-价值型,小盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,风格轮动基金
301,163412.SZ,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,大盘,风格轮动基金
302,001616.OF,均衡-价值型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,中盘,成长-均衡型,中盘,风格轮动基金
303,519093.OF,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,大盘,成长-均衡型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
304,320003.OF,均衡-价值型,小盘,均衡型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,稳定小盘
305,530003.OF,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,均衡型,大盘,稳定大盘
306,519773.OF,均衡-价值型,小盘,均衡-价值型,小盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
307,001410.OF,均衡-价值型,小盘,均衡型,小盘,均衡型,中盘,均衡型,中盘,成长型,中盘,均衡型,中盘,风格轮动基金
308,001036.OF,均衡-价值型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,风格轮动基金
309,233007.OF,均衡-价值型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
310,001955.OF,均衡-价值型,中盘,价值型,小盘,价值型,中盘,价值型,中盘,价值型,小盘,价值型,中盘,风格轮动基金
311,398011.OF,均衡-价值型,中盘,成长型,中盘,成长型,中盘,均衡型,中盘,成长型,中盘,成长型,大盘,风格轮动基金
312,160421.SZ,均衡-价值型,小盘,均衡型,中盘,均衡型,大盘,均衡-价值型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
313,000985.OF,均衡-价值型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡型,小盘,均衡型,中盘,价值型,中盘,风格轮动基金
314,000589.OF,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
315,070021.OF,均衡-价值型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡型,小盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
316,550008.OF,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
317,004683.OF,均衡-价值型,小盘,均衡型,中盘,均衡型,中盘,成长-均衡型,小盘,成长-均衡型,中盘,成长型,中盘,风格轮动基金
318,000520.OF,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
319,001382.OF,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
320,519727.OF,均衡-价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,风格轮动基金
321,000549.OF,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,均衡-价值型,中盘,稳定中盘
322,270025.OF,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,价值型,小盘,价值型,大盘,风格轮动基金
323,000173.OF,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
324,519674.OF,均衡-价值型,中盘,成长-均衡型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
325,450003.OF,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
326,002808.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,风格轮动基金
327,450004.OF,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
328,001028.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,均衡型,中盘,均衡-价值型,中盘,稳定中盘
329,400001.OF,均衡-价值型,中盘,均衡型,大盘,均衡-价值型,大盘,均衡型,中盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
330,000011.OF,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,中盘,风格轮动基金
331,000778.OF,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
332,001869.OF,均衡-价值型,中盘,均衡型,大盘,均衡型,中盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,风格轮动基金
333,001256.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,大盘,均衡-价值型,大盘,风格轮动基金
334,002624.OF,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,价值型,小盘,价值型,中盘,风格轮动基金
335,003131.OF,均衡-价值型,小盘,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
336,005258.OF,均衡-价值型,中盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,风格轮动基金
337,378010.OF,均衡-价值型,中盘,均衡-价值型,小盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,均衡-价值型,大盘,风格轮动基金
338,519008.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
339,121008.OF,均衡-价值型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
340,000747.OF,均衡-价值型,中盘,均衡型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,风格轮动基金
341,003293.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,稳定中盘
342,540008.OF,均衡-价值型,中盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,中盘,成长-均衡型,中盘,风格轮动基金
343,161610.SZ,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,风格轮动基金
344,000127.OF,均衡-价值型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,风格轮动基金
345,000082.OF,均衡-价值型,大盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
346,660010.OF,均衡-价值型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,风格轮动基金
347,166006.SZ,均衡-价值型,中盘,均衡型,中盘,成长-均衡型,大盘,成长型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
348,260116.OF,均衡-价值型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
349,000577.OF,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
350,320005.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,大盘,风格轮动基金
351,040015.OF,均衡-价值型,小盘,成长-均衡型,中盘,成长型,中盘,成长型,中盘,成长型,小盘,成长型,中盘,风格轮动基金
352,001990.OF,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡型,小盘,均衡型,小盘,均衡-价值型,中盘,风格轮动基金
353,700001.OF,均衡-价值型,小盘,价值型,中盘,价值型,中盘,价值型,小盘,价值型,中盘,价值型,大盘,风格轮动基金
354,470009.OF,均衡-价值型,小盘,均衡-价值型,小盘,均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
355,000619.OF,均衡-价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,均衡-价值型,大盘,价值型,大盘,风格轮动基金
356,002168.OF,均衡-价值型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
357,180010.OF,均衡-价值型,大盘,均衡型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
358,481004.OF,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
359,270008.OF,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
360,001645.OF,均衡-价值型,小盘,均衡型,小盘,成长-均衡型,小盘,均衡-价值型,小盘,价值型,小盘,均衡-价值型,小盘,稳定小盘
361,005521.OF,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,大盘,价值型,大盘,均衡型,大盘,风格轮动基金
362,003984.OF,均衡-价值型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,大盘,成长-均衡型,中盘,成长-均衡型,中盘,风格轮动基金
363,519021.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,风格轮动基金
364,160603.OF,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
365,001736.OF,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,均衡-价值型,中盘,稳定中盘
366,000390.OF,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,稳定中盘
367,166301.OF,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,稳定中盘
368,004881.OF,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
369,630002.OF,均衡-价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,稳定中盘
370,121003.OF,均衡-价值型,大盘,价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
371,001651.OF,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
