,Unnamed: 0,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签,3年滚动累计超额收益率均值,3年滚动超额夏普比例,3年滚动累计超额收益率均值排名,3年滚动超额夏普比例排名,总得分
156,202,000652.OF,博时裕隆混合A,陈鹏扬,丛林(20140603-20150824) 陈鹏扬(20150824-至今),否,混合型基金,灵活配置型基金,1647233253.3,9.0794520547945,50.64,87.135020604068,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定中,0.004327187733317056,0.0014602466088777912,217.0,217.0,217.0
157,369,180018.OF,银华和谐主题混合,唐能,陆文俊(20090427-20130830) 万志勇(20090601-20100619) 周晶(20130225-20150506) 周可彦(20150506-20181227) 唐能(20150525-至今),否,混合型基金,灵活配置型基金,305014018.63,14.183561643836,,78.140293987313,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,0.0020283670391316178,0.0009952314595254364,215.0,215.0,215.0
158,37,000751.OF,嘉实新兴产业股票,归凯,王汉博(20140917-20160315) 季文华(20160315-20181204) 归凯(20181204-至今),否,股票型基金,普通股票型基金,7646701066.7,8.7890410958904,1.32,90.675107806094,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.0038763667424831366,0.0008916534015680176,216.0,213.0,214.5
159,228,001184.OF,易方达新常态混合,孙松,宋昆(20150430-20190112) 樊正伟(20150430-20180324) 赵锴(20181212-20200625) 孙松(20181225-至今),否,混合型基金,灵活配置型基金,2033064958.24,8.172602739726,0.21,89.961141604315,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金,-0.0012506964830998613,0.0013213456682709258,211.0,216.0,213.5
160,125,110022.OF,易方达消费行业股票,"萧楠,王元春",刘芳洁(20100820-20121124) 萧楠(20120928-至今) 蔡海洪(20130427-20150110) 王元春(20210116-至今),否,股票型基金,普通股票型基金,23989558349.67,12.868493150685,1.46,89.954810552679,稳定消费行业基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,0.0009818774416169018,0.0009076217475032022,212.0,214.0,213.0
161,471,519025.OF,海富通领先成长混合,李志,陈绍胜(20090430-20120409) 陈静(20120409-20140411) 谢志刚(20140411-20150611) 黄峰(20141217-20170630) 张金涛(20151026-20170502) 李志(20170515-至今),否,混合型基金,偏股混合型基金,81158028.93,14.175342465753,4.6,92.855425031328,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,0.0011098348799962188,0.0008101238725588304,213.0,212.0,212.5
162,497,519710.OF,交银策略回报混合,韩威俊,项廷锋(20120620-20151007) 李娜(20151007-20151107) 王少成(20151107-20180608) 韩威俊(20160120-至今),否,混合型基金,灵活配置型基金,637316197.81,11.032876712329,45.05,79.773989610973,稳定消费行业基金,风格轮动基金,稳定大盘,轮动基金,稳定高,0.0018713925777525259,-0.00015994859833684755,214.0,208.0,211.0
163,197,000589.OF,光大保德信银发商机混合A,陈栋,王健(20140429-20150530) 陈栋(20150414-至今),否,混合型基金,偏股混合型基金,72766990.79,9.1753424657534,0.0,89.956164531948,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定中,-0.0020024660496157504,0.0004491993861352058,210.0,211.0,210.5
164,29,000471.OF,富国城镇发展股票,蒲世林,汪鸣(20140128-20180416) 毕天宇(20160205-20190114) 蒲世林(20181219-至今),否,股票型基金,普通股票型基金,967820995.87,9.4246575342466,46.84,93.707034501225,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,-0.00275089389438235,0.0004066146219827663,209.0,210.0,209.5
165,512,530006.OF,建信核心精选混合,王东杰,田擎(20081125-20100427) 王新艳(20100427-20131220) 乔林建(20131113-20150522) 顾中汉(20150522-20170330) 潘龙玲(20160330-20170828) 姚锦(20170609-20180912) 王东杰(20170828-至今),否,混合型基金,偏股混合型基金,468653867.48,14.602739726027,20.99,75.75295837181,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,-0.012876327075750621,2.8090456314430398e-05,207.0,209.0,208.0
