,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
49,161115.SZ,易方达基金,7908650857.81
50,161117.SZ,易方达基金,1720522828.33
51,162715.SZ,广发基金,2024100079.76
52,164703.SZ,汇添富基金,1468198451.59
53,000005.OF,嘉实基金,216722014.97
54,000032.OF,易方达基金,9186669503.55
55,000084.OF,博时基金,7240402707.1
56,000105.OF,建信基金,4098418275.83
57,000111.OF,易方达基金,1952195653.24
58,000128.OF,大成基金,647167445.17
59,000137.OF,民生加银基金,1636359548.12
60,000139.OF,富国基金,11247232280.55
61,000147.OF,易方达基金,335036411.8
62,000183.OF,嘉实基金,1423248041.31
63,000187.OF,华泰柏瑞基金,2551400223.94
64,000191.OF,富国基金,16698334682.91
65,000205.OF,易方达基金,4177273427.96
66,000207.OF,建信基金,50839547.28
67,000244.OF,天弘基金,1058436806.24
68,000252.OF,景顺长城基金,1088830605.79
69,000254.OF,长城基金,89286753.32
70,000265.OF,易方达基金,1707066168.0
71,000295.OF,鹏华基金,1925401856.43
72,000345.OF,鹏华基金,831959761.37
73,000346.OF,建信基金,3096181088.75
74,000355.OF,南方基金,608318399.59
75,000395.OF,汇添富基金,98888114.44
76,000402.OF,工银瑞信,12174188527.19
77,000469.OF,富国基金,960564742.56
78,000516.OF,富国基金,3572776118.75
79,000546.OF,兴业基金,2060158876.48
80,000552.OF,中加基金,917990440.38
81,000606.OF,天弘基金,2106289182.24
82,000799.OF,民生加银基金,5132169349.13
83,000815.OF,鑫元基金,382059998.68
84,000914.OF,中加基金,13166119814.16
85,000943.OF,工银瑞信,349391865.95
86,001001.OF,华夏基金,1327964988.34
87,001246.OF,兴银基金,5066131261.24
88,001299.OF,兴业基金,8029892663.81
89,001368.OF,兴业基金,7990020176.37
90,001545.OF,博时基金,1372465295.78
91,001578.OF,博时基金,7269610108.88
92,001785.OF,民生加银基金,1636359548.12
93,001819.OF,兴证全球基金,10036174063.85
94,001911.OF,博时基金,2562295452.58
95,001960.OF,兴银基金,3643749294.07
96,001961.OF,博时基金,3720554273.46
97,001993.OF,博时基金,1412343691.11
98,002109.OF,博时基金,1961472310.04
99,002140.OF,博时基金,1117484505.5
100,002143.OF,博时基金,302169449.09
101,002169.OF,永赢基金,7121814681.85
102,002175.OF,博时基金,2048345617.05
103,002188.OF,鹏华基金,523961787.62
104,002198.OF,博时基金,1300537723.42
105,002206.OF,博时基金,515916191.99
106,002268.OF,兴业基金,4405902053.2
107,002301.OF,兴业基金,7526154296.95
108,002336.OF,创金合信基金,1099861025.7
109,002338.OF,兴业基金,2023680174.07
110,002341.OF,招商基金,1555609125.23
111,002354.OF,博时基金,437531755.64
112,002377.OF,建信基金,143647147.18
113,002381.OF,东海基金,522262446.18
114,002395.OF,鹏华基金,1436429484.94
115,002438.OF,创金合信基金,1017398634.13
116,002445.OF,兴业基金,4375833906.58
117,002447.OF,博时基金,984004678.16
118,002452.OF,民生加银基金,2944358987.47
119,002466.OF,博时基金,3650406634.3
120,002483.OF,富国基金,242046850.83
121,002548.OF,嘉实基金,1485531799.14
122,002549.OF,嘉实基金,5623815870.07
123,002552.OF,华夏基金,3007686511.89
124,002568.OF,博时基金,1019736243.99
125,002578.OF,博时基金,5140737646.8
126,002600.OF,易方达基金,1848724488.54
127,002603.OF,工银瑞信,14704897263.93
128,002625.OF,博时基金,306813733.82
129,002638.OF,兴业基金,8543588247.64
130,002698.OF,博时基金,6145792230.83
131,002716.OF,博时基金,3075581867.76
132,002750.OF,工银瑞信,15359229123.75
133,002754.OF,博时基金,1035111915.74
134,002755.OF,博时基金,486318172.07
135,002781.OF,博时基金,2528248728.49
136,002817.OF,招商基金,6707853963.22
137,002832.OF,工银瑞信,1412851619.84
138,002864.OF,广发基金,1151700880.29
139,002868.OF,鹏华基金,1091132407.13
140,002898.OF,富国基金,20083066885.96
141,002904.OF,博时基金,3165593458.1
142,002927.OF,长盛基金,2169736761.83
143,002929.OF,博时基金,1340157156.38
144,002930.OF,博时基金,492595972.96
145,002970.OF,博时基金,442636457.44
146,002985.OF,中银基金,393895976.69
147,002991.OF,嘉实基金,3094230990.16
148,002994.OF,招商基金,3875780472.38
149,003039.OF,广发基金,991439238.65
150,003102.OF,长盛基金,5373586062.94
151,003155.OF,中加基金,2003545645.65
152,003162.OF,博时基金,3077734094.88
153,003188.OF,博时基金,7156172145.86
154,003192.OF,创金合信基金,960560607.77
155,003193.OF,创金合信基金,207098124.5
156,003209.OF,鹏华基金,4455566974.96
157,003213.OF,中银基金,21904351625.63
158,003214.OF,易方达基金,671442663.98
159,003223.OF,广发基金,7329615812.59
160,003258.OF,博时基金,3254755232.72
161,003260.OF,博时基金,23087939.34
162,003265.OF,招商基金,3876617457.48
163,003268.OF,博时基金,1473203111.68
164,003269.OF,招商基金,4718413003.22
165,003280.OF,鹏华基金,14913486699.96
166,003285.OF,国寿安保基金,12947789659.0
167,003289.OF,创金合信基金,1022547807.77
168,003290.OF,长城基金,851572179.92
169,003313.OF,中银基金,24486050222.99
170,003315.OF,景顺长城基金,3286424399.97
171,003327.OF,万家基金,8270662530.76
172,003329.OF,万家基金,390436527.75
173,003417.OF,中加基金,1176158291.83
174,003428.OF,中加基金,2174931916.57
175,003438.OF,招商基金,504776420.71
176,003440.OF,招商基金,1007479255.26
177,003445.OF,中加基金,6176996095.28
178,003452.OF,招商基金,6772286257.69
179,003454.OF,招商基金,1546977750.85
180,003518.OF,万家基金,3000939781.8
181,003528.OF,汇添富基金,15510442712.77
182,003547.OF,鹏华基金,5578543616.89
183,003569.OF,招商基金,1060694553.72
184,003571.OF,招商基金,7726690707.95
185,003590.OF,建信基金,7305793304.020001
186,003605.OF,景顺长城基金,6828898533.72
187,003607.OF,博时基金,2002897574.2
188,003640.OF,兴业基金,2499108565.17
189,003651.OF,博时基金,311160287.54
190,003660.OF,中加基金,800906008.3
191,003662.OF,鹏华基金,646604816.91
192,003671.OF,兴业基金,1890806508.92
193,003673.OF,中加基金,1922836302.9
194,003730.OF,博时基金,1084378514.18
