,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
115,002548.OF,嘉实基金,1421747051.22
116,002549.OF,嘉实基金,567013331.1
117,002550.OF,嘉实基金,1037853834.95
118,002552.OF,华夏基金,3006742367.56
119,002568.OF,博时基金,1005986205.48
120,002578.OF,博时基金,5181989268.87
121,002600.OF,易方达基金,6726973934.1
122,002603.OF,工银瑞信,14823616633.02
123,002625.OF,博时基金,307046815.21
124,002638.OF,兴业基金,9960163301.46
125,002698.OF,博时基金,6199367159.98
126,002716.OF,博时基金,595977392.05
127,002750.OF,工银瑞信,4973456560.96
128,002754.OF,博时基金,1032244061.29
129,002755.OF,博时基金,487294647.41
130,002781.OF,博时基金,5273932684.19
131,002832.OF,工银瑞信,1424663583.71
132,002864.OF,广发基金,2215525102.49
133,002868.OF,鹏华基金,1040954563.36
134,002898.OF,富国基金,23672387984.97
135,002904.OF,博时基金,3040933779.22
136,002927.OF,长盛基金,2021840946.25
137,002929.OF,博时基金,1257086438.85
138,002930.OF,博时基金,209453815.94
139,002970.OF,博时基金,445339329.55
140,002985.OF,中银基金,55117808.58
141,002991.OF,嘉实基金,922524215.9
142,002994.OF,招商基金,363229727.86
143,003039.OF,广发基金,996078165.88
144,003056.OF,嘉实基金,807909855.4
145,003102.OF,长盛基金,1984890645.37
146,003155.OF,中加基金,2247981771.6
147,003162.OF,博时基金,3063652259.97
148,003188.OF,博时基金,8032997153.47
149,003192.OF,创金合信基金,915765903.1
150,003193.OF,创金合信基金,203831762.41
151,003209.OF,鹏华基金,832171823.05
152,003213.OF,中银基金,20945310086.32
153,003214.OF,易方达基金,4540954991.94
154,003223.OF,广发基金,3146700359.15
155,003258.OF,博时基金,2205617981.59
156,003260.OF,博时基金,290434179.96
157,003265.OF,招商基金,1924651185.28
158,003268.OF,博时基金,1549451405.38
159,003269.OF,招商基金,3561199227.2
160,003280.OF,鹏华基金,15022961555.52
161,003285.OF,国寿安保基金,16358404077.47
162,003289.OF,创金合信基金,1020925763.01
163,003290.OF,长城基金,5123709.66
164,003309.OF,兴业基金,770045952.04
165,003313.OF,中银基金,24317712613.17
166,003315.OF,景顺长城基金,2030732462.96
167,003327.OF,万家基金,30354459476.61
168,003329.OF,万家基金,1723268499.14
169,003417.OF,中加基金,770303585.72
170,003428.OF,中加基金,2070353865.29
171,003445.OF,中加基金,6221418720.12
172,003452.OF,招商基金,6522949634.76
173,003454.OF,招商基金,1793445326.74
174,003528.OF,汇添富基金,15257330736.93
175,003547.OF,鹏华基金,2778779053.29
176,003571.OF,招商基金,7745717015.63
177,003590.OF,建信基金,7326152909.270001
178,003605.OF,景顺长城基金,4259416412.86
179,003607.OF,博时基金,2040110300.88
180,003640.OF,兴业基金,2367833465.75
181,003651.OF,博时基金,1479004003.89
182,003660.OF,中加基金,1147667380.56
183,003662.OF,鹏华基金,3577804437.27
184,003671.OF,兴业基金,1213133668.91
185,003673.OF,中加基金,11204252.19
186,003703.OF,博时基金,55118155.49
187,003730.OF,博时基金,1085185988.19
188,003746.OF,广发基金,7379192554.53
189,003770.OF,中银基金,5416805158.31
190,003809.OF,招商基金,1614936281.28
191,003832.OF,中银基金,16724475565.58
192,003847.OF,华安基金,3941173162.61
193,003859.OF,招商基金,7696480128.46
194,003863.OF,招商基金,4253638026.23
195,003869.OF,长信基金,4567400824.23
196,003880.OF,嘉实基金,302920435.08
197,003929.OF,中银证券,33171407346.71
198,003949.OF,兴证全球基金,17328826057.64
199,003983.OF,鹏华基金,1590534131.13
200,004020.OF,广发基金,2235492534.66
201,004027.OF,广发基金,2240488911.0
202,004030.OF,嘉实基金,1026431038.49
203,004031.OF,鑫元基金,2271976926.25
204,004032.OF,工银瑞信,7713756042.15
205,004042.OF,华夏基金,16162412284.37
206,004052.OF,华夏基金,4621380060.2
207,004061.OF,华夏基金,1001900378.0
208,004118.OF,博时基金,1143554101.48
209,004122.OF,兴银基金,3034774464.15
210,004126.OF,浦银安盛基金,156912819.76
211,004127.OF,鹏华基金,7132578659.43
212,004136.OF,博时基金,1138006.9
213,004140.OF,兴业基金,5860675409.0
214,004141.OF,兴业基金,2532767821.5
215,004200.OF,博时基金,25438085568.43
216,004230.OF,永赢基金,59673844.27
217,004238.OF,永赢基金,589978625.67
218,004307.OF,博时基金,4509737143.14
219,004322.OF,创金合信基金,203807723.46
220,004334.OF,博时基金,6168414020.42
221,004366.OF,博时基金,1015362509.9
222,004388.OF,鹏华基金,5136629931.24
223,004438.OF,鹏华基金,387990140.05
224,004459.OF,鑫元基金,1002486017.72
225,004479.OF,博时基金,1980037522.04
226,004498.OF,鹏华基金,404731902.75
227,004499.OF,鹏华基金,1118703783.12
228,004503.OF,鹏华基金,674807046.09
229,004504.OF,鹏华基金,1064907415.99
230,004544.OF,嘉实基金,2569663050.07
231,004547.OF,华夏基金,305035740.85
232,004555.OF,南方基金,5388748452.44
233,004601.OF,博时基金,517212018.19
234,004614.OF,鹏扬基金,3718872553.86
235,004637.OF,华夏基金,1010405271.78
236,004639.OF,华夏基金,1576755100.61
237,004655.OF,汇添富基金,2013466708.21
238,004672.OF,华夏基金,20992891686.62
239,004689.OF,博时基金,501431148.54
240,004705.OF,南方基金,8005753705.32
241,004722.OF,中银基金,47577486912.32
242,004728.OF,中欧基金,52307687.18
243,004736.OF,富国基金,2038850797.41
244,004797.OF,国寿安保基金,5323403677.01
245,004821.OF,国寿安保基金,5167913964.15
246,004839.OF,银华基金,177560668.39
247,004859.OF,泰康基金,7625909651.58
248,004882.OF,中银基金,7821659785.12
249,004887.OF,长信基金,1057078589.66
250,004899.OF,中银基金,1055907453.03
251,004910.OF,中加基金,436059870.52
252,004911.OF,中加基金,8745502062.43
253,004919.OF,兴证全球基金,5006445493.54
254,004920.OF,富国基金,6863579868.69
255,004923.OF,华夏基金,2015303269.27
256,004940.OF,中加基金,244575605.12
257,004954.OF,中银证券,1065114698.28
258,004956.OF,中银证券,537279101.97
259,004978.OF,富国基金,4578181020.87
260,005024.OF,南方基金,3028146768.52
261,005072.OF,中银基金,413250768.2
262,005073.OF,永赢基金,2026348168.52
263,005099.OF,易方达基金,177573977.28
264,005124.OF,易方达基金,4005585027.24
265,005171.OF,富国基金,1073268516.32
266,005200.OF,浦银安盛基金,1000968684.43
267,005307.OF,财通证券资管,15110320900.96
268,005309.OF,中银证券,41845851083.61
269,005321.OF,中银证券,11584811066.13
270,005322.OF,中银基金,2795648263.91
271,005336.OF,中加基金,7076239573.04
272,005362.OF,中银证券,1084250933.21
273,005364.OF,华夏基金,4844115961.53
274,005369.OF,富国基金,3519693032.66
275,005383.OF,富国基金,308597482.84
276,005388.OF,兴业基金,1989089561.82
277,005393.OF,南方基金,13686759677.36
278,005398.OF,鹏扬基金,1241399387.01
279,005419.OF,中欧基金,1153916149.42
280,005432.OF,上银基金,2495990689.57
281,005435.OF,国投瑞银基金,2312910696.12
282,005439.OF,易方达基金,982250428.62
283,005442.OF,兴业基金,5006225817.74
284,005462.OF,博时基金,2013340138.12
285,005469.OF,南方基金,2577506141.92
286,005525.OF,工银瑞信,5035468073.31
287,005531.OF,华安基金,1882175142.71
288,005577.OF,交银施罗德,4199102807.2
289,005590.OF,汇添富基金,5745971115.49
290,005594.OF,招商基金,5203622174.6
291,005606.OF,招商基金,992526643.02
292,005622.OF,博时基金,5089792666.770001
293,005631.OF,博时基金,8072352602.71
294,005648.OF,招商基金,2211695649.57
295,005666.OF,上银基金,7972389341.19
296,005670.OF,嘉实基金,3408202677.59
297,005684.OF,财通证券资管,217071302.7
298,005703.OF,永赢基金,5149913843.64
299,005705.OF,永赢基金,6017793366.11
300,005709.OF,华安基金,4947888845.49
301,005710.OF,兴业基金,709495389.87
302,005712.OF,兴证全球基金,9963405863.28
303,005718.OF,长信基金,10087601792.38
304,005719.OF,招商基金,1819386529.89
305,005736.OF,中欧基金,3097746963.31
306,005740.OF,易方达基金,6216806585.71
307,005754.OF,平安基金,9262618195.48
308,005772.OF,工银瑞信,14086338781.21
309,005781.OF,华富基金,4906002863.91
310,005782.OF,创金合信基金,406584257.01
311,005784.OF,创金合信基金,300180558.65
312,005791.OF,华夏基金,2016862418.67
313,005816.OF,国泰基金,52731361.05
314,005820.OF,博时基金,3313396434.62
315,005831.OF,鹏华基金,3470215022.15
316,005836.OF,创金合信基金,531788577.32
317,005841.OF,富国基金,6499562018.55
318,005842.OF,海富通基金,510485755.06
319,005845.OF,长城基金,972723967.18
320,005853.OF,财通基金,521058206.46
321,005854.OF,财通基金,502585297.24
322,005862.OF,华夏基金,4035994061.21
323,005864.OF,国投瑞银基金,4148289936.18
324,005871.OF,天弘基金,3024496089.57
325,005879.OF,中加基金,2003721778.8
326,005897.OF,平安基金,3494069879.92
327,005898.OF,浦银安盛基金,1838550431.05
328,005920.OF,富国基金,950095970.77
329,005921.OF,农银汇理基金,5117436497.89
330,005971.OF,平安基金,956598243.81
331,005972.OF,交银施罗德,1416603006.78
332,005988.OF,兴业基金,643659780.33
333,006029.OF,鹏华基金,3080959474.49
334,006032.OF,创金合信基金,324886587.67
335,006043.OF,永赢基金,3981707880.52
336,006045.OF,长城基金,2091785694.15
337,006053.OF,中航基金,4498516529.0
338,006066.OF,中加基金,2115887002.25
339,006076.OF,创金合信基金,778466734.0
340,006082.OF,鑫元基金,1026387004.27
341,006088.OF,永赢基金,1083234697.05
342,006097.OF,平安基金,929554959.35
343,006107.OF,招商基金,2555263838.34
344,006112.OF,易方达基金,1114628987.44
345,006116.OF,国泰基金,4428284852.84
346,006120.OF,国联基金,2074621788.37
347,006137.OF,广发基金,4160321501.76
348,006150.OF,招商基金,280676564.44
349,006151.OF,南方基金,4107991549.66
350,006169.OF,工银瑞信,532369054.99
351,006171.OF,鹏扬基金,763055670.09
352,006172.OF,万家基金,12622890731.22
353,006191.OF,华夏基金,3308412857.8
354,006275.OF,永赢基金,2015276632.29
355,006287.OF,永赢基金,2991161462.71
356,006319.OF,易方达基金,2391897457.49
357,006325.OF,招商基金,8536185709.8
358,006332.OF,招商基金,524446425.26
359,006360.OF,财通证券资管,12980641976.45
360,006367.OF,交银施罗德,1863527097.48
361,006378.OF,广发基金,210782947.05
362,006393.OF,招商基金,3022087514.33
363,006405.OF,华富基金,525901953.1
364,006411.OF,中加基金,50714339.03
365,006421.OF,中银基金,2048436748.95
366,006427.OF,招商基金,207066827.76
367,006434.OF,鹏华基金,222429805.91
368,006436.OF,浦银安盛基金,564060567.63
369,006450.OF,嘉实基金,5547448507.270001
370,006464.OF,浦银安盛基金,2446026727.88
371,006468.OF,嘉实基金,1477427394.93
372,006489.OF,招商基金,5338587769.29
373,006504.OF,广发基金,344918886.34
374,006517.OF,南方基金,461787607.29
375,006552.OF,广发基金,512408074.69
376,006570.OF,中金基金,8094396566.87
377,006582.OF,博时基金,2015054821.67
378,006591.OF,广发基金,12545314144.44
379,006597.OF,国泰基金,6935194293.8
380,006599.OF,国寿安保基金,768555324.19
381,006617.OF,工银瑞信,6884952946.9
382,006626.OF,山西证券,7889558785.72
383,006629.OF,招商基金,4877029886.31
384,006635.OF,永赢基金,1794093079.49
385,006646.OF,汇添富基金,16988656384.2
386,006653.OF,南方基金,8206668527.520001
387,006660.OF,永赢基金,1391319744.04
388,006662.OF,易方达基金,6927694720.81
389,006664.OF,易方达基金,6927694720.81
390,006665.OF,华夏基金,4934566407.73
391,006668.OF,华夏基金,6944961801.55
392,006683.OF,富国基金,10048190191.32
393,006684.OF,富国基金,22698344968.94
394,006707.OF,永赢基金,1179359702.35
395,006714.OF,博时基金,4188382026.93
396,006740.OF,工银瑞信,409263424.33
397,006750.OF,富国基金,2988053938.48
398,006758.OF,农银汇理基金,8241444784.82
399,006764.OF,景顺长城基金,731076351.12
400,006771.OF,永赢基金,2023001223.32
401,006772.OF,汇添富基金,6863290008.0
402,006776.OF,华夏基金,2175564300.43
403,006782.OF,国泰基金,3087877015.67
404,006791.OF,建信基金,428037206.74
405,006793.OF,交银施罗德,16974990188.88
406,006797.OF,嘉实基金,5633794383.39
407,006804.OF,富国基金,3782339481.87
408,006806.OF,西部利得基金,103359293.46
409,006824.OF,创金合信基金,7693854153.770001
410,006829.OF,鹏扬基金,34249655.29
411,006834.OF,工银瑞信,2757382146.33
412,006838.OF,鑫元基金,329317326.35
413,006841.OF,嘉实基金,4108826360.16
414,006846.OF,中银基金,480044797.83
415,006850.OF,永赢基金,2246512774.44
416,006852.OF,永赢基金,15035084725.35
417,006869.OF,广发基金,60565788.3
418,006874.OF,创金合信基金,9046960732.56
419,006884.OF,汇添富基金,7641680954.47
420,006885.OF,汇添富基金,7641680954.47
421,006893.OF,汇添富基金,971583331.35
422,006901.OF,上银基金,6008039069.99
423,006907.OF,银华基金,898053864.15
424,006915.OF,南方基金,2167785687.94
425,006919.OF,国寿安保基金,2380503705.04
426,006929.OF,博时基金,1003804412.35
427,006934.OF,平安基金,1268924944.47
428,006936.OF,华安基金,1333393500.63
429,006944.OF,永赢基金,12485534016.88
430,006953.OF,华安基金,4571809727.93
431,006955.OF,国泰基金,51752036.75
432,006956.OF,鹏华基金,2054568018.79
433,006958.OF,鹏华基金,510058947.62
434,006963.OF,中加基金,2023936933.41
435,006965.OF,财通基金,9840179938.81
436,006970.OF,广发基金,506933509.22
437,006984.OF,兴证全球基金,4014562276.28
438,006985.OF,兴证全球基金,5384751845.95
439,006986.OF,平安基金,201291577.49
440,006995.OF,南方基金,506946713.6
441,006998.OF,广发基金,628485538.03
442,007017.OF,平安基金,13007036516.58
443,007050.OF,鑫元基金,1608790555.54
444,007053.OF,平安基金,615699346.27
445,007061.OF,中加基金,756786467.74
446,007068.OF,浦银安盛基金,1804657894.11
447,007086.OF,永赢基金,101052924.16
448,007104.OF,易方达基金,305385241.93
449,007105.OF,国泰基金,337361631.17
450,007121.OF,中加基金,1104365842.89
451,007145.OF,泰康基金,4387795588.07
452,007158.OF,平安基金,1997489040.5
453,007167.OF,华安基金,511800475.5
454,007175.OF,国联基金,476909802.16
455,007184.OF,蜂巢基金,2435999271.95
456,007199.OF,永赢基金,4417710582.9
457,007201.OF,民生加银基金,526004709.04
458,007213.OF,华安基金,818303601.94
459,007215.OF,国寿安保基金,3116485418.83
460,007220.OF,天弘基金,1050644621.51
461,007268.OF,山西证券,957270848.0
462,007278.OF,国泰基金,1926781553.22
463,007295.OF,天弘基金,1239678792.04
464,007321.OF,鹏华基金,7321228123.28
465,007342.OF,国投瑞银基金,2115565250.69
466,007347.OF,永赢基金,6665732742.01
467,007373.OF,永赢基金,2022789538.82
468,007374.OF,永赢基金,3051967024.83
469,007408.OF,鹏扬基金,54477595.75
470,007417.OF,泰康基金,9016488192.19
471,007427.OF,永赢基金,1030081598.1
472,007440.OF,南方基金,2013574391.51
473,007447.OF,平安基金,858183803.92
474,007451.OF,易方达基金,2511998462.17
475,007454.OF,民生加银基金,841877874.11
476,007496.OF,农银汇理基金,10483150348.11
477,007513.OF,博时基金,2046318012.15
478,007515.OF,鹏华基金,9459395686.97
479,007517.OF,博时基金,1027098554.57
480,007525.OF,易方达基金,2375454963.58
481,007529.OF,嘉实基金,313449156.65
482,007535.OF,中欧基金,7228401632.5
483,007537.OF,景顺长城基金,1160914905.17
484,007542.OF,永赢基金,1271357818.38
485,007544.OF,鹏华基金,1105880570.1
486,007555.OF,中航基金,2889746327.4
487,007562.OF,景顺长城基金,363886727.47
488,007572.OF,中加基金,581317071.11
489,007573.OF,农银汇理基金,4712498446.66
490,007576.OF,华夏基金,2017029216.8
491,007584.OF,鹏华基金,4484743769.62
492,007585.OF,工银瑞信,14171416897.12
493,007589.OF,嘉实基金,2262617690.06
494,007595.OF,招商基金,1929337364.37
495,007600.OF,泰康基金,8387474971.2
496,007603.OF,景顺长城基金,336800802.6
497,007616.OF,富国基金,4112459121.85
498,007618.OF,富国基金,4112459121.85
499,007619.OF,中欧基金,8117794542.23
500,007645.OF,平安基金,907462850.74
501,007653.OF,长盛基金,61834611.08
502,007659.OF,博时基金,5249297472.84
503,007670.OF,嘉实基金,61888296.96
504,007680.OF,中加基金,9132874519.41
505,007681.OF,鹏华基金,2825459984.47
506,007682.OF,鹏华基金,8067816931.79
507,007691.OF,永赢基金,104690378.4
508,007692.OF,永赢基金,2520257903.31
509,007706.OF,南方基金,7146033510.26
510,007714.OF,南方基金,6330708678.66
511,007716.OF,嘉实基金,708369065.88
512,007717.OF,工银瑞信,2757382146.33
513,007723.OF,鹏华基金,8102855415.66
514,007740.OF,天弘基金,1703166147.36
515,007744.OF,长盛基金,1619840856.34
516,007754.OF,上银基金,802573762.77
517,007758.OF,平安基金,843066727.81
518,007761.OF,鑫元基金,1504129997.27
519,007762.OF,富国基金,5217329158.6
520,007772.OF,浦银安盛基金,4958112880.08
521,007823.OF,天弘基金,7750700052.8
522,007828.OF,创金合信基金,1150051094.64
523,007830.OF,建信基金,5499384344.89
524,007836.OF,泰康基金,7733485716.71
525,007852.OF,工银瑞信,11009322721.3
526,007867.OF,华泰柏瑞基金,3806078273.26
527,007870.OF,鹏华基金,2554488996.11
528,007871.OF,国泰基金,1017921225.8
529,007888.OF,农银汇理基金,1968901579.59
530,007915.OF,财通证券资管,24632343190.04
531,007928.OF,中加基金,8078711331.59
532,007930.OF,淳厚基金,824964951.68
533,007935.OF,平安基金,3609594267.44
534,007948.OF,汇添富基金,7983573719.01
535,007949.OF,富国基金,2119921846.27
536,007953.OF,平安基金,1029503785.29
537,007954.OF,平安基金,1025549587.94
538,007958.OF,华泰柏瑞基金,2521671952.86
539,007967.OF,大成基金,8270344757.9
540,007970.OF,国寿安保基金,11815487508.33
541,007985.OF,博时基金,1877930653.64
542,007986.OF,嘉实基金,209239103.71
543,007990.OF,富国基金,11404260673.59
544,007996.OF,博时基金,1496213339.22
545,007997.OF,易方达基金,2316254048.77
546,008003.OF,大成基金,7532408856.33
547,008014.OF,天弘基金,12861330648.28
548,008017.OF,国泰基金,14520588949.94
549,008018.OF,华富基金,7139203806.06
550,008022.OF,建信基金,14571991027.63
551,008027.OF,工银瑞信,7807687702.35
552,008030.OF,农银汇理基金,4713463166.37
553,008031.OF,创金合信基金,3023840322.26
554,008032.OF,海富通基金,3261399402.3
555,008102.OF,中金基金,8033200702.44
556,008104.OF,中金基金,1610812502.65
557,008117.OF,博时基金,18448151493.07
558,008130.OF,广发基金,14495746660.72
559,008139.OF,鑫元基金,251690795.46
560,008170.OF,博时基金,998771078.0
561,008204.OF,交银施罗德,11267905173.58
562,008207.OF,国泰基金,716360893.68
563,008214.OF,华安基金,12237411594.68
564,008217.OF,国泰基金,5106887307.97
565,008219.OF,西部利得基金,4400474973.82
566,008223.OF,交银施罗德,7847210544.76
567,008229.OF,鑫元基金,2270886919.15
568,008231.OF,海富通基金,5551540969.36
569,008242.OF,英大基金,7441363704.83
570,008266.OF,华夏基金,1095798195.58
571,008278.OF,国泰基金,533023332.07
572,008302.OF,永赢基金,1396662895.05
573,008316.OF,蜂巢基金,8006933878.47
574,008338.OF,嘉实基金,20384574717.87
575,008349.OF,华夏基金,7189419719.44
576,008352.OF,交银施罗德,1065875010.43
577,008366.OF,广发基金,501234054.41
578,008383.OF,招商基金,10814982995.66
579,008406.OF,兴银基金,505081281.41
580,008409.OF,景顺长城基金,8564912328.25
581,008411.OF,博时基金,1486868638.74
582,008429.OF,中信保诚基金,9172378168.9
583,008460.OF,招商基金,9230644782.99
584,008463.OF,招商基金,3107521495.07
585,008465.OF,蜂巢基金,523671189.03
586,008471.OF,工银瑞信,6191988311.55
587,008478.OF,天弘基金,8197467005.54
588,008493.OF,鹏华基金,1617424082.48
589,008497.OF,鹏扬基金,296838290.49
590,008508.OF,国联基金,1535454266.86
591,008509.OF,南方基金,1008769261.01
592,008516.OF,浦银安盛基金,7284616644.47
593,008521.OF,富国基金,8042380792.520001
594,008535.OF,兴银基金,1263672765.74
595,008539.OF,工银瑞信,6122144144.770001
596,008558.OF,永赢基金,6083223792.44
597,008568.OF,蜂巢基金,3289815040.1
598,008569.OF,中航基金,
599,008575.OF,财通基金,4025010020.03
600,008582.OF,兴银基金,1521976626.38
601,008587.OF,淳厚基金,216705247.84
602,008596.OF,平安基金,11128050146.78
603,008608.OF,广发基金,8005203937.81
604,008620.OF,嘉实基金,1623727716.62
605,008644.OF,天弘基金,768947938.16
606,008646.OF,天弘基金,7308697517.61
607,008648.OF,嘉实基金,1018976096.97
608,008649.OF,华泰柏瑞基金,3802477555.56
609,008650.OF,华泰柏瑞基金,2028202124.02
610,008651.OF,博时基金,8675926561.71
611,008661.OF,嘉实基金,1846064387.4
612,008674.OF,博时基金,8218519517.39
613,008675.OF,华安基金,8100154935.87
614,008700.OF,泰康基金,791650481.93
615,008722.OF,永赢基金,1962374896.79
616,008730.OF,天弘基金,214720562.71
617,008738.OF,天弘基金,1016676986.1
618,008746.OF,财通基金,395765666.26
619,008761.OF,南方基金,1069061688.25
620,008762.OF,天弘基金,2091582369.28
621,008774.OF,招商基金,8346755358.42
622,008796.OF,国联基金,1058659311.27
623,008802.OF,浦银安盛基金,2029402837.11
624,008807.OF,鹏扬基金,1069264534.81
625,008826.OF,天弘基金,3108505889.63
626,008829.OF,博时基金,1043049021.09
627,008857.OF,华夏基金,1112359757.57
628,008862.OF,中银证券,217241882.11
629,008863.OF,中银证券,2993376970.84
630,008875.OF,国寿安保基金,4494321694.79
631,008902.OF,国寿安保基金,1871360894.37
632,008925.OF,鹏华基金,2221757984.72
633,008995.OF,中银证券,515535987.93
634,009001.OF,长城基金,14071549857.61
635,009021.OF,鹏华基金,2826272495.28
636,009041.OF,浦银安盛基金,1031267518.94
637,009045.OF,浦银安盛基金,62378593.81
638,009082.OF,华夏基金,616844039.49
639,009091.OF,兴银基金,10013283.98
640,009105.OF,兴业基金,7866003333.87
641,009148.OF,平安基金,966730366.76
642,009166.OF,平安基金,1053859368.25
643,009167.OF,博时基金,1041882381.83
644,009207.OF,兴银基金,1011245459.19
645,009212.OF,易方达基金,8101041737.58
646,009235.OF,景顺长城基金,8486679093.06
647,009237.OF,兴业基金,1355263863.92
648,009252.OF,蜂巢基金,528469149.04
649,009254.OF,蜂巢基金,8038422519.28
650,009257.OF,工银瑞信,409263424.33
651,009271.OF,博时基金,144776708.69
652,009284.OF,上银基金,1063607263.37
653,009289.OF,富国基金,494024664.33
654,009290.OF,富国基金,700853327.43
655,009292.OF,易方达基金,2066643578.18
656,009294.OF,嘉实基金,2054911673.06
657,009298.OF,英大基金,5223989638.99
658,009306.OF,平安基金,641315966.82
659,009309.OF,国寿安保基金,314131617.82
660,009338.OF,万家基金,3548376458.49
661,009343.OF,泰康基金,521402404.84
662,009356.OF,博时基金,12543205041.92
663,009417.OF,国投瑞银基金,8214066305.44
664,009450.OF,中金基金,3989019317.6
665,009453.OF,平安基金,10188602.47
666,009483.OF,鹏华基金,545432104.83
667,009577.OF,上银基金,5081539494.61
668,009578.OF,上银基金,5022167143.59
669,009580.OF,招商基金,12538869034.94
670,009583.OF,淳厚基金,7454140816.32
