,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
350,006169.OF,工银瑞信,563080755.81
351,006171.OF,鹏扬基金,1075012228.55
352,006172.OF,万家基金,13972235927.09
353,006191.OF,华夏基金,8758214587.06
354,006275.OF,永赢基金,2059101449.83
355,006287.OF,永赢基金,6524487228.66
356,006319.OF,易方达基金,2362377455.05
357,006325.OF,招商基金,8401789693.38
358,006332.OF,招商基金,651427376.02
359,006360.OF,财通证券资管,13790500853.16
360,006367.OF,交银施罗德,996281330.07
361,006378.OF,广发基金,214421722.44
362,006393.OF,招商基金,3043134385.79
363,006405.OF,华富基金,585531547.71
364,006411.OF,中加基金,995804530.96
365,006421.OF,中银基金,2219111866.19
366,006427.OF,招商基金,155718665.15
367,006434.OF,鹏华基金,313173624.26
368,006436.OF,浦银安盛基金,2142994120.92
369,006450.OF,嘉实基金,1747503317.03
370,006464.OF,浦银安盛基金,1581741878.87
371,006468.OF,嘉实基金,1207827738.81
372,006489.OF,招商基金,5483866736.04
373,006504.OF,广发基金,354042645.15
374,006517.OF,南方基金,180184316.72
375,006552.OF,广发基金,514913592.92
376,006570.OF,中金基金,8273778916.95
377,006582.OF,博时基金,2056113364.75
378,006591.OF,广发基金,21170500855.2
379,006597.OF,国泰基金,21789461047.85
380,006599.OF,国寿安保基金,222620464.76
381,006617.OF,工银瑞信,7781574570.31
382,006626.OF,山西证券,10503663579.64
383,006629.OF,招商基金,6806522072.94
384,006635.OF,永赢基金,2175123505.85
385,006646.OF,汇添富基金,17473534749.22
386,006653.OF,南方基金,8378338675.86
387,006660.OF,永赢基金,1424674528.27
388,006662.OF,易方达基金,8395330493.22
389,006664.OF,易方达基金,8395330493.22
390,006665.OF,华夏基金,6531413853.01
391,006668.OF,华夏基金,17646891377.43
392,006683.OF,富国基金,19774004059.94
393,006684.OF,富国基金,24645952915.15
394,006707.OF,永赢基金,1207439217.08
395,006714.OF,博时基金,1889744921.34
396,006740.OF,工银瑞信,577713967.32
397,006750.OF,富国基金,946875574.49
398,006758.OF,农银汇理基金,7262283700.13
399,006764.OF,景顺长城基金,739341870.99
400,006771.OF,永赢基金,2005558004.17
401,006772.OF,汇添富基金,2881681999.72
402,006776.OF,华夏基金,2223363258.29
403,006782.OF,国泰基金,4173853184.67
404,006791.OF,建信基金,1383109587.93
405,006793.OF,交银施罗德,17226748699.48
406,006797.OF,嘉实基金,11219832636.99
407,006804.OF,富国基金,8880318800.02
408,006806.OF,西部利得基金,237231812.62
409,006824.OF,创金合信基金,9535645736.57
410,006829.OF,鹏扬基金,117554108.89
411,006834.OF,工银瑞信,5869585365.98
412,006838.OF,鑫元基金,337212670.97
413,006841.OF,嘉实基金,7345035087.51
414,006846.OF,中银基金,1636635586.95
415,006850.OF,永赢基金,2303265301.72
416,006852.OF,永赢基金,13413033194.28
417,006869.OF,广发基金,62111872.61
418,006874.OF,创金合信基金,13305450037.13
419,006884.OF,汇添富基金,12016913239.49
420,006885.OF,汇添富基金,12016913239.49
421,006893.OF,汇添富基金,5317917741.270001
422,006901.OF,上银基金,6143935058.18
423,006907.OF,银华基金,5669529967.68
424,006915.OF,南方基金,2214410046.11
425,006919.OF,国寿安保基金,2978686719.69
426,006929.OF,博时基金,1022485622.95
427,006934.OF,平安基金,249961927.93
428,006936.OF,华安基金,1515619639.84
429,006944.OF,永赢基金,11330135924.83
430,006953.OF,华安基金,4593383383.86
431,006955.OF,国泰基金,5228079554.57
432,006956.OF,鹏华基金,2513267841.36
433,006958.OF,鹏华基金,932425284.85
434,006963.OF,中加基金,2063260314.78
435,006965.OF,财通基金,14470756762.36
436,006970.OF,广发基金,506720438.2
437,006984.OF,兴证全球基金,4054502263.28
438,006985.OF,兴证全球基金,13190046512.95
439,006986.OF,平安基金,190686514.82
440,006995.OF,南方基金,2272185064.86
441,006998.OF,广发基金,7934480614.36
442,007017.OF,平安基金,16815586760.05
443,007050.OF,鑫元基金,1784612297.18
444,007053.OF,平安基金,803809281.74
445,007061.OF,中加基金,1063223642.98
446,007068.OF,浦银安盛基金,1805466711.84
447,007086.OF,永赢基金,4938345552.26
448,007104.OF,易方达基金,311587957.89
449,007105.OF,国泰基金,732110926.52
450,007121.OF,中加基金,1126199268.88
451,007145.OF,泰康基金,4489641463.520001
452,007158.OF,平安基金,2015771370.29
453,007167.OF,华安基金,1016399757.89
454,007175.OF,国联基金,492796150.21
455,007184.OF,蜂巢基金,2412433269.65
456,007199.OF,永赢基金,3789684394.85
457,007201.OF,民生加银基金,516221536.44
458,007213.OF,华安基金,810816463.81
459,007215.OF,国寿安保基金,3171837407.99
460,007220.OF,天弘基金,1065067951.27
461,007268.OF,山西证券,1876697376.17
462,007278.OF,国泰基金,512162966.58
463,007295.OF,天弘基金,1649973709.89
464,007321.OF,鹏华基金,8666331482.46
465,007342.OF,国投瑞银基金,2172848538.09
466,007347.OF,永赢基金,11226636230.18
467,007373.OF,永赢基金,2071957686.95
468,007374.OF,永赢基金,3120542155.61
469,007408.OF,鹏扬基金,54928978.99
470,007417.OF,泰康基金,9299424534.39
471,007427.OF,永赢基金,1056149999.16
472,007440.OF,南方基金,2030739658.89
473,007447.OF,平安基金,879051985.91
474,007451.OF,易方达基金,2526639503.47
475,007454.OF,民生加银基金,774689508.39
476,007496.OF,农银汇理基金,8011074439.96
477,007513.OF,博时基金,1648116321.23
478,007515.OF,鹏华基金,8162542442.770001
479,007517.OF,博时基金,2013495572.04
480,007525.OF,易方达基金,4453251411.82
481,007529.OF,嘉实基金,6340876116.13
482,007535.OF,中欧基金,7353291973.79
483,007537.OF,景顺长城基金,1218890494.13
484,007542.OF,永赢基金,7142203327.26
485,007544.OF,鹏华基金,1124752213.09
486,007555.OF,中航基金,3484704216.09
487,007562.OF,景顺长城基金,1052110466.42
488,007572.OF,中加基金,516482729.51
489,007573.OF,农银汇理基金,4795362293.11
490,007576.OF,华夏基金,2020857938.05
491,007584.OF,鹏华基金,2790714968.26
492,007585.OF,工银瑞信,14206901160.19
493,007589.OF,嘉实基金,2305581184.59
494,007595.OF,招商基金,1962211244.26
495,007600.OF,泰康基金,8472369503.48
496,007603.OF,景顺长城基金,3869659673.26
497,007616.OF,富国基金,5896535170.61
498,007618.OF,富国基金,5896535170.61
499,007619.OF,中欧基金,8198361878.13
500,007645.OF,平安基金,998290595.99
501,007653.OF,长盛基金,61834611.08
502,007659.OF,博时基金,5347621924.98
503,007670.OF,嘉实基金,733439314.76
504,007680.OF,中加基金,9119993809.87
505,007681.OF,鹏华基金,2756535688.0
506,007682.OF,鹏华基金,8156376539.38
507,007691.OF,永赢基金,85879213.69
508,007692.OF,永赢基金,2579626088.61
509,007706.OF,南方基金,3651952192.42
510,007714.OF,南方基金,5083673828.3
511,007716.OF,嘉实基金,855881438.56
512,007717.OF,工银瑞信,5869585365.98
513,007723.OF,鹏华基金,8277505328.16
514,007740.OF,天弘基金,12638483.83
515,007744.OF,长盛基金,7176602972.7
516,007754.OF,上银基金,815581267.44
517,007758.OF,平安基金,833789545.85
518,007761.OF,鑫元基金,8006662326.38
519,007762.OF,富国基金,3413989073.46
520,007772.OF,浦银安盛基金,4975854325.89
521,007823.OF,天弘基金,6030391339.54
522,007828.OF,创金合信基金,2868382233.03
523,007830.OF,建信基金,5499384344.89
524,007836.OF,泰康基金,7752434106.7
525,007852.OF,工银瑞信,11021115723.66
526,007867.OF,华泰柏瑞基金,3791876402.82
527,007870.OF,鹏华基金,2578556287.29
528,007871.OF,国泰基金,1023526166.74
529,007888.OF,农银汇理基金,1961955821.4
530,007915.OF,财通证券资管,28151776056.39
531,007928.OF,中加基金,8030928759.89
532,007930.OF,淳厚基金,824963255.6
533,007935.OF,平安基金,8399972966.88
534,007948.OF,汇添富基金,7848992220.99
535,007949.OF,富国基金,2092090942.23
536,007953.OF,平安基金,1059948621.61
537,007954.OF,平安基金,1018876014.76
538,007958.OF,华泰柏瑞基金,2528502931.43
539,007967.OF,大成基金,8370481278.99
540,007970.OF,国寿安保基金,11868837020.47
541,007985.OF,博时基金,6885408580.06
542,007986.OF,嘉实基金,991593142.02
543,007990.OF,富国基金,11040763295.59
544,007996.OF,博时基金,3627396041.37
545,007997.OF,易方达基金,2360531556.44
546,008003.OF,大成基金,7303046876.53
547,008014.OF,天弘基金,12899347037.96
548,008017.OF,国泰基金,14618491365.5
549,008018.OF,华富基金,7185492137.520001
550,008022.OF,建信基金,27413938499.96
551,008027.OF,工银瑞信,7874272042.57
552,008030.OF,农银汇理基金,6005921104.35
553,008031.OF,创金合信基金,3526943981.79
554,008032.OF,海富通基金,3255897509.04
555,008102.OF,中金基金,8091140245.87
556,008104.OF,中金基金,1610812502.65
557,008117.OF,博时基金,18528338139.28
558,008130.OF,广发基金,14500202221.58
559,008139.OF,鑫元基金,1577511894.96
560,008170.OF,博时基金,4617214654.74
561,008204.OF,交银施罗德,17201620566.5
562,008207.OF,国泰基金,4592789685.89
563,008214.OF,华安基金,12268669740.53
564,008217.OF,国泰基金,5175590864.97
565,008219.OF,西部利得基金,4363917243.270001
566,008223.OF,交银施罗德,7866439325.49
567,008229.OF,鑫元基金,8011661641.48
568,008231.OF,海富通基金,8028645279.73
569,008242.OF,英大基金,6181258279.94
570,008266.OF,华夏基金,1114567769.08
571,008278.OF,国泰基金,542841036.6
572,008302.OF,永赢基金,2508109141.63
573,008316.OF,蜂巢基金,8024108971.24
574,008338.OF,嘉实基金,20717654206.58
575,008349.OF,华夏基金,7324193883.81
576,008352.OF,交银施罗德,1087879990.63
577,008366.OF,广发基金,513873635.0
578,008383.OF,招商基金,13850811745.44
579,008406.OF,兴银基金,515347203.38
580,008409.OF,景顺长城基金,15268774924.08
581,008411.OF,博时基金,4241294953.06
582,008429.OF,中信保诚基金,9283968109.4
583,008460.OF,招商基金,9211576661.67
584,008463.OF,招商基金,8246443763.6
585,008465.OF,蜂巢基金,806950699.21
586,008471.OF,工银瑞信,6188133944.91
587,008478.OF,天弘基金,8344461789.06
588,008493.OF,鹏华基金,1595563510.15
589,008497.OF,鹏扬基金,2429495331.79
590,008508.OF,国联基金,1545093611.42
591,008509.OF,南方基金,996230145.39
592,008516.OF,浦银安盛基金,7303175595.76
593,008521.OF,富国基金,8108064600.92
594,008535.OF,兴银基金,1263891577.18
595,008539.OF,工银瑞信,3176818816.46
596,008558.OF,永赢基金,4940560284.6
597,008568.OF,蜂巢基金,3284009618.75
598,008569.OF,中航基金,200295124.67
599,008575.OF,财通基金,4084150079.43
600,008582.OF,兴银基金,1544974992.7
601,008587.OF,淳厚基金,201111873.34
602,008596.OF,平安基金,11137949811.48
603,008608.OF,广发基金,8074357265.84
604,008620.OF,嘉实基金,1630377782.36
605,008644.OF,天弘基金,423123653.6
606,008646.OF,天弘基金,5415017066.67
607,008648.OF,嘉实基金,1035188027.71
608,008649.OF,华泰柏瑞基金,3850756121.14
609,008650.OF,华泰柏瑞基金,2015650442.0
610,008651.OF,博时基金,8868779554.71
611,008661.OF,嘉实基金,1802656728.3
612,008674.OF,博时基金,8273495900.25
613,008675.OF,华安基金,8064202984.01
614,008700.OF,泰康基金,1209779640.7
615,008722.OF,永赢基金,1988866307.28
616,008730.OF,天弘基金,2035508197.36
617,008738.OF,天弘基金,1021717637.73
618,008746.OF,财通基金,2916545684.5
619,008761.OF,南方基金,577595512.9
620,008762.OF,天弘基金,4170770173.57
621,008774.OF,招商基金,10317456525.67
622,008796.OF,国联基金,1025062916.55
623,008802.OF,浦银安盛基金,2035997070.13
624,008807.OF,鹏扬基金,1091415610.99
625,008826.OF,天弘基金,7971326074.78
626,008829.OF,博时基金,1050476669.67
627,008857.OF,华夏基金,1185564186.53
628,008862.OF,中银证券,219461487.25
629,008863.OF,中银证券,2998925298.71
630,008875.OF,国寿安保基金,3240808290.5
631,008902.OF,国寿安保基金,1906607813.79
632,008925.OF,鹏华基金,2265421193.09
633,008995.OF,中银证券,201908083.29
634,009001.OF,长城基金,14321736776.64
635,009021.OF,鹏华基金,2361380541.23
636,009041.OF,浦银安盛基金,1052477912.14
637,009045.OF,浦银安盛基金,518102225.46
638,009082.OF,华夏基金,6402691016.86
639,009091.OF,兴银基金,2864780639.04
640,009105.OF,兴业基金,7907504161.75
641,009148.OF,平安基金,967034418.61
642,009166.OF,平安基金,1048271876.71
643,009167.OF,博时基金,1060348231.15
644,009207.OF,兴银基金,1004387613.56
645,009212.OF,易方达基金,8127069861.04
646,009235.OF,景顺长城基金,8658009420.27
647,009237.OF,兴业基金,1337521229.4
648,009252.OF,蜂巢基金,541774097.45
649,009254.OF,蜂巢基金,8066679188.41
650,009257.OF,工银瑞信,577713967.32
651,009271.OF,博时基金,295148257.42
652,009284.OF,上银基金,1069730959.45
653,009289.OF,富国基金,3786645275.59
654,009290.OF,富国基金,2617108218.34
655,009292.OF,易方达基金,2069745158.87
656,009294.OF,嘉实基金,2055679613.65
657,009298.OF,英大基金,6271873241.24
658,009306.OF,平安基金,4679784792.25
659,009309.OF,国寿安保基金,191906722.88
660,009338.OF,万家基金,5183578058.95
661,009343.OF,泰康基金,727422759.63
662,009356.OF,博时基金,10880563556.06
663,009417.OF,国投瑞银基金,8329679997.33
664,009450.OF,中金基金,3985090057.98
665,009453.OF,平安基金,210421152.0
666,009483.OF,鹏华基金,10732141591.92
667,009577.OF,上银基金,5162326127.33
