,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
60,000244.OF,天弘基金,73784516.2
61,000252.OF,景顺长城基金,317093175.37
62,000254.OF,长城基金,86849200.27
63,000265.OF,易方达基金,2538964249.47
64,000295.OF,鹏华基金,44042762.41
65,000345.OF,鹏华基金,894311355.66
66,000346.OF,建信基金,3051114565.57
67,000355.OF,南方基金,467537682.32
68,000402.OF,工银瑞信,11359255147.29
69,000469.OF,富国基金,937427474.44
70,000516.OF,富国基金,3491303918.34
71,000546.OF,兴业基金,2686619753.87
72,000552.OF,中加基金,1061967990.43
73,000606.OF,天弘基金,3782510281.94
74,000783.OF,博时基金,9818976157.67
75,000799.OF,民生加银基金,7774754800.270001
76,000815.OF,鑫元基金,382812152.7
77,000914.OF,中加基金,10694517007.38
78,000931.OF,国寿安保基金,597620688.38
79,000943.OF,工银瑞信,386201399.53
80,001246.OF,兴银基金,5049988523.270001
81,001299.OF,兴业基金,7057177750.520001
82,001368.OF,兴业基金,7984928935.71
83,001369.OF,兴业基金,7858455205.58
84,001545.OF,博时基金,1369591347.87
85,001578.OF,博时基金,7137330309.01
86,001619.OF,兴银基金,1991119296.2
87,001783.OF,兴银基金,5022866982.54
88,001785.OF,民生加银基金,1609998021.12
89,001819.OF,兴证全球基金,10044231983.3
90,001911.OF,博时基金,2618235285.13
91,001960.OF,兴银基金,3639985786.14
92,001961.OF,博时基金,3659911062.76
93,001993.OF,博时基金,1396847823.48
94,002109.OF,博时基金,1017789435.24
95,002140.OF,博时基金,1101521597.98
96,002143.OF,博时基金,953710738.9
97,002169.OF,永赢基金,5096230594.35
98,002175.OF,博时基金,48974726.05
99,002188.OF,鹏华基金,5246288459.63
100,002198.OF,博时基金,1274204033.05
101,002206.OF,博时基金,504113027.85
102,002268.OF,兴业基金,4391627146.26
103,002301.OF,兴业基金,7211380341.51
104,002336.OF,创金合信基金,1083122387.75
105,002341.OF,招商基金,1527799134.85
106,002354.OF,博时基金,427587397.43
107,002377.OF,建信基金,192763292.38
108,002395.OF,鹏华基金,2689339878.59
109,002438.OF,创金合信基金,1042859222.45
110,002445.OF,兴业基金,4387915719.97
111,002447.OF,博时基金,975449660.63
112,002466.OF,博时基金,3639086107.82
113,002483.OF,富国基金,206722051.55
114,002524.OF,兴业基金,214700828.69
115,002548.OF,嘉实基金,1460088908.61
116,002549.OF,嘉实基金,7408420357.58
117,002550.OF,嘉实基金,1057906646.02
118,002552.OF,华夏基金,2961075389.69
119,002568.OF,博时基金,1003666568.72
120,002578.OF,博时基金,5309925358.01
121,002600.OF,易方达基金,2251688254.05
122,002603.OF,工银瑞信,14801194183.73
123,002625.OF,博时基金,301784378.62
124,002638.OF,兴业基金,9453241076.83
125,002698.OF,博时基金,6058718202.91
126,002716.OF,博时基金,3009988223.36
127,002750.OF,工银瑞信,15361000384.12
128,002754.OF,博时基金,1068279714.89
129,002755.OF,博时基金,488944052.4
130,002781.OF,博时基金,5160162811.03
131,002832.OF,工银瑞信,1390681501.32
132,002864.OF,广发基金,1071207636.18
133,002868.OF,鹏华基金,1071293089.58
134,002898.OF,富国基金,20019591211.1
135,002904.OF,博时基金,3116526298.3
136,002927.OF,长盛基金,2120723094.09
137,002929.OF,博时基金,1309485827.16
138,002930.OF,博时基金,485014614.77
139,002970.OF,博时基金,439968454.38
140,002985.OF,中银基金,51919513.09
141,002991.OF,嘉实基金,3596969316.56
142,002994.OF,招商基金,56180638.42
143,003039.OF,广发基金,990706368.24
144,003056.OF,嘉实基金,2879645207.73
145,003102.OF,长盛基金,3264859819.81
146,003155.OF,中加基金,1994441532.26
147,003162.OF,博时基金,3041262528.83
148,003188.OF,博时基金,7663577309.92
149,003192.OF,创金合信基金,943110275.11
150,003193.OF,创金合信基金,203703408.8
151,003209.OF,鹏华基金,2969144511.63
152,003213.OF,中银基金,21514290811.85
153,003214.OF,易方达基金,873826274.98
154,003223.OF,广发基金,7827355663.35
155,003258.OF,博时基金,2303144411.47
156,003260.OF,博时基金,277216840.59
157,003265.OF,招商基金,2508743035.39
158,003268.OF,博时基金,1516525883.51
159,003269.OF,招商基金,3643306230.76
160,003280.OF,鹏华基金,13049673475.83
161,003285.OF,国寿安保基金,13017298522.35
162,003289.OF,创金合信基金,1025084634.13
163,003290.OF,长城基金,796228478.55
164,003309.OF,兴业基金,430789787.09
165,003313.OF,中银基金,24436046554.46
166,003315.OF,景顺长城基金,5265675183.42
167,003327.OF,万家基金,11082214982.13
168,003329.OF,万家基金,1738077270.16
169,003417.OF,中加基金,889765398.82
170,003428.OF,中加基金,2133546271.56
171,003445.OF,中加基金,6181831912.270001
172,003452.OF,招商基金,6664649126.36
173,003454.OF,招商基金,2078424983.94
174,003528.OF,汇添富基金,15260266978.75
175,003547.OF,鹏华基金,4492653809.03
176,003571.OF,招商基金,7599757537.23
177,003590.OF,建信基金,7190483376.17
178,003605.OF,景顺长城基金,8740331790.38
179,003607.OF,博时基金,2013862736.31
180,003640.OF,兴业基金,2452715949.74
181,003651.OF,博时基金,307998805.99
182,003660.OF,中加基金,783181217.86
183,003662.OF,鹏华基金,3766395135.25
184,003671.OF,兴业基金,2108092831.14
185,003673.OF,中加基金,1928369558.98
186,003703.OF,博时基金,1158358525.13
187,003730.OF,博时基金,1068042014.92
188,003746.OF,广发基金,7394332062.86
189,003770.OF,中银基金,5558564442.85
190,003809.OF,招商基金,1659326703.6
191,003832.OF,中银基金,16644124289.5
192,003847.OF,华安基金,2926157723.05
193,003859.OF,招商基金,4990154062.49
194,003863.OF,招商基金,6692869794.38
195,003869.OF,长信基金,4634408294.33
196,003880.OF,嘉实基金,3012306759.1
197,003929.OF,中银证券,33379963149.11
198,003949.OF,兴证全球基金,19112801227.82
199,003983.OF,鹏华基金,1652645624.35
200,004020.OF,广发基金,2292735235.54
201,004027.OF,广发基金,2522701188.18
202,004030.OF,嘉实基金,1046503215.43
203,004031.OF,鑫元基金,1669365447.8
204,004032.OF,工银瑞信,7790926222.25
205,004042.OF,华夏基金,9778197617.38
206,004052.OF,华夏基金,4749808022.59
207,004061.OF,华夏基金,1004661423.03
208,004118.OF,博时基金,1123557105.04
209,004122.OF,兴银基金,3019794225.58
210,004126.OF,浦银安盛基金,744726226.1
211,004127.OF,鹏华基金,3213501013.43
212,004136.OF,博时基金,631534693.02
213,004140.OF,兴业基金,5949334373.520001
214,004141.OF,兴业基金,2574307378.99
215,004200.OF,博时基金,13969761539.22
216,004230.OF,永赢基金,2687261868.87
217,004238.OF,永赢基金,2250434825.44
218,004307.OF,博时基金,3503544808.72
219,004322.OF,创金合信基金,503484035.7
220,004334.OF,博时基金,6032807509.01
221,004366.OF,博时基金,1085616805.24
222,004388.OF,鹏华基金,7705458710.87
223,004438.OF,鹏华基金,366864456.37
224,004459.OF,鑫元基金,1038409766.39
225,004479.OF,博时基金,1939577239.01
226,004498.OF,鹏华基金,2016511779.36
227,004499.OF,鹏华基金,2527704609.12
228,004503.OF,鹏华基金,683254594.95
229,004504.OF,鹏华基金,427654765.25
230,004544.OF,嘉实基金,1829786522.7
231,004547.OF,华夏基金,307366365.08
232,004555.OF,南方基金,4054581689.17
233,004601.OF,博时基金,537462149.61
234,004614.OF,鹏扬基金,6918019581.43
235,004637.OF,华夏基金,1020420412.7
236,004639.OF,华夏基金,2230404105.62
237,004655.OF,汇添富基金,1218236934.15
238,004672.OF,华夏基金,10745969907.39
239,004689.OF,博时基金,494003022.1
240,004705.OF,南方基金,3204259154.33
241,004722.OF,中银基金,47335395939.16
242,004728.OF,中欧基金,891772461.18
243,004736.OF,富国基金,1198669090.5
244,004797.OF,国寿安保基金,5404796325.09
245,004821.OF,国寿安保基金,6873519229.2
246,004839.OF,银华基金,2335927349.9
247,004859.OF,泰康基金,6311883431.96
248,004882.OF,中银基金,8033716428.85
249,004887.OF,长信基金,1078882417.81
250,004899.OF,中银基金,3026108879.31
251,004910.OF,中加基金,2579946999.0
252,004911.OF,中加基金,8812091146.55
253,004919.OF,兴证全球基金,5028567343.68
254,004920.OF,富国基金,8138430945.55
255,004923.OF,华夏基金,2048340533.02
256,004940.OF,中加基金,247956857.19
257,004954.OF,中银证券,1039412867.12
258,004956.OF,中银证券,21273707.39
259,004978.OF,富国基金,4592009142.18
260,005024.OF,南方基金,2031958770.47
261,005072.OF,中银基金,599086319.5
262,005073.OF,永赢基金,2015757488.2
263,005099.OF,易方达基金,253597048.93
264,005124.OF,易方达基金,6996986730.37
265,005171.OF,富国基金,1314812898.23
266,005200.OF,浦银安盛基金,1023375574.11
267,005307.OF,财通证券资管,6989368485.59
268,005309.OF,中银证券,41211702832.93
269,005321.OF,中银证券,11895046237.8
270,005322.OF,中银基金,3125416054.19
271,005336.OF,中加基金,7064653109.9
272,005362.OF,中银证券,1104678566.61
273,005364.OF,华夏基金,4261131904.42
274,005369.OF,富国基金,5042359594.87
275,005383.OF,富国基金,253802537.18
276,005388.OF,兴业基金,2998478448.21
277,005393.OF,南方基金,8159946195.41
278,005398.OF,鹏扬基金,1167554826.85
279,005419.OF,中欧基金,3021292997.96
280,005432.OF,上银基金,2520232411.52
281,005435.OF,国投瑞银基金,2371237774.73
282,005439.OF,易方达基金,1011558481.54
283,005442.OF,兴业基金,4943612403.57
284,005462.OF,博时基金,1995946857.65
285,005469.OF,南方基金,2601785628.07
286,005525.OF,工银瑞信,5098999679.59
287,005531.OF,华安基金,1732134583.82
288,005577.OF,交银施罗德,5363819686.82
289,005590.OF,汇添富基金,5798805331.33
290,005594.OF,招商基金,5044077340.29
291,005606.OF,招商基金,1009605588.51
292,005622.OF,博时基金,5173287996.11
293,005631.OF,博时基金,8275378174.39
294,005648.OF,招商基金,2196814553.85
295,005666.OF,上银基金,8026470607.46
296,005670.OF,嘉实基金,3438460372.22
297,005684.OF,财通证券资管,2395031581.57
298,005703.OF,永赢基金,5034010870.19
299,005705.OF,永赢基金,7943898307.47
300,005709.OF,华安基金,3972470590.82
301,005710.OF,兴业基金,2018769133.24
302,005712.OF,兴证全球基金,10070441264.13
303,005718.OF,长信基金,10020988032.31
304,005719.OF,招商基金,1800412073.74
305,005736.OF,中欧基金,2926846906.97
306,005740.OF,易方达基金,7745689853.39
307,005754.OF,平安基金,6954423827.24
308,005772.OF,工银瑞信,14055472104.54
309,005781.OF,华富基金,4890515840.88
310,005782.OF,创金合信基金,506380023.67
311,005784.OF,创金合信基金,302032844.98
312,005791.OF,华夏基金,2017266912.42
313,005816.OF,国泰基金,221000686.27
314,005820.OF,博时基金,3189549439.74
315,005831.OF,鹏华基金,3467136748.08
316,005836.OF,创金合信基金,538414764.29
317,005841.OF,富国基金,7066367016.63
318,005842.OF,海富通基金,524127468.28
319,005845.OF,长城基金,3012398728.36
320,005853.OF,财通基金,542292902.58
321,005854.OF,财通基金,501682635.45
322,005862.OF,华夏基金,4050670293.4
323,005864.OF,国投瑞银基金,503154112.39
324,005871.OF,天弘基金,4957045763.85
325,005879.OF,中加基金,2022651263.77
326,005897.OF,平安基金,3469649222.63
327,005898.OF,浦银安盛基金,1833248732.12
328,005920.OF,富国基金,956934409.23
329,005921.OF,农银汇理基金,5290432961.46
330,005971.OF,平安基金,402401912.46
331,005972.OF,交银施罗德,250005752.02
332,005988.OF,兴业基金,965023064.86
333,006029.OF,鹏华基金,4152656731.8
334,006032.OF,创金合信基金,340081528.47
335,006043.OF,永赢基金,2656768036.2
336,006045.OF,长城基金,2158534628.81
337,006053.OF,中航基金,3598099828.24
338,006066.OF,中加基金,3039078451.17
339,006076.OF,创金合信基金,2539162043.47
340,006082.OF,鑫元基金,1055771807.9
341,006088.OF,永赢基金,1194056680.79
342,006097.OF,平安基金,951127897.04
343,006107.OF,招商基金,2528659273.49
344,006112.OF,易方达基金,1100659136.05
345,006116.OF,国泰基金,2347776468.0
346,006120.OF,国联基金,1984005721.43
347,006137.OF,广发基金,4066228537.58
348,006150.OF,招商基金,493804437.52
349,006151.OF,南方基金,3267202633.44
350,006169.OF,工银瑞信,526372420.49
351,006171.OF,鹏扬基金,1060503176.5
352,006172.OF,万家基金,5899190964.03
353,006191.OF,华夏基金,7070167618.95
354,006275.OF,永赢基金,2069416118.42
355,006287.OF,永赢基金,6470821208.18
356,006319.OF,易方达基金,3367133490.63
357,006325.OF,招商基金,8406633084.48
358,006332.OF,招商基金,405666157.99
359,006360.OF,财通证券资管,7160129036.11
360,006367.OF,交银施罗德,724801387.47
361,006378.OF,广发基金,3715315706.72
362,006393.OF,招商基金,3035060551.97
363,006405.OF,华富基金,706145949.29
364,006411.OF,中加基金,1004543782.88
365,006421.OF,中银基金,1975125991.67
366,006427.OF,招商基金,11668072880.88
367,006434.OF,鹏华基金,211394731.35
368,006436.OF,浦银安盛基金,2697042100.51
369,006450.OF,嘉实基金,3821539355.96
370,006464.OF,浦银安盛基金,1017891241.84
371,006468.OF,嘉实基金,1160391605.51
372,006489.OF,招商基金,5492861303.41
373,006504.OF,广发基金,355673105.81
374,006517.OF,南方基金,130208126.28
375,006552.OF,广发基金,512259205.49
376,006570.OF,中金基金,8179699752.39
377,006582.OF,博时基金,2005426864.54
378,006591.OF,广发基金,13069314798.67
379,006597.OF,国泰基金,13306270392.06
380,006599.OF,国寿安保基金,214829488.02
381,006617.OF,工银瑞信,6411479622.95
382,006626.OF,山西证券,13349108482.86
383,006629.OF,招商基金,3281460746.25
384,006635.OF,永赢基金,1096532412.38
385,006646.OF,汇添富基金,7687907328.82
386,006653.OF,南方基金,8450480146.82
387,006660.OF,永赢基金,1433448976.92
388,006662.OF,易方达基金,6267165240.69
389,006664.OF,易方达基金,6267165240.69
390,006665.OF,华夏基金,6178841926.24
391,006668.OF,华夏基金,8583354256.44
392,006683.OF,富国基金,10593286164.42
393,006684.OF,富国基金,14833971024.87
394,006707.OF,永赢基金,1213385087.77
395,006714.OF,博时基金,1032873436.02
396,006740.OF,工银瑞信,526768115.23
397,006750.OF,富国基金,3889343662.51
398,006758.OF,农银汇理基金,6307782013.79
399,006764.OF,景顺长城基金,735533831.68
400,006771.OF,永赢基金,2001991685.51
401,006772.OF,汇添富基金,824526595.44
402,006776.OF,华夏基金,2234413035.89
403,006782.OF,国泰基金,4089893884.1
404,006791.OF,建信基金,401694123.15
405,006793.OF,交银施罗德,8293697687.32
406,006797.OF,嘉实基金,9702370921.53
407,006804.OF,富国基金,8581558786.3
408,006806.OF,西部利得基金,1138466330.6
409,006824.OF,创金合信基金,5838956948.3
410,006829.OF,鹏扬基金,260768496.58
411,006834.OF,工银瑞信,3213066755.38
412,006838.OF,鑫元基金,327935367.68
413,006841.OF,嘉实基金,8138928096.19
414,006846.OF,中银基金,1011805956.68
415,006850.OF,永赢基金,2316650613.4
416,006852.OF,永赢基金,6964997347.96
417,006869.OF,广发基金,2838400705.67
418,006874.OF,创金合信基金,3722771284.34
419,006884.OF,汇添富基金,8618603023.13
420,006885.OF,汇添富基金,8618603023.13
421,006893.OF,汇添富基金,3789756122.51
422,006901.OF,上银基金,6064811292.7
423,006907.OF,银华基金,3290207637.88
424,006915.OF,南方基金,2134812708.53
425,006919.OF,国寿安保基金,2653003639.91
426,006929.OF,博时基金,1017415442.26
427,006934.OF,平安基金,5662367.33
428,006936.OF,华安基金,1491647692.92
429,006944.OF,永赢基金,8623237067.46
430,006953.OF,华安基金,4605350761.83
431,006955.OF,国泰基金,3168011716.53
432,006956.OF,鹏华基金,2436753354.82
433,006958.OF,鹏华基金,910203950.27
434,006963.OF,中加基金,2067014048.9
435,006965.OF,财通基金,13082624701.31
436,006970.OF,广发基金,505563203.54
437,006984.OF,兴证全球基金,5005700427.86
438,006985.OF,兴证全球基金,9948098135.73
439,006986.OF,平安基金,1466515743.82
440,006995.OF,南方基金,3509843514.98
441,006998.OF,广发基金,4312718726.97
442,007017.OF,平安基金,10822815025.01
443,007050.OF,鑫元基金,1708248051.32
444,007053.OF,平安基金,1727975553.87
445,007061.OF,中加基金,1015895648.73
446,007068.OF,浦银安盛基金,1837995658.78
447,007086.OF,永赢基金,5642173285.22
448,007104.OF,易方达基金,2016964395.55
449,007105.OF,国泰基金,1168563633.24
450,007121.OF,中加基金,1130882092.19
451,007145.OF,泰康基金,2200937381.85
452,007158.OF,平安基金,989670100.13
453,007167.OF,华安基金,1014530129.63
454,007175.OF,国联基金,494291018.5
455,007184.OF,蜂巢基金,2243321601.88
456,007199.OF,永赢基金,917071099.29
457,007201.OF,民生加银基金,519746141.5
458,007213.OF,华安基金,815555003.62
459,007215.OF,国寿安保基金,2759672498.16
460,007220.OF,天弘基金,1017412849.6
461,007268.OF,山西证券,1735544575.53
462,007278.OF,国泰基金,506544576.24
463,007295.OF,天弘基金,2263010216.26
464,007321.OF,鹏华基金,4492601795.14
465,007342.OF,国投瑞银基金,2080143821.84
466,007347.OF,永赢基金,8653576233.57
467,007373.OF,永赢基金,2080146490.91
468,007374.OF,永赢基金,3132629229.48
469,007408.OF,鹏扬基金,51422335.18
470,007417.OF,泰康基金,4163950250.43
471,007427.OF,永赢基金,1060308793.07
472,007440.OF,南方基金,2026613511.31
473,007447.OF,平安基金,845113982.88
474,007451.OF,易方达基金,2499577295.53
475,007454.OF,民生加银基金,3040499017.44
476,007496.OF,农银汇理基金,8095053970.31
477,007513.OF,博时基金,1656420152.67
478,007515.OF,鹏华基金,6881493934.16
479,007517.OF,博时基金,1982789455.2
480,007525.OF,易方达基金,4451205049.0
481,007529.OF,嘉实基金,9652094220.6
482,007535.OF,中欧基金,7285142377.95
483,007537.OF,景顺长城基金,1232792882.91
484,007542.OF,永赢基金,4840960539.18
485,007544.OF,鹏华基金,1062983957.29
486,007555.OF,中航基金,201511183.24
487,007562.OF,景顺长城基金,1470379751.56
488,007572.OF,中加基金,504404638.09
489,007573.OF,农银汇理基金,8077835341.06
490,007576.OF,华夏基金,2020601956.45
491,007584.OF,鹏华基金,1610189905.1
492,007585.OF,工银瑞信,14129400624.83
493,007589.OF,嘉实基金,8016830547.59
494,007595.OF,招商基金,1973805924.53
495,007600.OF,泰康基金,8457503328.28
496,007603.OF,景顺长城基金,3381517696.27
497,007616.OF,富国基金,3874900291.01
498,007618.OF,富国基金,3874900291.01
499,007619.OF,中欧基金,8174424168.68
500,007645.OF,平安基金,1172948059.44
501,007653.OF,长盛基金,2268959398.0
502,007659.OF,博时基金,5337198482.98
503,007670.OF,嘉实基金,594783510.5
504,007680.OF,中加基金,9130739545.58
505,007681.OF,鹏华基金,2766639635.71
506,007682.OF,鹏华基金,8063852219.63
507,007691.OF,永赢基金,1499685719.9
508,007692.OF,永赢基金,2491991028.04
509,007706.OF,南方基金,3673430707.85
510,007714.OF,南方基金,3489369181.17
511,007716.OF,嘉实基金,1057883871.43
512,007717.OF,工银瑞信,3213066755.38
513,007723.OF,鹏华基金,8189883354.87
514,007740.OF,天弘基金,600662722.0
515,007744.OF,长盛基金,7771705856.4
516,007754.OF,上银基金,824111748.38
517,007758.OF,平安基金,7091254574.59
518,007761.OF,鑫元基金,8048662486.91
519,007762.OF,富国基金,4544672139.18
520,007772.OF,浦银安盛基金,4477625578.37
521,007823.OF,天弘基金,8248118133.79
522,007828.OF,创金合信基金,2284017267.21
523,007830.OF,建信基金,8053963397.38
524,007836.OF,泰康基金,7762800734.12
525,007852.OF,工银瑞信,10985055504.78
526,007867.OF,华泰柏瑞基金,8051418303.64
527,007870.OF,鹏华基金,1621312818.54
528,007871.OF,国泰基金,2007592135.72
529,007888.OF,农银汇理基金,1324311782.79
530,007915.OF,财通证券资管,13522345986.9
531,007928.OF,中加基金,8035129237.19
532,007930.OF,淳厚基金,966299953.03
533,007935.OF,平安基金,5252988860.44
534,007948.OF,汇添富基金,8001419595.74
535,007949.OF,富国基金,775129588.31
536,007953.OF,平安基金,1013995225.81
537,007954.OF,平安基金,1024956183.55
538,007958.OF,华泰柏瑞基金,2506337111.05
539,007967.OF,大成基金,8013621624.86
540,007970.OF,国寿安保基金,8734872382.58
541,007985.OF,博时基金,2097094719.66
542,007986.OF,嘉实基金,980658463.08
543,007990.OF,富国基金,10151582144.41
544,007996.OF,博时基金,1192799547.44
545,007997.OF,易方达基金,2362912541.56
546,008003.OF,大成基金,8005871032.44
547,008014.OF,天弘基金,11767168182.67
548,008017.OF,国泰基金,13737682728.2
549,008018.OF,华富基金,8031750485.14
550,008022.OF,建信基金,17179142192.83
551,008027.OF,工银瑞信,7856607563.26
552,008030.OF,农银汇理基金,4245569748.61
553,008031.OF,创金合信基金,3991751973.32
554,008032.OF,海富通基金,3218167764.86
555,008102.OF,中金基金,8061784011.5
556,008104.OF,中金基金,3244428471.78
557,008117.OF,博时基金,16273359431.51
558,008130.OF,广发基金,14512006338.34
559,008139.OF,鑫元基金,1571812524.77
560,008170.OF,博时基金,2921048007.6
561,008204.OF,交银施罗德,9448489833.91
562,008207.OF,国泰基金,4318850370.62
563,008214.OF,华安基金,12235417947.19
564,008217.OF,国泰基金,2253981072.36
565,008219.OF,西部利得基金,8046033242.66
566,008223.OF,交银施罗德,7816398890.48
567,008229.OF,鑫元基金,8086105975.36
568,008231.OF,海富通基金,8052502502.15
569,008242.OF,英大基金,6216153226.3
570,008266.OF,华夏基金,1119683599.46
571,008278.OF,国泰基金,551628153.48
572,008302.OF,永赢基金,2222498948.12
573,008316.OF,蜂巢基金,8022343240.7
574,008338.OF,嘉实基金,16656587981.81
575,008349.OF,华夏基金,7239165144.41
576,008352.OF,交银施罗德,2519995575.17
577,008366.OF,广发基金,505449983.35
578,008383.OF,招商基金,10080018760.24
579,008406.OF,兴银基金,11031321.22
580,008409.OF,景顺长城基金,11577720822.49
581,008411.OF,博时基金,1591634217.08
582,008429.OF,中信保诚基金,9261256434.27
583,008460.OF,招商基金,8741459718.25
584,008463.OF,招商基金,8294017242.97
585,008465.OF,蜂巢基金,83205912.25
586,008471.OF,工银瑞信,8002870164.88
587,008478.OF,天弘基金,8298036405.1
588,008493.OF,鹏华基金,2006515144.05
589,008497.OF,鹏扬基金,3614167665.66
590,008508.OF,国联基金,1528665451.14
591,008509.OF,南方基金,1005577353.84
592,008516.OF,浦银安盛基金,7295550580.44
593,008521.OF,富国基金,8122446368.32
594,008535.OF,兴银基金,8005393148.770001
595,008539.OF,工银瑞信,1778820134.61
596,008558.OF,永赢基金,3583984745.11
597,008568.OF,蜂巢基金,3781917444.05
598,008569.OF,中航基金,201737488.24
599,008575.OF,财通基金,4058783105.48
600,008582.OF,兴银基金,1520461473.95
601,008587.OF,淳厚基金,204068840.64
602,008596.OF,平安基金,10265496210.88
603,008608.OF,广发基金,8025216588.1
604,008620.OF,嘉实基金,2110755565.6
605,008644.OF,天弘基金,583129385.04
606,008646.OF,天弘基金,5157260691.47
607,008648.OF,嘉实基金,1028828896.13
608,008649.OF,华泰柏瑞基金,3842509688.65
609,008650.OF,华泰柏瑞基金,2019330324.87
610,008651.OF,博时基金,8891551387.13
611,008661.OF,嘉实基金,1723500298.26
612,008674.OF,博时基金,8320577276.04
613,008675.OF,华安基金,8085320756.68
614,008700.OF,泰康基金,213448740.3
615,008722.OF,永赢基金,1974789693.58
616,008730.OF,天弘基金,2006983711.12
617,008738.OF,天弘基金,1008912008.69
618,008746.OF,财通基金,3438726645.08
619,008761.OF,南方基金,580740287.87
620,008762.OF,天弘基金,4193231955.54
621,008774.OF,招商基金,6346311030.520001
622,008796.OF,国联基金,995318826.51
623,008802.OF,浦银安盛基金,2044755363.11
624,008807.OF,鹏扬基金,1946234651.13
625,008826.OF,天弘基金,8022724537.26
626,008829.OF,博时基金,1045916961.89
627,008857.OF,华夏基金,1176082331.54
628,008862.OF,中银证券,221260477.59
629,008863.OF,中银证券,3012042441.52
630,008875.OF,国寿安保基金,2097578783.89
631,008902.OF,国寿安保基金,1914579036.32
632,008925.OF,鹏华基金,2279275202.22
633,008995.OF,中银证券,201484691.06
634,009001.OF,长城基金,14168035835.11
635,009021.OF,鹏华基金,659319329.56
636,009041.OF,浦银安盛基金,1055736461.36
637,009045.OF,浦银安盛基金,520560592.26
638,009082.OF,华夏基金,6261913804.770001
639,009091.OF,兴银基金,2845269722.93
640,009105.OF,兴业基金,7918258229.6
641,009148.OF,平安基金,965368278.03
642,009166.OF,平安基金,1049975091.44
643,009167.OF,博时基金,1016688920.33
644,009207.OF,兴银基金,1004391969.04
645,009212.OF,易方达基金,8112933829.84
646,009235.OF,景顺长城基金,8515742286.93
647,009237.OF,兴业基金,1318163941.98
648,009252.OF,蜂巢基金,520277421.37
649,009254.OF,蜂巢基金,8076047618.7
650,009257.OF,工银瑞信,526768115.23
651,009271.OF,博时基金,3507160165.82
652,009284.OF,上银基金,1011035276.41
653,009289.OF,富国基金,3101392933.56
654,009290.OF,富国基金,2552733410.94
655,009292.OF,易方达基金,2265384230.44
656,009294.OF,嘉实基金,1015433144.25
657,009298.OF,英大基金,5377747621.43
658,009306.OF,平安基金,6388307891.6
659,009309.OF,国寿安保基金,111030466.92
660,009338.OF,万家基金,2435013450.14
661,009343.OF,泰康基金,916076282.87
662,009356.OF,博时基金,5685394505.07
663,009417.OF,国投瑞银基金,8412000439.6
664,009450.OF,中金基金,4000669471.9
665,009453.OF,平安基金,210228989.25
666,009483.OF,鹏华基金,4547551383.270001
