,thscode,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,wwsum,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,H,HCategory
4684,001901.OF,35.0,23.0,44.0,120.0,43.0,563.0,200.0,161.0,105.0,307.0,132981288.35,0.1560624547821957,0.15534550150867146,0.15442379393972838,0.15236977338248206,0.15215592329610636,0.04880385865204321,0.04803489761046521,0.045893825181909514,0.043675317573353925,0.043234654073044256,102.98826183616231,独立基金
4685,001902.OF,35.0,23.0,44.0,120.0,43.0,563.0,200.0,161.0,105.0,307.0,132981288.35,0.1560624547821957,0.15534550150867146,0.15442379393972838,0.15236977338248206,0.15215592329610636,0.04880385865204321,0.04803489761046521,0.045893825181909514,0.043675317573353925,0.043234654073044256,102.98826183616231,独立基金
4891,002410.OF,119.0,12.0,44.0,74.0,35.0,156.0,1.0,9.0,859.0,18.0,4147894.48,0.2471968380449254,0.15014846761482709,0.11055176601310263,0.10013514133561083,0.10004111772872294,0.09187986865085343,0.072199225762368,0.06876645521609315,0.04732135808816429,0.011759761545332271,102.87900176043051,独立基金
4890,002409.OF,119.0,12.0,44.0,74.0,35.0,156.0,1.0,9.0,859.0,18.0,4147894.48,0.2471968380449254,0.15014846761482709,0.11055176601310263,0.10013514133561083,0.10004111772872294,0.09187986865085343,0.072199225762368,0.06876645521609315,0.04732135808816429,0.011759761545332271,102.87900176043051,独立基金
9861,015554.OF,48.0,35.0,194.0,6.0,133.0,44.0,85.0,578.0,25.0,14.0,107275434.2,0.1628906014719258,0.13440877781131366,0.12360705038283593,0.1061985913639863,0.10228017329246102,0.10034543397821083,0.07118871209378894,0.0674064855008529,0.06587155813161928,0.06580261597300531,102.73849228381869,独立基金
9860,015553.OF,48.0,35.0,194.0,6.0,133.0,44.0,85.0,578.0,25.0,14.0,107275434.2,0.1628906014719258,0.13440877781131366,0.12360705038283593,0.1061985913639863,0.10228017329246102,0.10034543397821083,0.07118871209378894,0.0674064855008529,0.06587155813161928,0.06580261597300531,102.73849228381869,独立基金
8106,011831.OF,14.0,156.0,61.0,236.0,150.0,11.0,71.0,74.0,10.0,289.0,127342264.2,0.16705262886318303,0.12757206024298098,0.1212299396196852,0.10915381540702965,0.10047960180686029,0.08253014869826698,0.07830911019720976,0.07713400701414573,0.06979354463213636,0.066745143518502,102.63022212777649,独立基金
8105,011830.OF,14.0,156.0,61.0,236.0,150.0,11.0,71.0,74.0,10.0,289.0,127342264.2,0.16705262886318303,0.12757206024298098,0.1212299396196852,0.10915381540702965,0.10047960180686029,0.08253014869826698,0.07830911019720976,0.07713400701414573,0.06979354463213636,0.066745143518502,102.63022212777649,独立基金
10354,016996.OF,268.0,19.0,2.0,5.0,2.0,107.0,191.0,157.0,389.0,88.0,8074384.94,0.14940031085513245,0.13995816627489152,0.12702929791207104,0.12580526783752768,0.11726807763514925,0.11187452749806599,0.06447859544333293,0.062208948883727605,0.0519996263641104,0.04997718129599107,102.49474731508155,独立基金
10353,016995.OF,268.0,19.0,2.0,5.0,2.0,107.0,191.0,157.0,389.0,88.0,8074384.94,0.14940031085513245,0.13995816627489152,0.12702929791207104,0.12580526783752768,0.11726807763514925,0.11187452749806599,0.06447859544333293,0.062208948883727605,0.0519996263641104,0.04997718129599107,102.49474731508155,独立基金
4549,001633.OF,88.0,3.0,21.0,83.0,4.0,254.0,496.0,19.0,18.0,16.0,131317595.41,0.1616403696224215,0.15456487880872627,0.15378242905643533,0.11765963861704556,0.1154525467258554,0.10410938326516833,0.09294693663778839,0.03451479587216728,0.0334307827240773,0.03189823867031468,102.45840931652802,独立基金
4550,001634.OF,88.0,3.0,21.0,83.0,4.0,254.0,496.0,19.0,18.0,16.0,131317595.41,0.1616403696224215,0.15456487880872627,0.15378242905643533,0.11765963861704556,0.1154525467258554,0.10410938326516833,0.09294693663778839,0.03451479587216728,0.0334307827240773,0.03189823867031468,102.45840931652802,独立基金
8719,013042.OF,268.0,1.0,189.0,3.0,13.0,22.0,44.0,175.0,56.0,213.0,261296952.45999998,0.17735616314581493,0.16094513971202098,0.15140132461382633,0.13750782189279576,0.11786960992097596,0.06243624292746947,0.05647578305475657,0.05385728657571807,0.04192282725408714,0.040227800902534874,102.45183247748776,独立基金
8718,013041.OF,268.0,1.0,189.0,3.0,13.0,22.0,44.0,175.0,56.0,213.0,261296952.45999998,0.17735616314581493,0.16094513971202098,0.15140132461382633,0.13750782189279576,0.11786960992097596,0.06243624292746947,0.05647578305475657,0.05385728657571807,0.04192282725408714,0.040227800902534874,102.45183247748776,独立基金
2230,009341.OF,59.0,25.0,133.0,494.0,33.0,47.0,7.0,16.0,60.0,35.0,1757238183.8100004,0.15226840602214625,0.13142335032765848,0.12972914649266948,0.11668767769740805,0.09211725327356206,0.08669016039118298,0.08346841407804224,0.07766878699624082,0.0689362024090286,0.06101060231206084,102.37993859190586,独立基金
8543,012608.OF,93.0,84.0,42.0,48.0,20.0,563.0,55.0,61.0,22.0,29.0,647599832.8199999,0.29401232438693703,0.11335559674303378,0.08969809915955564,0.08511832223607338,0.08054867003725551,0.07983263271528651,0.07064698451322247,0.0686591318382237,0.06781606200971163,0.050312176360700504,102.29955921491711,独立基金
7484,010868.OF,11.0,19.0,66.0,1.0,38.0,306.0,523.0,48.0,232.0,483.0,186713809.15000004,0.16541347648897234,0.16326740281705615,0.16263722848482198,0.16250365362973473,0.11171227310371647,0.08298647336551324,0.0696634071642258,0.028145740124546105,0.02735199149569703,0.026318353325715967,102.29950101250986,独立基金
10164,016383.OF,141.0,37.0,28.0,88.0,209.0,216.0,8.0,2.0,7.0,325.0,4661818.38,0.14476282535914667,0.13654757609840648,0.1128615396638425,0.10903470675320474,0.09498439533802688,0.08502261729038016,0.08091477815143884,0.08086552269331436,0.07963630706694326,0.07536973158529613,102.29728614180803,独立基金
10163,016382.OF,141.0,37.0,28.0,88.0,209.0,216.0,8.0,2.0,7.0,325.0,4661818.38,0.14476282535914667,0.13654757609840648,0.1128615396638425,0.10903470675320474,0.09498439533802688,0.08502261729038016,0.08091477815143884,0.08086552269331436,0.07963630706694326,0.07536973158529613,102.29728614180803,独立基金
