jydm,FrawX,FrawY,Xstyle,Ystyle
001924.OF,214.54144651833215,145.73447772492588,均衡型,中盘
004075.OF,214.5224379612348,178.6979609612719,均衡型,中盘
202023.OF,214.47541986759308,201.51642021940606,均衡型,大盘
001416.OF,214.46506712576706,193.68241880656433,均衡型,中盘
000527.OF,214.37016188271065,212.70398868836375,均衡型,大盘
003131.OF,214.36460865644136,126.12073118186267,均衡型,中盘
001616.OF,214.2666632195757,242.41485260492453,均衡型,大盘
660012.OF,214.1402954466138,195.33712492138153,均衡型,中盘
530001.OF,214.096061873798,200.72552615950872,均衡型,大盘
213003.OF,213.89962237460804,31.984300233413023,均衡型,小盘
519093.OF,213.89776700076607,196.51766171794884,均衡型,中盘
257020.OF,213.8832030655481,143.37893205237884,均衡型,中盘
001053.OF,213.86058330763288,211.67227095368528,均衡型,大盘
270041.OF,213.78966499680513,249.0856453394886,均衡型,大盘
320007.OF,213.74437658645817,159.33434171099273,均衡型,中盘
163805.OF,213.56338131352408,249.57237631836225,均衡型,大盘
487021.OF,213.45081969724149,208.43513432004113,均衡型,大盘
260103.OF,213.1851775765795,340.01676964977446,均衡型,大盘
470006.OF,213.04127168497283,150.08099047436787,均衡型,中盘
000780.OF,213.0219276175296,77.86164906462147,均衡型,小盘
519688.OF,212.7643913094739,307.96925913606,均衡型,大盘
000592.OF,212.7280733554445,199.41857549789742,均衡型,中盘
000955.OF,212.0814269452962,224.32777231320756,均衡型,大盘
001178.OF,211.72755297175505,170.30397492775913,均衡型,中盘
377240.OF,211.2943669133461,222.8398332012026,均衡型,大盘
004505.OF,211.0235716833357,169.36720088109178,均衡型,中盘
398061.OF,210.43798515278118,71.59112974297054,均衡型,小盘
001184.OF,210.38605842339464,292.85744205494103,均衡型,大盘
163411.OF,210.27832875524703,153.0621408581397,均衡型,中盘
000866.OF,210.0005102198645,40.921137876779184,均衡型,小盘
550002.OF,209.98552792618383,188.18841065688483,均衡型,中盘
001036.OF,209.949136523951,162.3235352356468,均衡型,中盘
376510.OF,209.57494059760842,135.12756099730797,均衡型,中盘
040004.OF,209.53898775775497,276.5893085928668,均衡型,大盘
004683.OF,208.41335001005893,156.4009021267488,均衡型,中盘
202003.OF,208.27015865869305,149.93361412997086,均衡型,中盘
720001.OF,208.25440518777387,48.59451353420571,均衡型,小盘
001576.OF,208.24921183839976,128.92439781216484,均衡型,中盘
001975.OF,207.7586419969004,79.1988049910597,均衡型,小盘
270006.OF,207.0318035261797,227.90350315477951,均衡型,大盘
000522.OF,207.03149242849167,71.66043923104792,均衡型,小盘
200006.OF,206.9768743852626,9.142287464556738,均衡型,小盘
519018.OF,206.93862853566966,281.34550214688835,均衡型,大盘
100022.OF,206.59341987179826,178.59598733463275,均衡型,中盘
400007.OF,206.35475729418044,137.25564285852533,均衡型,中盘
001457.OF,206.20393858353464,144.54772602229576,均衡型,中盘
519710.OF,206.0366736096452,302.87463680426936,均衡型,大盘
260101.OF,205.80933229481627,84.84586149167419,均衡型,小盘
233007.OF,205.66040749938284,260.7801375589731,均衡型,大盘
501051.SH,205.50748716621752,261.38996483461796,均衡型,大盘
161005.SZ,205.3105573278522,251.25757150414876,均衡型,大盘
070011.OF,205.15406247062998,248.73505250668234,均衡型,大盘
180028.OF,204.631811718154,64.66939400164831,均衡型,小盘
550008.OF,203.8674054459184,190.02037774773223,均衡型,中盘
004868.OF,203.83837842747735,280.2158329022153,均衡型,大盘
