,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,Stable_Count
0,004851.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
1,519929.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
2,240022.OF,周期行业基金,周期行业基金,周期行业基金,周期行业基金,周期行业基金,周期行业基金,稳定周期行业基金
3,003095.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
4,001838.OF,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,稳定制造行业基金
5,004075.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
6,470006.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
7,519674.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
8,320007.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
9,001717.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
10,000831.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
11,001195.OF,消费行业基金,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
12,001230.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
13,000727.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
14,004683.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
15,000251.OF,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,稳定金融地产行业基金
16,501038.SH,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
17,110023.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
18,501046.SH,TMT行业基金,行业均衡基金,消费行业基金,消费行业基金,周期行业基金,行业均衡基金,行业轮动基金
19,720001.OF,TMT行业基金,行业均衡基金,消费行业基金,消费行业基金,周期行业基金,行业均衡基金,行业轮动基金
20,000409.OF,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
21,001986.OF,TMT行业基金,行业均衡基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
22,000339.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
23,398011.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
24,000960.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
25,001313.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
26,001072.OF,TMT行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,行业均衡基金,行业轮动基金
27,002692.OF,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
28,000522.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
29,001178.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
30,001480.OF,TMT行业基金,行业均衡基金,消费行业基金,消费行业基金,周期行业基金,行业均衡基金,行业轮动基金
31,040025.OF,TMT行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,行业均衡基金,行业轮动基金
32,000039.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
33,001898.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,行业均衡基金,行业轮动基金
34,000828.OF,TMT行业基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,制造行业基金,行业轮动基金
35,001223.OF,TMT行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
36,040007.OF,TMT行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,行业均衡基金,行业轮动基金
37,001766.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
38,001404.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
39,110022.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
40,001956.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,TMT行业基金,TMT行业基金,行业轮动基金
41,257070.OF,TMT行业基金,行业均衡基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
42,540010.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
43,002707.OF,TMT行业基金,制造行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,行业轮动基金
44,290012.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,TMT行业基金,TMT行业基金,行业轮动基金
45,001542.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
46,001255.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,行业均衡基金,行业轮动基金
47,001071.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
48,000742.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
49,519005.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
50,000083.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
51,100039.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
52,000940.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
53,660012.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
54,217012.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
55,270041.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
56,200001.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
57,001166.OF,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业轮动基金
58,001927.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
59,002983.OF,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,稳定制造行业基金
60,290011.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
61,240004.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,周期行业基金,TMT行业基金,行业轮动基金
62,163503.SZ,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
63,001171.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
64,001513.OF,TMT行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
65,379010.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
66,001924.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
67,519915.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,行业均衡基金,行业轮动基金
68,200006.OF,医药行业基金,医药行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
69,001475.OF,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,稳定制造行业基金
70,210003.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业轮动基金
71,610004.OF,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
72,000780.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
73,420003.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,行业轮动基金
74,004505.OF,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业均衡基金,行业轮动基金
75,001143.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
76,000609.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
77,630016.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
78,210009.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
79,001106.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
80,610006.OF,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
81,590005.OF,TMT行业基金,制造行业基金,行业均衡基金,制造行业基金,医药行业基金,行业均衡基金,行业轮动基金
82,001163.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
83,519710.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
84,000985.OF,制造行业基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业轮动基金
85,070021.OF,制造行业基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业轮动基金
86,004871.OF,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,稳定金融地产行业基金
87,005094.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
88,001808.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
89,260108.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
90,519196.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
91,050010.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
92,260109.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
93,004868.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
94,519714.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
95,180012.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
96,050018.OF,制造行业基金,金融地产行业基金,TMT行业基金,TMT行业基金,行业均衡基金,周期行业基金,行业轮动基金
97,162605.SZ,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
98,161903.SZ,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,行业均衡基金,行业轮动基金
99,519195.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
100,001576.OF,制造行业基金,制造行业基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
101,001579.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,消费行业基金,行业轮动基金
102,519093.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
103,001000.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
104,270028.OF,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
105,398061.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
106,004666.OF,制造行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
107,001396.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
108,001245.OF,制造行业基金,制造行业基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
109,163412.SZ,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,TMT行业基金,行业均衡基金,行业轮动基金
110,690004.OF,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
111,003298.OF,其他行业基金,其他行业基金,其他行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
112,260104.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
113,000524.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
114,519773.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
115,519015.OF,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
116,200008.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
117,180031.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
118,519011.OF,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
119,163302.SZ,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
120,003940.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
121,000294.OF,消费行业基金,行业均衡基金,消费行业基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
122,519664.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
123,001044.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
124,000778.OF,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
125,001150.OF,行业均衡基金,TMT行业基金,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
126,519181.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
127,002229.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
128,002939.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
