,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,Stable_Count
214,000939.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
215,550008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
216,378010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
217,163807.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
218,160314.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
219,519021.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
220,570008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
221,519029.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
222,161606.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业轮动基金
223,630010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
224,000264.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
225,070032.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
226,001985.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
227,001857.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
228,410007.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
229,519908.OF,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,制造行业基金,行业轮动基金
230,001725.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
231,570001.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
232,001126.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
233,288002.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
234,202212.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
235,001468.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,周期行业基金,行业均衡基金,行业轮动基金
236,001832.OF,行业均衡基金,周期行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
237,161706.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
238,001910.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
239,001291.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
240,000017.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
241,003715.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
242,519193.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
243,213003.OF,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
244,000592.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
245,001975.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
246,000457.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
247,202005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
248,410003.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
249,003145.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
250,000996.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
251,001028.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
252,377010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
253,000977.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
254,260101.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
255,000652.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
256,070002.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
257,370027.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
258,340006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
259,001437.OF,行业均衡基金,行业均衡基金,周期行业基金,TMT行业基金,行业均衡基金,TMT行业基金,行业轮动基金
260,100060.OF,行业均衡基金,行业均衡基金,行业均衡基金,TMT行业基金,行业均衡基金,行业均衡基金,行业轮动基金
261,001457.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
262,001726.OF,行业均衡基金,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
263,519727.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
264,001009.OF,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
265,400025.OF,行业均衡基金,行业均衡基金,消费行业基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
266,000549.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
267,630002.OF,行业均衡基金,行业均衡基金,周期行业基金,周期行业基金,周期行业基金,行业均衡基金,行业轮动基金
268,400007.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
269,004183.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
270,000173.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
271,481008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
272,070006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
273,000031.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
274,519026.OF,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
275,004374.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
276,166301.OF,行业均衡基金,行业均衡基金,行业均衡基金,周期行业基金,周期行业基金,行业均衡基金,行业轮动基金
277,000612.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
278,001651.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
279,000263.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
280,163409.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
281,163411.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
282,000976.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
283,004394.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
284,519704.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
285,001476.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,制造行业基金,行业轮动基金
286,001496.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
287,162006.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
288,000628.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
289,519688.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
290,001605.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
291,000513.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
292,003834.OF,行业均衡基金,行业均衡基金,周期行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
293,003131.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
294,000746.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
295,450002.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
296,217020.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
297,005268.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
298,000751.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
299,550001.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
300,001810.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
301,530001.OF,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,行业轮动基金
302,001040.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
303,519035.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
304,000390.OF,行业均衡基金,行业均衡基金,周期行业基金,周期行业基金,周期行业基金,行业均衡基金,行业轮动基金
305,001102.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
306,688888.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
307,000971.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
308,001473.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
309,001416.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
310,004640.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
311,460001.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
312,000308.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
313,450009.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
314,000595.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
315,530003.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
316,519008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
317,519087.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
318,257020.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
319,530006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
320,090015.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业均衡基金,行业轮动基金
321,481006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
322,001955.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
323,501051.SH,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
324,001054.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
325,002210.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
326,166005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
327,000021.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
328,163415.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
329,540008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
330,005267.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
331,217013.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
