,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
178,009600.OF,大,大,大,大,大,大,稳定大
179,008700.OF,大,大,大,大,大,大,稳定大
180,006045.OF,大,大,大,大,大,大,稳定大
181,006450.OF,大,大,大,大,大,大,稳定大
182,008104.OF,大,大,大,大,大,大,稳定大
183,003671.OF,大,大,大,大,大,大,稳定大
184,008018.OF,大,大,大,大,大,大,稳定大
185,005705.OF,大,大,大,大,大,大,稳定大
186,008117.OF,大,大,大,大,大,大,稳定大
187,006750.OF,大,大,大,大,大,大,稳定大
188,008130.OF,大,大,大,大,大,大,稳定大
189,008031.OF,大,大,大,大,大,大,稳定大
190,007970.OF,大,大,大,大,大,大,稳定大
191,015830.OF,大,大,大,大,大,大,稳定大
192,009453.OF,大,大,大,大,大,大,稳定大
193,110053.OF,大,大,大,大,大,大,稳定大
194,006088.OF,大,大,大,大,大,大,稳定大
195,008995.OF,大,大,大,大,大,大,稳定大
196,008738.OF,大,大,大,大,大,大,稳定大
197,003188.OF,大,大,大,大,大,大,稳定大
198,011699.OF,大,大,大,大,大,大,稳定大
199,002552.OF,大,大,大,大,大,大,稳定大
200,009166.OF,大,大,大,大,大,大,稳定大
201,003605.OF,大,大,大,大,大,大,稳定大
202,009343.OF,大,大,大,大,大,大,稳定大
203,007928.OF,大,大,大,大,大,大,稳定大
204,003039.OF,大,大,大,大,大,大,稳定大
205,004940.OF,大,大,大,大,大,大,稳定大
206,016024.OF,大,大,大,大,大,大,稳定大
207,017201.OF,大,大,大,大,大,大,稳定大
208,006171.OF,大,大,大,大,大,大,稳定大
209,012290.OF,大,大,大,大,大,大,稳定大
210,010653.OF,大,大,大,大,大,大,稳定大
211,003730.OF,大,大,大,大,大,大,稳定大
212,001993.OF,大,大,大,大,大,大,稳定大
213,002206.OF,大,大,大,大,大,大,稳定大
214,008535.OF,大,大,大,大,大,大,稳定大
215,017137.OF,大,大,大,大,大,大,稳定大
216,003260.OF,大,大,大,大,大,大,稳定大
217,000469.OF,大,大,大,大,大,大,稳定大
218,000552.OF,大,大,大,大,大,大,稳定大
219,011079.OF,大,大,大,大,大,大,稳定大
220,003547.OF,大,大,大,大,大,大,稳定大
221,016689.OF,大,大,大,大,大,大,稳定大
222,009711.OF,大,大,大,大,大,大,稳定大
223,011890.OF,大,大,大,大,大,大,稳定大
224,008596.OF,大,大,大,大,大,大,稳定大
225,003428.OF,大,大,大,大,大,大,稳定大
226,070025.OF,大,大,大,大,大,大,稳定大
227,014392.OF,大,大,大,大,大,大,稳定大
228,004672.OF,大,大,大,大,大,大,稳定大
229,100072.OF,大,大,大,大,大,大,稳定大
230,007537.OF,大,大,大,大,大,大,稳定大
231,016614.OF,大,大,大,大,大,大,稳定大
232,007278.OF,大,大,大,大,大,大,稳定大
233,006468.OF,大,大,大,大,大,大,稳定大
234,006599.OF,大,大,大,大,大,大,稳定大
235,002930.OF,大,大,大,大,大,大,稳定大
236,007560.OF,大,大,大,大,大,大,稳定大
237,006275.OF,大,大,大,大,大,大,稳定大
238,015969.OF,大,大,大,大,大,大,稳定大
239,005712.OF,大,大,大,大,大,大,稳定大
240,011294.OF,大,大,大,大,大,大,稳定大
